t_idx,time_label,node_idx,node_label,account_category,ik_suggested_delta,ik_strain_energy
2,2020-03,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-38274.1255,0.932
2,2020-03,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,97334.9662,0.932
2,2020-03,2,02_ACC_COGS_DPT_Prod_A,Expense,12703.2715,0.932
2,2020-03,3,03_ACC_COGS_DPT_Prod_B,Expense,21712.5149,0.932
2,2020-03,4,04_ACC_Cash_DPT_Admin,Asset,12752.3428,0.932
2,2020-03,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-26028.705,0.932
2,2020-03,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-34458.9881,0.932
2,2020-03,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-6048.3889,0.932
2,2020-03,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,14047.9007,0.932
2,2020-03,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-53740.7885,0.932
2,2020-03,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,0.932
2,2020-03,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-0.0,0.932
2,2020-03,12,12_ACC_Cash,Asset,0.0,0.932
2,2020-03,13,13_ACC_Raw_Materials,Unknown,0.0,0.932
2,2020-03,14,14_ACC_Finished_Goods,Unknown,0.0,0.932
2,2020-03,15,15_ACC_Equity_Capital,Equity,0.0,0.932
3,2020-04,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-38659.9327,0.3677
3,2020-04,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,27153.9145,0.3677
3,2020-04,2,02_ACC_COGS_DPT_Prod_A,Expense,254.2436,0.3677
3,2020-04,3,03_ACC_COGS_DPT_Prod_B,Expense,5855.0774,0.3677
3,2020-04,4,04_ACC_Cash_DPT_Admin,Asset,24783.1258,0.3677
3,2020-04,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-12212.4976,0.3677
3,2020-04,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-9358.9951,0.3677
3,2020-04,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-2873.5307,0.3677
3,2020-04,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,13735.0423,0.3677
3,2020-04,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-8676.4475,0.3677
3,2020-04,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,0.3677
3,2020-04,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-0.0,0.3677
3,2020-04,12,12_ACC_Cash,Asset,0.0,0.3677
3,2020-04,13,13_ACC_Raw_Materials,Unknown,0.0,0.3677
3,2020-04,14,14_ACC_Finished_Goods,Unknown,0.0,0.3677
3,2020-04,15,15_ACC_Equity_Capital,Equity,0.0,0.3677
4,2020-05,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-16101.4206,0.1841
4,2020-05,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,8630.0717,0.1841
4,2020-05,2,02_ACC_COGS_DPT_Prod_A,Expense,-4091.7285,0.1841
4,2020-05,3,03_ACC_COGS_DPT_Prod_B,Expense,-4899.872,0.1841
4,2020-05,4,04_ACC_Cash_DPT_Admin,Asset,-8473.2211,0.1841
4,2020-05,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-8562.6157,0.1841
4,2020-05,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,9471.3892,0.1841
4,2020-05,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,717.1003,0.1841
4,2020-05,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,8789.7426,0.1841
4,2020-05,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,14520.5543,0.1841
4,2020-05,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,0.1841
4,2020-05,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,0.1841
4,2020-05,12,12_ACC_Cash,Asset,0.0,0.1841
4,2020-05,13,13_ACC_Raw_Materials,Unknown,0.0,0.1841
4,2020-05,14,14_ACC_Finished_Goods,Unknown,0.0,0.1841
4,2020-05,15,15_ACC_Equity_Capital,Equity,0.0,0.1841
5,2020-06,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,7953.6469,2.9546
5,2020-06,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,-344.0292,2.9546
5,2020-06,2,02_ACC_COGS_DPT_Prod_A,Expense,-8522.7483,2.9546
5,2020-06,3,03_ACC_COGS_DPT_Prod_B,Expense,6429.7798,2.9546
5,2020-06,4,04_ACC_Cash_DPT_Admin,Asset,3185.3006,2.9546
5,2020-06,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-15731.3459,2.9546
5,2020-06,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-6150.018,2.9546
5,2020-06,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,1400.8273,2.9546
5,2020-06,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,9676.5963,2.9546
5,2020-06,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,2101.9905,2.9546
5,2020-06,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,2.9546
5,2020-06,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-0.0,2.9546
5,2020-06,12,12_ACC_Cash,Asset,0.0,2.9546
5,2020-06,13,13_ACC_Raw_Materials,Unknown,0.0,2.9546
5,2020-06,14,14_ACC_Finished_Goods,Unknown,0.0,2.9546
5,2020-06,15,15_ACC_Equity_Capital,Equity,0.0,2.9546
6,2020-07,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,4597.5385,2.0858
6,2020-07,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,2896.8884,2.0858
6,2020-07,2,02_ACC_COGS_DPT_Prod_A,Expense,-7784.0477,2.0858
6,2020-07,3,03_ACC_COGS_DPT_Prod_B,Expense,3834.881,2.0858
6,2020-07,4,04_ACC_Cash_DPT_Admin,Asset,2086.7212,2.0858
6,2020-07,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-4875.6074,2.0858
6,2020-07,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-9728.4935,2.0858
6,2020-07,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,-1216.6686,2.0858
6,2020-07,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,4418.9697,2.0858
6,2020-07,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,5769.8184,2.0858
6,2020-07,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,2.0858
6,2020-07,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-0.0,2.0858
6,2020-07,12,12_ACC_Cash,Asset,0.0,2.0858
6,2020-07,13,13_ACC_Raw_Materials,Unknown,0.0,2.0858
6,2020-07,14,14_ACC_Finished_Goods,Unknown,0.0,2.0858
6,2020-07,15,15_ACC_Equity_Capital,Equity,0.0,2.0858
7,2020-08,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,3912.6688,4.3147
7,2020-08,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,3711.2485,4.3147
7,2020-08,2,02_ACC_COGS_DPT_Prod_A,Expense,-3666.9737,4.3147
7,2020-08,3,03_ACC_COGS_DPT_Prod_B,Expense,1680.2802,4.3147
7,2020-08,4,04_ACC_Cash_DPT_Admin,Asset,4777.4518,4.3147
7,2020-08,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-8433.4486,4.3147
7,2020-08,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-2970.1235,4.3147
7,2020-08,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,1086.4332,4.3147
7,2020-08,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,-6311.2697,4.3147
7,2020-08,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,6213.7331,4.3147
7,2020-08,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,4.3147
7,2020-08,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,4.3147
7,2020-08,12,12_ACC_Cash,Asset,0.0,4.3147
7,2020-08,13,13_ACC_Raw_Materials,Unknown,0.0,4.3147
7,2020-08,14,14_ACC_Finished_Goods,Unknown,0.0,4.3147
7,2020-08,15,15_ACC_Equity_Capital,Equity,0.0,4.3147
8,2020-09,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,-11.0396,109.1925
8,2020-09,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,894.0471,109.1925
8,2020-09,2,02_ACC_COGS_DPT_Prod_A,Expense,-1634.5824,109.1925
8,2020-09,3,03_ACC_COGS_DPT_Prod_B,Expense,-4747.779,109.1925
8,2020-09,4,04_ACC_Cash_DPT_Admin,Asset,1359.6436,109.1925
8,2020-09,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-6513.3984,109.1925
8,2020-09,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-9709.0903,109.1925
8,2020-09,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,22338.8361,109.1925
8,2020-09,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,-5519.9997,109.1925
8,2020-09,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,3543.3625,109.1925
8,2020-09,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,109.1925
8,2020-09,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,109.1925
8,2020-09,12,12_ACC_Cash,Asset,0.0,109.1925
8,2020-09,13,13_ACC_Raw_Materials,Unknown,0.0,109.1925
8,2020-09,14,14_ACC_Finished_Goods,Unknown,0.0,109.1925
8,2020-09,15,15_ACC_Equity_Capital,Equity,0.0,109.1925
9,2020-10,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,5864.965,1597.3451
9,2020-10,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,-711.7019,1597.3451
9,2020-10,2,02_ACC_COGS_DPT_Prod_A,Expense,24577.7166,1597.3451
9,2020-10,3,03_ACC_COGS_DPT_Prod_B,Expense,-20452.3218,1597.3451
9,2020-10,4,04_ACC_Cash_DPT_Admin,Asset,3728.8378,1597.3451
9,2020-10,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,-12840.8366,1597.3451
9,2020-10,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,-16646.0832,1597.3451
9,2020-10,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,1975.898,1597.3451
9,2020-10,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,4328.5673,1597.3451
9,2020-10,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,10174.9588,1597.3451
9,2020-10,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,1597.3451
9,2020-10,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,1597.3451
9,2020-10,12,12_ACC_Cash,Asset,0.0,1597.3451
9,2020-10,13,13_ACC_Raw_Materials,Unknown,0.0,1597.3451
9,2020-10,14,14_ACC_Finished_Goods,Unknown,0.0,1597.3451
9,2020-10,15,15_ACC_Equity_Capital,Equity,0.0,1597.3451
10,2020-11,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,7803.3953,13409.1751
10,2020-11,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,9290.113,13409.1751
10,2020-11,2,02_ACC_COGS_DPT_Prod_A,Expense,-21124.1462,13409.1751
10,2020-11,3,03_ACC_COGS_DPT_Prod_B,Expense,-19361.811,13409.1751
10,2020-11,4,04_ACC_Cash_DPT_Admin,Asset,9626.3154,13409.1751
10,2020-11,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,6184.6588,13409.1751
10,2020-11,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,10345.2382,13409.1751
10,2020-11,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,2914.5443,13409.1751
10,2020-11,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,2992.2266,13409.1751
10,2020-11,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-8670.5343,13409.1751
10,2020-11,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,13409.1751
10,2020-11,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,-0.0,13409.1751
10,2020-11,12,12_ACC_Cash,Asset,0.0,13409.1751
10,2020-11,13,13_ACC_Raw_Materials,Unknown,0.0,13409.1751
10,2020-11,14,14_ACC_Finished_Goods,Unknown,0.0,13409.1751
10,2020-11,15,15_ACC_Equity_Capital,Equity,0.0,13409.1751
11,2020-12,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,5278.7435,1594.9223
11,2020-12,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,5887.7791,1594.9223
11,2020-12,2,02_ACC_COGS_DPT_Prod_A,Expense,-11684.4933,1594.9223
11,2020-12,3,03_ACC_COGS_DPT_Prod_B,Expense,-14488.6159,1594.9223
11,2020-12,4,04_ACC_Cash_DPT_Admin,Asset,6403.378,1594.9223
11,2020-12,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,2512.2054,1594.9223
11,2020-12,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,4368.2016,1594.9223
11,2020-12,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,4455.0878,1594.9223
11,2020-12,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,1782.7636,1594.9223
11,2020-12,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,-4515.0499,1594.9223
11,2020-12,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,-0.0,1594.9223
11,2020-12,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,1594.9223
11,2020-12,12,12_ACC_Cash,Asset,0.0,1594.9223
11,2020-12,13,13_ACC_Raw_Materials,Unknown,0.0,1594.9223
11,2020-12,14,14_ACC_Finished_Goods,Unknown,0.0,1594.9223
11,2020-12,15,15_ACC_Equity_Capital,Equity,0.0,1594.9223
