t_idx,time_label,node_idx,node_label,account_category,curvature,density
5,2020-06,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,7563.87,146213.33
5,2020-06,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,41047.55,86939.38
5,2020-06,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,210583.2
5,2020-06,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,31993.6
5,2020-06,12,12_ACC_Cash,Asset,0.0,0.0
5,2020-06,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
5,2020-06,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
5,2020-06,15,15_ACC_Equity_Capital,Equity,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,8477.98,151015.57
6,2020-07,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,71791.28,249155.99
6,2020-07,2,02_ACC_COGS_DPT_Prod_A,Expense,19633.1,71452.38
6,2020-07,3,03_ACC_COGS_DPT_Prod_B,Expense,18713.07,34878.51
6,2020-07,4,04_ACC_Cash_DPT_Admin,Asset,14171.69,222691.16
6,2020-07,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,48819.06,180837.19
6,2020-07,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,109.48,77914.14
6,2020-07,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,6290.13,59168.92
6,2020-07,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,17282.59,159227.42
6,2020-07,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,62350.92,171223.56
6,2020-07,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,194563.52
6,2020-07,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,51658.58
6,2020-07,12,12_ACC_Cash,Asset,0.0,0.0
6,2020-07,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
6,2020-07,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
6,2020-07,15,15_ACC_Equity_Capital,Equity,0.0,0.0
7,2020-08,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,9028.65,135169.88
7,2020-08,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,116243.51,280779.44
7,2020-08,2,02_ACC_COGS_DPT_Prod_A,Expense,23039.6,79511.86
7,2020-08,3,03_ACC_COGS_DPT_Prod_B,Expense,17903.48,38355.64
7,2020-08,4,04_ACC_Cash_DPT_Admin,Asset,58339.82,236979.49
7,2020-08,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,47920.55,200906.5
7,2020-08,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,2878.83,78759.56
7,2020-08,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,3057.71,58947.55
7,2020-08,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,28869.73,155948.36
7,2020-08,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,70946.18,184561.56
7,2020-08,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,217090.1
7,2020-08,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,47301.0
7,2020-08,12,12_ACC_Cash,Asset,0.0,0.0
7,2020-08,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
7,2020-08,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
7,2020-08,15,15_ACC_Equity_Capital,Equity,0.0,0.0
8,2020-09,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,68139.98,98502.73
8,2020-09,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,86329.21,289826.16
8,2020-09,2,02_ACC_COGS_DPT_Prod_A,Expense,27414.24,60157.1
8,2020-09,3,03_ACC_COGS_DPT_Prod_B,Expense,12890.39,28942.38
8,2020-09,4,04_ACC_Cash_DPT_Admin,Asset,73959.15,241061.15
8,2020-09,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,26285.77,192433.1
8,2020-09,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,1586.38,52237.82
8,2020-09,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,634.86,59482.58
8,2020-09,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,41027.45,158960.37
8,2020-09,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,54452.97,143446.59
8,2020-09,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,226755.42
8,2020-09,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,24472.66
8,2020-09,12,12_ACC_Cash,Asset,0.0,0.0
8,2020-09,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
8,2020-09,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
8,2020-09,15,15_ACC_Equity_Capital,Equity,0.0,0.0
9,2020-10,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,130042.36,139823.5
9,2020-10,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,989.58,272697.28
9,2020-10,2,02_ACC_COGS_DPT_Prod_A,Expense,3243.26,37559.08
9,2020-10,3,03_ACC_COGS_DPT_Prod_B,Expense,2413.93,17115.19
9,2020-10,4,04_ACC_Cash_DPT_Admin,Asset,113194.39,333151.18
9,2020-10,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,10228.87,167244.31
9,2020-10,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,26780.88,47669.1
9,2020-10,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,1968.82,58765.49
9,2020-10,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,42304.62,152222.56
9,2020-10,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,13582.59,88749.03
9,2020-10,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,230462.04
9,2020-10,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,32613.6
9,2020-10,12,12_ACC_Cash,Asset,0.0,0.0
9,2020-10,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
9,2020-10,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
9,2020-10,15,15_ACC_Equity_Capital,Equity,0.0,0.0
10,2020-11,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,111811.11,98024.48
10,2020-11,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,100622.02,200797.92
10,2020-11,2,02_ACC_COGS_DPT_Prod_A,Expense,9991.46,24952.52
10,2020-11,3,03_ACC_COGS_DPT_Prod_B,Expense,6575.11,11863.11
10,2020-11,4,04_ACC_Cash_DPT_Admin,Asset,27269.61,242579.1
10,2020-11,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,17263.84,144774.6
10,2020-11,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,16987.1,39263.5
10,2020-11,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,4673.14,55466.18
10,2020-11,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,29202.76,144973.31
10,2020-11,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,22925.77,56977.24
10,2020-11,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,209745.22
10,2020-11,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,27718.32
10,2020-11,12,12_ACC_Cash,Asset,0.0,0.0
10,2020-11,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
10,2020-11,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
10,2020-11,15,15_ACC_Equity_Capital,Equity,0.0,0.0
11,2020-12,0,00_ACC_Accounts_Payable_DPT_Admin,Liability,92104.16,156432.62
11,2020-12,1,01_ACC_Accounts_Receivable_DPT_Admin,Asset,68197.69,178561.75
11,2020-12,2,02_ACC_COGS_DPT_Prod_A,Expense,26611.62,38957.58
11,2020-12,3,03_ACC_COGS_DPT_Prod_B,Expense,7227.93,13838.96
11,2020-12,4,04_ACC_Cash_DPT_Admin,Asset,105322.98,238795.5
11,2020-12,5,05_ACC_Finished_Goods_DPT_Prod_A,Unknown,47922.46,127605.67
11,2020-12,6,06_ACC_Finished_Goods_DPT_Prod_B,Unknown,15493.19,29820.57
11,2020-12,7,07_ACC_Mfg_Overhead_Exp_DPT_Mfg_Support,Expense,27926.88,23533.59
11,2020-12,8,08_ACC_Raw_Materials_DPT_Ops,Unknown,5600.79,140226.27
11,2020-12,9,09_ACC_Sales_Revenue_DPT_Sales,Revenue,58930.44,84135.89
11,2020-12,10,10_ACC_Work_In_Process_DPT_Prod_A,Unknown,0.0,177296.18
11,2020-12,11,11_ACC_Work_In_Process_DPT_Prod_B,Unknown,0.0,31963.22
11,2020-12,12,12_ACC_Cash,Asset,0.0,0.0
11,2020-12,13,13_ACC_Raw_Materials,Unknown,0.0,0.0
11,2020-12,14,14_ACC_Finished_Goods,Unknown,0.0,0.0
11,2020-12,15,15_ACC_Equity_Capital,Equity,0.0,0.0
