Transaction_ID,Timestamp,Stock_ID,Buyer_ID,Seller_ID,Price,Volume,Transaction_Amount,Memo
M_000040,2020-01-28T15:00:00,STK_003,USR_004,USR_003,1564.68,1243,1944897.24,MM_Balance
M_000041,2020-01-28T15:44:00,STK_003,USR_003,USR_004,1564.68,1922,3007314.96,MM_Balance
M_000042,2020-01-29T15:09:00,STK_003,USR_004,USR_003,1550.76,1939,3006923.64,MM_Balance
M_000043,2020-01-29T15:10:00,STK_003,USR_003,USR_004,1550.76,1122,1739952.72,MM_Balance
M_000044,2020-01-30T09:14:07,STK_001,USR_005,USR_004,3338.56,143,477414.08,Normal
M_000045,2020-01-30T10:35:40,STK_005,USR_009,USR_003,3945.26,147,579953.22,Normal
M_000047,2020-01-30T15:05:00,STK_003,USR_003,USR_004,1563.59,2984,4665752.56,MM_Balance
M_000046,2020-01-30T15:27:00,STK_003,USR_004,USR_003,1563.59,1418,2217170.62,MM_Balance
M_000048,2020-01-31T15:32:00,STK_003,USR_004,USR_003,1546.84,2771,4286293.64,MM_Balance
M_000049,2020-01-31T15:55:00,STK_003,USR_003,USR_004,1546.84,2346,3628886.64,MM_Balance
M_000050,2020-02-01T09:07:28,STK_005,USR_003,USR_007,3854.28,91,350739.48,Normal
M_000052,2020-02-01T15:07:00,STK_003,USR_003,USR_004,1545.72,1945,3006425.40,MM_Balance
M_000051,2020-02-01T15:53:00,STK_003,USR_004,USR_003,1545.72,1460,2256751.20,MM_Balance
M_000054,2020-02-02T15:00:00,STK_003,USR_003,USR_004,1526.46,2680,4090912.80,MM_Balance
M_000053,2020-02-02T15:59:00,STK_003,USR_004,USR_003,1526.46,1696,2588876.16,MM_Balance
M_000055,2020-02-03T15:20:00,STK_003,USR_004,USR_003,1527.35,1089,1663284.15,MM_Balance
M_000056,2020-02-03T15:58:00,STK_003,USR_003,USR_004,1527.35,2444,3732843.40,MM_Balance
M_000058,2020-02-04T11:59:26,STK_003,USR_008,USR_004,1325.17,213,282261.21,Normal
M_000057,2020-02-04T14:57:35,STK_004,USR_003,USR_009,1879.77,83,156020.91,Normal
M_000060,2020-02-04T15:04:00,STK_003,USR_003,USR_004,1543.44,2264,3494348.16,MM_Balance
M_000059,2020-02-04T15:34:00,STK_003,USR_004,USR_003,1543.44,2786,4300023.84,MM_Balance
M_000061,2020-02-05T10:19:30,STK_001,USR_004,USR_006,3426.64,193,661341.52,Normal
M_000062,2020-02-05T15:39:00,STK_003,USR_004,USR_003,1552.26,1161,1802173.86,MM_Balance
M_000063,2020-02-05T15:43:00,STK_003,USR_003,USR_004,1552.26,2269,3522077.94,MM_Balance
M_000064,2020-02-06T13:09:29,STK_003,USR_010,USR_004,1325.40,227,300865.80,Normal
M_000065,2020-02-06T15:15:00,STK_003,USR_004,USR_003,1540.26,1218,1876036.68,MM_Balance
M_000066,2020-02-06T15:22:00,STK_003,USR_003,USR_004,1540.26,2171,3343904.46,MM_Balance
M_000068,2020-02-07T15:06:00,STK_003,USR_003,USR_004,1550.83,2286,3545197.38,MM_Balance
M_000067,2020-02-07T15:16:00,STK_003,USR_004,USR_003,1550.83,2271,3521934.93,MM_Balance
M_000069,2020-02-08T15:10:00,STK_003,USR_004,USR_003,1534.12,2700,4142124.00,MM_Balance
M_000070,2020-02-08T15:52:00,STK_003,USR_003,USR_004,1534.12,2871,4404458.52,MM_Balance
M_000071,2020-02-09T13:08:22,STK_004,USR_007,USR_003,1840.54,145,266878.30,Normal
M_000073,2020-02-09T15:24:00,STK_003,USR_003,USR_004,1534.82,2197,3371999.54,MM_Balance
M_000072,2020-02-09T15:47:00,STK_003,USR_004,USR_003,1534.82,2377,3648267.14,MM_Balance
M_000075,2020-02-10T10:24:23,STK_004,USR_004,USR_010,1848.38,286,528636.68,Normal
M_000074,2020-02-10T13:53:34,STK_004,USR_003,USR_006,1856.64,59,109541.76,Normal
M_000076,2020-02-10T15:26:00,STK_003,USR_004,USR_003,1524.66,2260,3445731.60,MM_Balance
M_000077,2020-02-10T15:44:00,STK_003,USR_003,USR_004,1524.66,1067,1626812.22,MM_Balance
M_000078,2020-02-11T13:08:20,STK_003,USR_007,USR_003,1454.18,72,104700.96,Normal
M_000079,2020-02-11T15:13:00,STK_003,USR_004,USR_003,1517.42,2200,3338324.00,MM_Balance
M_000080,2020-02-11T15:49:00,STK_003,USR_003,USR_004,1517.42,1672,2537126.24,MM_Balance
M_000081,2020-02-12T09:08:37,STK_001,USR_006,USR_004,3428.05,131,449074.55,Normal
M_000082,2020-02-12T12:17:43,STK_004,USR_003,USR_009,1811.73,42,76092.66,Normal
M_000084,2020-02-12T15:41:00,STK_003,USR_003,USR_004,1533.08,1938,2971109.04,MM_Balance
M_000083,2020-02-12T15:50:00,STK_003,USR_004,USR_003,1533.08,2489,3815836.12,MM_Balance
M_000085,2020-02-13T11:30:11,STK_001,USR_004,USR_007,3429.03,85,291467.55,Normal
M_000087,2020-02-13T15:41:00,STK_003,USR_003,USR_004,1518.87,2746,4170817.02,MM_Balance
M_000086,2020-02-13T15:50:00,STK_003,USR_004,USR_003,1518.87,1203,1827200.61,MM_Balance
M_000088,2020-02-14T15:05:00,STK_003,USR_004,USR_003,1543.67,2703,4172540.01,MM_Balance
M_000089,2020-02-14T15:06:00,STK_003,USR_003,USR_004,1543.67,1884,2908274.28,MM_Balance
M_000090,2020-02-15T15:32:00,STK_003,USR_004,USR_003,1521.50,2183,3321434.50,MM_Balance
M_000091,2020-02-15T15:42:00,STK_003,USR_003,USR_004,1521.50,1316,2002294.00,MM_Balance
M_000092,2020-02-16T15:00:00,STK_003,USR_004,USR_003,1524.53,1718,2619142.54,MM_Balance
M_000093,2020-02-16T15:09:00,STK_003,USR_003,USR_004,1524.53,2781,4239717.93,MM_Balance
M_000095,2020-02-17T15:05:00,STK_003,USR_003,USR_004,1548.71,2380,3685929.80,MM_Balance
M_000094,2020-02-17T15:48:00,STK_003,USR_004,USR_003,1548.71,1322,2047394.62,MM_Balance
M_000096,2020-02-18T09:24:48,STK_005,USR_009,USR_004,3871.64,279,1080187.56,Normal
M_000097,2020-02-18T11:19:32,STK_002,USR_008,USR_004,1180.99,118,139356.82,Normal
M_000098,2020-02-18T13:50:51,STK_004,USR_004,USR_007,1767.34,99,174966.66,Normal
M_000100,2020-02-18T15:01:00,STK_003,USR_003,USR_004,1557.82,1893,2948953.26,MM_Balance
M_000099,2020-02-18T15:25:00,STK_003,USR_004,USR_003,1557.82,1147,1786819.54,MM_Balance
M_000101,2020-02-19T15:06:00,STK_003,USR_004,USR_003,1547.03,2729,4221844.87,MM_Balance
M_000102,2020-02-19T15:37:00,STK_003,USR_003,USR_004,1547.03,1892,2926980.76,MM_Balance
M_000104,2020-02-20T15:48:00,STK_003,USR_003,USR_004,1534.20,1950,2991690.00,MM_Balance
M_000103,2020-02-20T15:49:00,STK_003,USR_004,USR_003,1534.20,2948,4522821.60,MM_Balance
M_000106,2020-02-21T09:22:24,STK_001,USR_009,USR_004,3401.79,133,452438.07,Normal
M_000105,2020-02-21T11:36:46,STK_004,USR_004,USR_010,1783.68,29,51726.72,Normal
M_000108,2020-02-21T15:09:00,STK_003,USR_003,USR_004,1525.13,2026,3089913.38,MM_Balance
M_000107,2020-02-21T15:38:00,STK_003,USR_004,USR_003,1525.13,1658,2528665.54,MM_Balance
M_000110,2020-02-22T15:21:00,STK_003,USR_003,USR_004,1545.04,1134,1752075.36,MM_Balance
M_000109,2020-02-22T15:40:00,STK_003,USR_004,USR_003,1545.04,2616,4041824.64,MM_Balance
M_000112,2020-02-23T15:08:00,STK_003,USR_003,USR_004,1543.03,2665,4112174.95,MM_Balance
M_000111,2020-02-23T15:24:00,STK_003,USR_004,USR_003,1543.03,2144,3308256.32,MM_Balance
M_000114,2020-02-24T15:21:00,STK_003,USR_003,USR_004,1527.50,2355,3597262.50,MM_Balance
M_000113,2020-02-24T15:49:00,STK_003,USR_004,USR_003,1527.50,2039,3114572.50,MM_Balance
M_000115,2020-02-25T15:51:00,STK_003,USR_004,USR_003,1537.10,1633,2510084.30,MM_Balance
M_000116,2020-02-25T15:53:00,STK_003,USR_003,USR_004,1537.10,2851,4382272.10,MM_Balance
M_000119,2020-02-26T12:10:55,STK_004,USR_006,USR_003,1770.90,123,217820.70,Normal
M_000118,2020-02-26T13:40:21,STK_001,USR_003,USR_005,3418.48,149,509353.52,Normal
M_000117,2020-02-26T14:02:51,STK_003,USR_008,USR_003,1481.74,80,118539.20,Normal
M_000121,2020-02-26T15:24:00,STK_003,USR_003,USR_004,1552.09,1482,2300197.38,MM_Balance
M_000120,2020-02-26T15:25:00,STK_003,USR_004,USR_003,1552.09,1109,1721267.81,MM_Balance
M_000122,2020-02-27T10:21:39,STK_001,USR_003,USR_005,3387.45,141,477630.45,Normal
M_000124,2020-02-27T15:19:00,STK_003,USR_003,USR_004,1555.89,1486,2312052.54,MM_Balance
M_000123,2020-02-27T15:49:00,STK_003,USR_004,USR_003,1555.89,1227,1909077.03,MM_Balance
M_000125,2020-02-28T09:46:45,STK_003,USR_003,USR_005,1477.15,223,329404.45,Normal
M_000127,2020-02-28T15:40:00,STK_003,USR_003,USR_004,1544.71,1089,1682189.19,MM_Balance
M_000126,2020-02-28T15:55:00,STK_003,USR_004,USR_003,1544.71,1799,2778933.29,MM_Balance
M_000129,2020-02-29T15:08:00,STK_003,USR_003,USR_004,1544.42,2661,4109701.62,MM_Balance
M_000128,2020-02-29T15:30:00,STK_003,USR_004,USR_003,1544.42,2424,3743674.08,MM_Balance
M_000130,2020-03-01T09:26:06,STK_002,USR_005,USR_004,1235.42,192,237200.64,Normal
M_000131,2020-03-01T15:23:00,STK_003,USR_004,USR_003,1531.64,2637,4038934.68,MM_Balance
M_000132,2020-03-01T15:25:00,STK_003,USR_003,USR_004,1531.64,2821,4320756.44,MM_Balance
M_000133,2020-03-02T12:52:42,STK_003,USR_004,USR_007,1315.97,72,94749.84,Normal
M_000134,2020-03-02T15:27:00,STK_003,USR_004,USR_003,1525.50,2259,3446104.50,MM_Balance
M_000135,2020-03-02T15:50:00,STK_003,USR_003,USR_004,1525.50,2309,3522379.50,MM_Balance
M_000136,2020-03-03T09:41:59,STK_002,USR_004,USR_006,1253.40,199,249426.60,Normal
M_000138,2020-03-03T15:33:00,STK_003,USR_003,USR_004,1547.64,2022,3129328.08,MM_Balance
M_000137,2020-03-03T15:47:00,STK_003,USR_004,USR_003,1547.64,1053,1629664.92,MM_Balance
M_000139,2020-03-04T11:54:32,STK_002,USR_006,USR_004,1272.33,54,68705.82,Normal
M_000140,2020-03-04T15:19:00,STK_003,USR_004,USR_003,1535.13,2825,4336742.25,MM_Balance
M_000141,2020-03-04T15:45:00,STK_003,USR_003,USR_004,1535.13,2457,3771814.41,MM_Balance
M_000143,2020-03-05T13:21:24,STK_001,USR_003,USR_009,3353.03,168,563309.04,Normal
M_000142,2020-03-05T14:01:16,STK_005,USR_005,USR_004,4136.18,249,1029908.82,Normal
M_000145,2020-03-05T15:08:00,STK_003,USR_003,USR_004,1537.44,2572,3954295.68,MM_Balance
M_000144,2020-03-05T15:53:00,STK_003,USR_004,USR_003,1537.44,2798,4301757.12,MM_Balance
M_000146,2020-03-06T14:35:33,STK_002,USR_009,USR_004,1247.26,74,92297.24,Normal
M_000147,2020-03-06T15:37:00,STK_003,USR_004,USR_003,1565.59,2212,3463085.08,MM_Balance
M_000148,2020-03-06T15:42:00,STK_003,USR_003,USR_004,1565.59,1350,2113546.50,MM_Balance
M_000149,2020-03-07T12:41:46,STK_005,USR_004,USR_009,4087.77,164,670394.28,Normal
M_000150,2020-03-07T15:03:00,STK_003,USR_004,USR_003,1584.97,2410,3819777.70,MM_Balance
M_000151,2020-03-07T15:26:00,STK_003,USR_003,USR_004,1584.97,1900,3011443.00,MM_Balance
M_000152,2020-03-08T11:38:29,STK_004,USR_003,USR_009,1738.18,82,142530.76,Normal
M_000153,2020-03-08T15:20:00,STK_003,USR_004,USR_003,1594.84,2666,4251843.44,MM_Balance
M_000154,2020-03-08T15:48:00,STK_003,USR_003,USR_004,1594.84,1388,2213637.92,MM_Balance
M_000155,2020-03-09T09:58:42,STK_004,USR_009,USR_004,1700.91,156,265341.96,Normal
M_000156,2020-03-09T15:02:00,STK_003,USR_004,USR_003,1576.91,1749,2758015.59,MM_Balance
M_000157,2020-03-09T15:36:00,STK_003,USR_003,USR_004,1576.91,1104,1740908.64,MM_Balance
M_000158,2020-03-10T15:02:00,STK_003,USR_004,USR_003,1578.73,2024,3195349.52,MM_Balance
M_000159,2020-03-10T15:08:00,STK_003,USR_003,USR_004,1578.73,1079,1703449.67,MM_Balance
M_000161,2020-03-11T15:21:00,STK_003,USR_003,USR_004,1594.07,1754,2795998.78,MM_Balance
M_000160,2020-03-11T15:52:00,STK_003,USR_004,USR_003,1594.07,1972,3143506.04,MM_Balance
M_000162,2020-03-12T13:00:51,STK_002,USR_003,USR_009,1279.20,66,84427.20,Normal
M_000164,2020-03-12T15:32:00,STK_003,USR_003,USR_004,1610.94,1840,2964129.60,MM_Balance
M_000163,2020-03-12T15:44:00,STK_003,USR_004,USR_003,1610.94,1845,2972184.30,MM_Balance
M_000166,2020-03-13T15:15:00,STK_003,USR_003,USR_004,1635.14,2960,4840014.40,MM_Balance
M_000165,2020-03-13T15:30:00,STK_003,USR_004,USR_003,1635.14,2249,3677429.86,MM_Balance
M_000168,2020-03-14T15:02:00,STK_003,USR_003,USR_004,1634.24,1594,2604978.56,MM_Balance
M_000167,2020-03-14T15:49:00,STK_003,USR_004,USR_003,1634.24,2955,4829179.20,MM_Balance
M_000169,2020-03-15T13:50:01,STK_005,USR_003,USR_005,4229.21,134,566714.14,Normal
M_000170,2020-03-15T15:35:00,STK_003,USR_004,USR_003,1612.92,1010,1629049.20,MM_Balance
M_000171,2020-03-15T15:41:00,STK_003,USR_003,USR_004,1612.92,1833,2956482.36,MM_Balance
M_000173,2020-03-16T15:25:00,STK_003,USR_003,USR_004,1628.32,2712,4416003.84,MM_Balance
M_000172,2020-03-16T15:58:00,STK_003,USR_004,USR_003,1628.32,2912,4741667.84,MM_Balance
M_000174,2020-03-17T10:01:31,STK_005,USR_004,USR_005,4210.76,149,627403.24,Normal
M_000176,2020-03-17T15:18:00,STK_003,USR_003,USR_004,1626.58,2619,4260013.02,MM_Balance
M_000175,2020-03-17T15:47:00,STK_003,USR_004,USR_003,1626.58,1028,1672124.24,MM_Balance
M_000178,2020-03-18T15:15:00,STK_003,USR_003,USR_004,1615.20,2418,3905553.60,MM_Balance
M_000177,2020-03-18T15:41:00,STK_003,USR_004,USR_003,1615.20,1535,2479332.00,MM_Balance
M_000180,2020-03-19T15:34:00,STK_003,USR_003,USR_004,1606.63,2551,4098513.13,MM_Balance
M_000179,2020-03-19T15:44:00,STK_003,USR_004,USR_003,1606.63,1851,2973872.13,MM_Balance
M_000181,2020-03-20T13:36:03,STK_005,USR_009,USR_003,4211.03,41,172652.23,Normal
M_000183,2020-03-20T15:03:00,STK_003,USR_003,USR_004,1628.59,2656,4325535.04,MM_Balance
M_000182,2020-03-20T15:57:00,STK_003,USR_004,USR_003,1628.59,1186,1931507.74,MM_Balance
M_000185,2020-03-21T15:41:00,STK_003,USR_003,USR_004,1646.82,2568,4229033.76,MM_Balance
M_000184,2020-03-21T15:49:00,STK_003,USR_004,USR_003,1646.82,1368,2252849.76,MM_Balance
M_000186,2020-03-22T15:00:00,STK_003,USR_004,USR_003,1623.40,2709,4397790.60,MM_Balance
M_000187,2020-03-22T15:29:00,STK_003,USR_003,USR_004,1623.40,1611,2615297.40,MM_Balance
M_000188,2020-03-23T09:55:06,STK_004,USR_003,USR_006,1726.49,133,229623.17,Normal
M_000189,2020-03-23T15:02:00,STK_003,USR_004,USR_003,1623.27,2516,4084147.32,MM_Balance
M_000190,2020-03-23T15:14:00,STK_003,USR_003,USR_004,1623.27,1898,3080966.46,MM_Balance
M_000191,2020-03-24T15:35:00,STK_003,USR_004,USR_003,1606.44,1124,1805638.56,MM_Balance
M_000192,2020-03-24T15:43:00,STK_003,USR_003,USR_004,1606.44,2282,3665896.08,MM_Balance
M_000193,2020-03-25T12:47:28,STK_004,USR_003,USR_008,1699.07,196,333017.72,Normal
M_000194,2020-03-25T15:15:00,STK_003,USR_004,USR_003,1637.11,1795,2938612.45,MM_Balance
M_000195,2020-03-25T15:21:00,STK_003,USR_003,USR_004,1637.11,1416,2318147.76,MM_Balance
M_000196,2020-03-26T15:58:00,STK_003,USR_004,USR_003,1622.96,1620,2629195.20,MM_Balance
M_000197,2020-03-26T15:59:00,STK_003,USR_003,USR_004,1622.96,1433,2325701.68,MM_Balance
M_000198,2020-03-27T15:46:00,STK_003,USR_004,USR_003,1619.09,2644,4280873.96,MM_Balance
M_000199,2020-03-27T15:53:00,STK_003,USR_003,USR_004,1619.09,2559,4143251.31,MM_Balance
M_000200,2020-03-28T12:00:09,STK_005,USR_004,USR_009,4056.42,161,653083.62,Normal
M_000202,2020-03-28T15:10:00,STK_003,USR_003,USR_004,1603.26,1943,3115134.18,MM_Balance
M_000201,2020-03-28T15:46:00,STK_003,USR_004,USR_003,1603.26,2979,4776111.54,MM_Balance
M_000205,2020-03-29T09:09:21,STK_005,USR_005,USR_004,3984.33,284,1131549.72,Normal
M_000203,2020-03-29T12:23:49,STK_002,USR_006,USR_003,1298.65,121,157136.65,Normal
M_000204,2020-03-29T13:50:39,STK_005,USR_004,USR_007,3996.48,214,855246.72,Normal
M_000206,2020-03-29T15:58:00,STK_003,USR_004,USR_003,1612.41,2651,4274498.91,MM_Balance
M_000207,2020-03-29T15:58:00,STK_003,USR_003,USR_004,1612.41,1219,1965527.79,MM_Balance
M_000208,2020-03-30T14:01:50,STK_001,USR_003,USR_006,3399.85,217,737767.45,Normal
M_000210,2020-03-30T15:10:00,STK_003,USR_003,USR_004,1611.34,2439,3930058.26,MM_Balance
M_000209,2020-03-30T15:40:00,STK_003,USR_004,USR_003,1611.34,1114,1795032.76,MM_Balance
M_000212,2020-03-31T15:13:00,STK_003,USR_003,USR_004,1627.56,1032,1679641.92,MM_Balance
M_000211,2020-03-31T15:59:00,STK_003,USR_004,USR_003,1627.56,1367,2224874.52,MM_Balance
M_000213,2020-04-01T15:06:00,STK_003,USR_004,USR_003,1651.02,1109,1830981.18,MM_Balance
M_000214,2020-04-01T15:53:00,STK_003,USR_003,USR_004,1651.02,1475,2435254.50,MM_Balance
M_000215,2020-04-02T15:04:00,STK_003,USR_004,USR_003,1657.15,2460,4076589.00,MM_Balance
M_000216,2020-04-02T15:09:00,STK_003,USR_003,USR_004,1657.15,1548,2565268.20,MM_Balance
M_000219,2020-04-03T09:06:44,STK_003,USR_007,USR_003,1593.69,176,280489.44,Normal
M_000217,2020-04-03T09:55:49,STK_003,USR_002,USR_004,1425.55,10896,15532792.80,Normal
M_000218,2020-04-03T13:39:51,STK_002,USR_009,USR_004,1284.43,239,306978.77,Normal
M_000221,2020-04-03T15:09:00,STK_003,USR_003,USR_004,1661.36,2009,3337672.24,MM_Balance
M_000220,2020-04-03T15:19:00,STK_003,USR_004,USR_003,1661.36,1550,2575108.00,MM_Balance
M_000222,2020-04-04T11:59:58,STK_004,USR_006,USR_004,1585.52,204,323446.08,Normal
M_000223,2020-04-04T15:20:00,STK_003,USR_004,USR_003,1675.84,1615,2706481.60,MM_Balance
M_000224,2020-04-04T15:20:00,STK_003,USR_003,USR_004,1675.84,1981,3319839.04,MM_Balance
M_000226,2020-04-05T15:45:00,STK_003,USR_003,USR_004,1644.48,2931,4819970.88,MM_Balance
M_000225,2020-04-05T15:46:00,STK_003,USR_004,USR_003,1644.48,2951,4852860.48,MM_Balance
M_000227,2020-04-06T12:48:26,STK_005,USR_008,USR_004,3919.19,85,333131.15,Normal
M_000229,2020-04-06T15:42:00,STK_003,USR_003,USR_004,1640.88,2346,3849504.48,MM_Balance
M_000228,2020-04-06T15:49:00,STK_003,USR_004,USR_003,1640.88,1223,2006796.24,MM_Balance
M_000230,2020-04-07T14:04:44,STK_003,USR_009,USR_003,1583.10,271,429020.10,Normal
M_000232,2020-04-07T15:26:00,STK_003,USR_003,USR_004,1659.65,1605,2663738.25,MM_Balance
M_000231,2020-04-07T15:30:00,STK_003,USR_004,USR_003,1659.65,1050,1742632.50,MM_Balance
M_000233,2020-04-08T15:11:00,STK_003,USR_004,USR_003,1663.77,2056,3420711.12,MM_Balance
M_000234,2020-04-08T15:35:00,STK_003,USR_003,USR_004,1663.77,1677,2790142.29,MM_Balance
M_000235,2020-04-09T09:34:10,STK_002,USR_010,USR_003,1295.98,152,196988.96,Normal
M_000236,2020-04-09T15:12:00,STK_003,USR_004,USR_003,1655.82,1667,2760251.94,MM_Balance
M_000237,2020-04-09T15:16:00,STK_003,USR_003,USR_004,1655.82,1233,2041626.06,MM_Balance
M_000238,2020-04-10T10:03:52,STK_002,USR_004,USR_008,1286.73,70,90071.10,Normal
M_000240,2020-04-10T15:24:00,STK_003,USR_003,USR_004,1639.61,2046,3354642.06,MM_Balance
M_000239,2020-04-10T15:44:00,STK_003,USR_004,USR_003,1639.61,1764,2892272.04,MM_Balance
M_000241,2020-04-11T12:29:41,STK_003,USR_003,USR_010,1582.11,227,359138.97,Normal
M_000243,2020-04-11T15:10:00,STK_003,USR_003,USR_004,1661.84,2000,3323680.00,MM_Balance
M_000242,2020-04-11T15:45:00,STK_003,USR_004,USR_003,1661.84,1851,3076065.84,MM_Balance
M_000244,2020-04-12T09:22:43,STK_005,USR_005,USR_004,3969.72,28,111152.16,Normal
M_000245,2020-04-12T15:13:00,STK_003,USR_004,USR_003,1686.70,2118,3572430.60,MM_Balance
M_000246,2020-04-12T15:47:00,STK_003,USR_003,USR_004,1686.70,1209,2039220.30,MM_Balance
M_000248,2020-04-13T15:13:00,STK_003,USR_003,USR_004,1688.88,2607,4402910.16,MM_Balance
M_000247,2020-04-13T15:39:00,STK_003,USR_004,USR_003,1688.88,1339,2261410.32,MM_Balance
M_000249,2020-04-14T11:15:11,STK_002,USR_007,USR_003,1316.92,84,110621.28,Normal
M_000250,2020-04-14T15:09:00,STK_003,USR_004,USR_003,1675.53,2002,3354411.06,MM_Balance
M_000251,2020-04-14T15:26:00,STK_003,USR_003,USR_004,1675.53,2285,3828586.05,MM_Balance
M_000252,2020-04-15T13:51:52,STK_001,USR_009,USR_004,3279.23,193,632891.39,Normal
M_000254,2020-04-15T15:21:00,STK_003,USR_003,USR_004,1673.43,2614,4374346.02,MM_Balance
M_000253,2020-04-15T15:54:00,STK_003,USR_004,USR_003,1673.43,2159,3612935.37,MM_Balance
M_000255,2020-04-16T14:54:23,STK_003,USR_004,USR_008,1509.67,52,78502.84,Normal
M_000257,2020-04-16T15:41:00,STK_003,USR_003,USR_004,1666.28,1879,3130940.12,MM_Balance
M_000256,2020-04-16T15:44:00,STK_003,USR_004,USR_003,1666.28,2486,4142372.08,MM_Balance
M_000260,2020-04-17T09:04:37,STK_002,USR_007,USR_003,1280.54,45,57624.30,Normal
M_000259,2020-04-17T12:20:44,STK_004,USR_003,USR_009,1637.56,62,101528.72,Normal
M_000258,2020-04-17T13:20:53,STK_003,USR_008,USR_003,1573.92,107,168409.44,Normal
M_000262,2020-04-17T15:13:00,STK_003,USR_003,USR_004,1660.69,2761,4585165.09,MM_Balance
M_000261,2020-04-17T15:26:00,STK_003,USR_004,USR_003,1660.69,2883,4787769.27,MM_Balance
M_000264,2020-04-18T15:33:00,STK_003,USR_003,USR_004,1656.85,1420,2352727.00,MM_Balance
M_000263,2020-04-18T15:54:00,STK_003,USR_004,USR_003,1656.85,2736,4533141.60,MM_Balance
