Trans_Date,Src,Tgt,Amount
2020-01-02,SanjoMuromachi,NijoMuromachi,89
2020-01-02,NijoMuromachi,NijoKarasuma,88
2020-01-02,NijoKarasuma,NijoMuromachi,94
2020-01-02,NijoKarasuma,SanjoKarasuma,94
2020-01-02,SanjoKarasuma,NijoKarasuma,100
2020-01-02,NijoKarasuma,NijoKurumaya,120
2020-01-02,NijoKurumaya,NijoKarasuma,106
2020-01-02,NijoKurumaya,SanjoKurumaya,105
2020-01-02,SanjoKurumaya,NijoKurumaya,100
2020-01-02,SanjoHorikawa,ShijoHorikawa,97
2020-01-02,ShijoHorikawa,SanjoHorikawa,80
2020-01-02,SanjoHorikawa,SanjoShinmachi,95
2020-01-02,SanjoShinmachi,SanjoHorikawa,82
2020-01-02,SanjoShinmachi,ShijoShinmachi,101
2020-01-02,ShijoShinmachi,SanjoShinmachi,102
2020-01-02,SanjoShinmachi,SanjoMuromachi,115
2020-01-02,SanjoMuromachi,SanjoShinmachi,111
2020-01-02,SanjoMuromachi,ShijoMuromachi,100
2020-01-02,ShijoMuromachi,SanjoMuromachi,102
2020-01-02,SanjoMuromachi,SanjoKarasuma,101
2020-01-02,SanjoKarasuma,SanjoMuromachi,114
2020-01-02,SanjoKarasuma,ShijoKarasuma,118
2020-01-02,ShijoKarasuma,SanjoKarasuma,103
2020-01-02,SanjoKarasuma,SanjoKurumaya,121
2020-01-02,SanjoKurumaya,SanjoKarasuma,99
2020-01-02,SanjoKurumaya,ShijoKurumaya,94
2020-01-02,ShijoKurumaya,SanjoKurumaya,99
2020-01-02,ShijoHorikawa,GojoHorikawa,111
2020-01-02,GojoHorikawa,ShijoHorikawa,113
2020-01-02,ShijoHorikawa,ShijoShinmachi,101
2020-01-02,ShijoShinmachi,ShijoHorikawa,96
2020-01-02,ShijoShinmachi,GojoShinmachi,112
2020-01-02,GojoShinmachi,ShijoShinmachi,108
2020-01-02,ShijoShinmachi,ShijoMuromachi,114
2020-01-02,ShijoMuromachi,ShijoShinmachi,101
2020-01-02,ShijoMuromachi,GojoMuromachi,106
2020-01-02,GojoMuromachi,ShijoMuromachi,122
2020-01-02,ShijoMuromachi,ShijoKarasuma,111
2020-01-02,ShijoKarasuma,ShijoMuromachi,109
2020-01-02,ShijoKarasuma,GojoKarasuma,129
2020-01-02,GojoKarasuma,ShijoKarasuma,127
2020-01-02,ShijoKarasuma,ShijoKurumaya,125
2020-01-02,ShijoKurumaya,ShijoKarasuma,114
2020-01-02,ShijoKurumaya,GojoKurumaya,106
2020-01-02,GojoKurumaya,ShijoKurumaya,111
2020-01-02,GojoHorikawa,GojoShinmachi,81
2020-01-02,GojoShinmachi,GojoHorikawa,106
2020-01-02,GojoShinmachi,GojoMuromachi,111
2020-01-02,GojoMuromachi,GojoShinmachi,92
2020-01-02,GojoMuromachi,GojoKarasuma,114
2020-01-02,GojoKarasuma,GojoMuromachi,98
2020-01-02,GojoKarasuma,GojoKurumaya,125
2020-01-02,GojoKurumaya,GojoKarasuma,110
2020-01-03,IchijoHorikawa,NijoHorikawa,85
2020-01-03,NijoHorikawa,IchijoHorikawa,70
2020-01-03,IchijoHorikawa,IchijoShinmachi,93
2020-01-03,IchijoShinmachi,IchijoHorikawa,82
2020-01-03,IchijoShinmachi,NijoShinmachi,80
2020-01-03,NijoShinmachi,IchijoShinmachi,88
2020-01-03,IchijoShinmachi,IchijoMuromachi,77
2020-01-03,IchijoMuromachi,IchijoShinmachi,79
2020-01-03,IchijoMuromachi,NijoMuromachi,89
2020-01-03,NijoMuromachi,IchijoMuromachi,85
2020-01-03,IchijoMuromachi,IchijoKarasuma,86
2020-01-03,IchijoKarasuma,IchijoMuromachi,91
2020-01-03,IchijoKarasuma,NijoKarasuma,86
2020-01-03,NijoKarasuma,IchijoKarasuma,93
2020-01-03,IchijoKarasuma,IchijoKurumaya,115
2020-01-03,IchijoKurumaya,IchijoKarasuma,100
2020-01-03,IchijoKurumaya,NijoKurumaya,97
2020-01-03,NijoKurumaya,IchijoKurumaya,88
2020-01-03,NijoHorikawa,SanjoHorikawa,100
2020-01-03,SanjoHorikawa,NijoHorikawa,93
2020-01-03,NijoHorikawa,NijoShinmachi,82
2020-01-03,NijoShinmachi,NijoHorikawa,91
2020-01-03,NijoShinmachi,SanjoShinmachi,106
2020-01-03,SanjoShinmachi,NijoShinmachi,83
2020-01-03,NijoShinmachi,NijoMuromachi,108
2020-01-03,NijoMuromachi,NijoShinmachi,81
2020-01-03,NijoMuromachi,SanjoMuromachi,88
2020-01-03,SanjoMuromachi,NijoMuromachi,109
2020-01-03,NijoMuromachi,NijoKarasuma,101
2020-01-03,NijoKarasuma,NijoMuromachi,106
2020-01-03,NijoKarasuma,SanjoKarasuma,113
2020-01-03,SanjoKarasuma,NijoKarasuma,111
2020-01-03,NijoKarasuma,NijoKurumaya,110
2020-01-03,NijoKurumaya,NijoKarasuma,100
2020-01-03,NijoKurumaya,SanjoKurumaya,108
2020-01-03,SanjoKurumaya,NijoKurumaya,105
2020-01-03,SanjoHorikawa,ShijoHorikawa,88
2020-01-03,ShijoHorikawa,SanjoHorikawa,82
2020-01-03,SanjoHorikawa,SanjoShinmachi,80
2020-01-03,SanjoShinmachi,SanjoHorikawa,94
2020-01-03,SanjoShinmachi,ShijoShinmachi,93
2020-01-03,ShijoShinmachi,SanjoShinmachi,112
2020-01-03,SanjoShinmachi,SanjoMuromachi,97
2020-01-03,SanjoMuromachi,SanjoShinmachi,104
2020-01-03,SanjoMuromachi,ShijoMuromachi,97
2020-01-03,ShijoMuromachi,SanjoMuromachi,114
2020-01-03,SanjoMuromachi,SanjoKarasuma,101
2020-01-03,SanjoKarasuma,SanjoMuromachi,113
2020-01-03,SanjoKarasuma,ShijoKarasuma,102
2020-01-03,ShijoKarasuma,SanjoKarasuma,101
2020-01-03,SanjoKarasuma,SanjoKurumaya,108
2020-01-03,SanjoKurumaya,SanjoKarasuma,124
2020-01-03,SanjoKurumaya,ShijoKurumaya,98
2020-01-03,ShijoKurumaya,SanjoKurumaya,108
2020-01-03,ShijoHorikawa,GojoHorikawa,90
2020-01-03,GojoHorikawa,ShijoHorikawa,111
2020-01-03,ShijoHorikawa,ShijoShinmachi,103
2020-01-03,ShijoShinmachi,ShijoHorikawa,98
2020-01-03,ShijoShinmachi,GojoShinmachi,108
2020-01-03,GojoShinmachi,ShijoShinmachi,101
2020-01-03,ShijoShinmachi,ShijoMuromachi,120
2020-01-03,ShijoMuromachi,ShijoShinmachi,120
2020-01-03,ShijoMuromachi,GojoMuromachi,114
2020-01-03,GojoMuromachi,ShijoMuromachi,112
2020-01-03,ShijoMuromachi,ShijoKarasuma,112
2020-01-03,ShijoKarasuma,ShijoMuromachi,98
2020-01-03,ShijoKarasuma,GojoKarasuma,118
2020-01-03,GojoKarasuma,ShijoKarasuma,125
2020-01-03,ShijoKarasuma,ShijoKurumaya,103
2020-01-03,ShijoKurumaya,ShijoKarasuma,127
2020-01-03,ShijoKurumaya,GojoKurumaya,107
2020-01-03,GojoKurumaya,ShijoKurumaya,106
2020-01-03,GojoHorikawa,GojoShinmachi,88
2020-01-03,GojoShinmachi,GojoHorikawa,84
2020-01-03,GojoShinmachi,GojoMuromachi,87
2020-01-03,GojoMuromachi,GojoShinmachi,88
2020-01-03,GojoMuromachi,GojoKarasuma,117
2020-01-03,GojoKarasuma,GojoMuromachi,97
2020-01-03,GojoKarasuma,GojoKurumaya,106
2020-01-03,GojoKurumaya,GojoKarasuma,118
2020-01-04,IchijoHorikawa,NijoHorikawa,76
2020-01-04,NijoHorikawa,IchijoHorikawa,75
2020-01-04,IchijoHorikawa,IchijoShinmachi,89
2020-01-04,IchijoShinmachi,IchijoHorikawa,73
2020-01-04,IchijoShinmachi,NijoShinmachi,75
2020-01-04,NijoShinmachi,IchijoShinmachi,88
2020-01-04,IchijoShinmachi,IchijoMuromachi,102
2020-01-04,IchijoMuromachi,IchijoShinmachi,79
2020-01-04,IchijoMuromachi,NijoMuromachi,80
2020-01-04,NijoMuromachi,IchijoMuromachi,107
2020-01-04,IchijoMuromachi,IchijoKarasuma,82
2020-01-04,IchijoKarasuma,IchijoMuromachi,97
2020-01-04,IchijoKarasuma,NijoKarasuma,111
2020-01-04,NijoKarasuma,IchijoKarasuma,108
2020-01-04,IchijoKarasuma,IchijoKurumaya,107
2020-01-04,IchijoKurumaya,IchijoKarasuma,94
2020-01-04,IchijoKurumaya,NijoKurumaya,87
2020-01-04,NijoKurumaya,IchijoKurumaya,90
2020-01-04,NijoHorikawa,SanjoHorikawa,77
2020-01-04,SanjoHorikawa,NijoHorikawa,77
2020-01-04,NijoHorikawa,NijoShinmachi,92
2020-01-04,NijoShinmachi,NijoHorikawa,90
2020-01-04,NijoShinmachi,SanjoShinmachi,109
2020-01-04,SanjoShinmachi,NijoShinmachi,108
2020-01-04,NijoShinmachi,NijoMuromachi,81
2020-01-04,NijoMuromachi,NijoShinmachi,100
2020-01-04,NijoMuromachi,SanjoMuromachi,99
2020-01-04,SanjoMuromachi,NijoMuromachi,92
2020-01-04,NijoMuromachi,NijoKarasuma,86
2020-01-04,NijoKarasuma,NijoMuromachi,91
2020-01-04,NijoKarasuma,SanjoKarasuma,105
2020-01-04,SanjoKarasuma,NijoKarasuma,98
2020-01-04,NijoKarasuma,NijoKurumaya,110
2020-01-04,NijoKurumaya,NijoKarasuma,97
2020-01-04,NijoKurumaya,SanjoKurumaya,102
2020-01-04,SanjoKurumaya,NijoKurumaya,115
2020-01-04,SanjoHorikawa,ShijoHorikawa,95
2020-01-04,ShijoHorikawa,SanjoHorikawa,84
2020-01-04,SanjoHorikawa,SanjoShinmachi,82
2020-01-04,SanjoShinmachi,SanjoHorikawa,102
2020-01-04,SanjoShinmachi,ShijoShinmachi,90
2020-01-04,ShijoShinmachi,SanjoShinmachi,86
2020-01-04,SanjoShinmachi,SanjoMuromachi,98
2020-01-04,SanjoMuromachi,SanjoShinmachi,107
2020-01-04,SanjoMuromachi,ShijoMuromachi,97
2020-01-04,ShijoMuromachi,SanjoMuromachi,110
2020-01-04,SanjoMuromachi,SanjoKarasuma,93
2020-01-04,SanjoKarasuma,SanjoMuromachi,119
2020-01-04,SanjoKarasuma,ShijoKarasuma,117
2020-01-04,ShijoKarasuma,SanjoKarasuma,102
2020-01-04,SanjoKarasuma,SanjoKurumaya,121
2020-01-04,SanjoKurumaya,SanjoKarasuma,117
2020-01-04,SanjoKurumaya,ShijoKurumaya,94
2020-01-04,ShijoKurumaya,SanjoKurumaya,91
2020-01-04,ShijoHorikawa,GojoHorikawa,115
2020-01-04,GojoHorikawa,ShijoHorikawa,112
2020-01-04,ShijoHorikawa,ShijoShinmachi,88
2020-01-04,ShijoShinmachi,ShijoHorikawa,89
2020-01-04,ShijoShinmachi,GojoShinmachi,120
2020-01-04,GojoShinmachi,ShijoShinmachi,104
2020-01-04,ShijoShinmachi,ShijoMuromachi,117
2020-01-04,ShijoMuromachi,ShijoShinmachi,111
2020-01-04,ShijoMuromachi,GojoMuromachi,103
2020-01-04,GojoMuromachi,ShijoMuromachi,115
2020-01-04,ShijoMuromachi,ShijoKarasuma,120
2020-01-04,ShijoKarasuma,ShijoMuromachi,125
2020-01-04,ShijoKarasuma,GojoKarasuma,130
2020-01-04,GojoKarasuma,ShijoKarasuma,123
2020-01-04,ShijoKarasuma,ShijoKurumaya,117
2020-01-04,ShijoKurumaya,ShijoKarasuma,120
2020-01-04,ShijoKurumaya,GojoKurumaya,118
2020-01-04,GojoKurumaya,ShijoKurumaya,96
2020-01-04,GojoHorikawa,GojoShinmachi,80
2020-01-04,GojoShinmachi,GojoHorikawa,88
2020-01-04,GojoShinmachi,GojoMuromachi,87
2020-01-04,GojoMuromachi,GojoShinmachi,113
2020-01-04,GojoMuromachi,GojoKarasuma,99
2020-01-04,GojoKarasuma,GojoMuromachi,91
2020-01-04,GojoKarasuma,GojoKurumaya,124
2020-01-04,GojoKurumaya,GojoKarasuma,105
2020-01-05,IchijoHorikawa,NijoHorikawa,74
2020-01-05,NijoHorikawa,IchijoHorikawa,78
2020-01-05,IchijoHorikawa,IchijoShinmachi,98
2020-01-05,IchijoShinmachi,IchijoHorikawa,99
2020-01-05,IchijoShinmachi,NijoShinmachi,105
2020-01-05,NijoShinmachi,IchijoShinmachi,81
2020-01-05,IchijoShinmachi,IchijoMuromachi,100
2020-01-05,IchijoMuromachi,IchijoShinmachi,97
2020-01-05,IchijoMuromachi,NijoMuromachi,100
2020-01-05,NijoMuromachi,IchijoMuromachi,99
2020-01-05,IchijoMuromachi,IchijoKarasuma,92
2020-01-05,IchijoKarasuma,IchijoMuromachi,110
2020-01-05,IchijoKarasuma,NijoKarasuma,100
2020-01-05,NijoKarasuma,IchijoKarasuma,105
2020-01-05,IchijoKarasuma,IchijoKurumaya,107
2020-01-05,IchijoKurumaya,IchijoKarasuma,112
2020-01-05,IchijoKurumaya,NijoKurumaya,88
2020-01-05,NijoKurumaya,IchijoKurumaya,93
2020-01-05,NijoHorikawa,SanjoHorikawa,101
2020-01-05,SanjoHorikawa,NijoHorikawa,76
2020-01-05,NijoHorikawa,NijoShinmachi,90
2020-01-05,NijoShinmachi,NijoHorikawa,96
2020-01-05,NijoShinmachi,SanjoShinmachi,81
2020-01-05,SanjoShinmachi,NijoShinmachi,81
2020-01-05,NijoShinmachi,NijoMuromachi,100
2020-01-05,NijoMuromachi,NijoShinmachi,83
2020-01-05,NijoMuromachi,SanjoMuromachi,90
2020-01-05,SanjoMuromachi,NijoMuromachi,91
2020-01-05,NijoMuromachi,NijoKarasuma,100
2020-01-05,NijoKarasuma,NijoMuromachi,110
2020-01-05,NijoKarasuma,SanjoKarasuma,119
2020-01-05,SanjoKarasuma,NijoKarasuma,113
2020-01-05,NijoKarasuma,NijoKurumaya,101
2020-01-05,NijoKurumaya,NijoKarasuma,91
2020-01-05,NijoKurumaya,SanjoKurumaya,108
2020-01-05,SanjoKurumaya,NijoKurumaya,103
2020-01-05,SanjoHorikawa,ShijoHorikawa,87
2020-01-05,ShijoHorikawa,SanjoHorikawa,81
2020-01-05,SanjoHorikawa,SanjoShinmachi,109
2020-01-05,SanjoShinmachi,SanjoHorikawa,97
2020-01-05,SanjoShinmachi,ShijoShinmachi,97
2020-01-05,ShijoShinmachi,SanjoShinmachi,94
2020-01-05,SanjoShinmachi,SanjoMuromachi,110
2020-01-05,SanjoMuromachi,SanjoShinmachi,96
2020-01-05,SanjoMuromachi,ShijoMuromachi,108
2020-01-05,ShijoMuromachi,SanjoMuromachi,90
2020-01-05,SanjoMuromachi,SanjoKarasuma,120
2020-01-05,SanjoKarasuma,SanjoMuromachi,103
2020-01-05,SanjoKarasuma,ShijoKarasuma,106
2020-01-05,ShijoKarasuma,SanjoKarasuma,123
2020-01-05,SanjoKarasuma,SanjoKurumaya,105
2020-01-05,SanjoKurumaya,SanjoKarasuma,117
2020-01-05,SanjoKurumaya,ShijoKurumaya,90
2020-01-05,ShijoKurumaya,SanjoKurumaya,118
2020-01-05,ShijoHorikawa,GojoHorikawa,110
2020-01-05,GojoHorikawa,ShijoHorikawa,107
2020-01-05,ShijoHorikawa,ShijoShinmachi,102
2020-01-05,ShijoShinmachi,ShijoHorikawa,92
2020-01-05,ShijoShinmachi,GojoShinmachi,111
2020-01-05,GojoShinmachi,ShijoShinmachi,90
2020-01-05,ShijoShinmachi,ShijoMuromachi,94
2020-01-05,ShijoMuromachi,ShijoShinmachi,105
2020-01-05,ShijoMuromachi,GojoMuromachi,125
2020-01-05,GojoMuromachi,ShijoMuromachi,98
2020-01-05,ShijoMuromachi,ShijoKarasuma,125
2020-01-05,ShijoKarasuma,ShijoMuromachi,111
2020-01-05,ShijoKarasuma,GojoKarasuma,101
2020-01-05,GojoKarasuma,ShijoKarasuma,122
2020-01-05,ShijoKarasuma,ShijoKurumaya,110
2020-01-05,ShijoKurumaya,ShijoKarasuma,120
2020-01-05,ShijoKurumaya,GojoKurumaya,98
2020-01-05,GojoKurumaya,ShijoKurumaya,118
2020-01-05,GojoHorikawa,GojoShinmachi,87
2020-01-05,GojoShinmachi,GojoHorikawa,102
2020-01-05,GojoShinmachi,GojoMuromachi,105
2020-01-05,GojoMuromachi,GojoShinmachi,88
2020-01-05,GojoMuromachi,GojoKarasuma,119
2020-01-05,GojoKarasuma,GojoMuromachi,108
2020-01-05,GojoKarasuma,GojoKurumaya,104
2020-01-05,GojoKurumaya,GojoKarasuma,101
2020-01-06,IchijoHorikawa,NijoHorikawa,74
2020-01-06,NijoHorikawa,IchijoHorikawa,82
2020-01-06,IchijoHorikawa,IchijoShinmachi,77
2020-01-06,IchijoShinmachi,IchijoHorikawa,98
2020-01-06,IchijoShinmachi,NijoShinmachi,75
2020-01-06,NijoShinmachi,IchijoShinmachi,93
2020-01-06,IchijoShinmachi,IchijoMuromachi,91
2020-01-06,IchijoMuromachi,IchijoShinmachi,76
2020-01-06,IchijoMuromachi,NijoMuromachi,95
2020-01-06,NijoMuromachi,IchijoMuromachi,85
2020-01-06,IchijoMuromachi,IchijoKarasuma,88
2020-01-06,IchijoKarasuma,IchijoMuromachi,101
2020-01-06,IchijoKarasuma,NijoKarasuma,91
2020-01-06,NijoKarasuma,IchijoKarasuma,115
2020-01-06,IchijoKarasuma,IchijoKurumaya,105
2020-01-06,IchijoKurumaya,IchijoKarasuma,90
2020-01-06,IchijoKurumaya,NijoKurumaya,108
2020-01-06,NijoKurumaya,IchijoKurumaya,93
2020-01-06,NijoHorikawa,SanjoHorikawa,97
2020-01-06,SanjoHorikawa,NijoHorikawa,82
2020-01-06,NijoHorikawa,NijoShinmachi,98
2020-01-06,NijoShinmachi,NijoHorikawa,86
2020-01-06,NijoShinmachi,SanjoShinmachi,103
2020-01-06,SanjoShinmachi,NijoShinmachi,100
2020-01-06,NijoShinmachi,NijoMuromachi,91
2020-01-06,NijoMuromachi,NijoShinmachi,98
2020-01-06,NijoMuromachi,SanjoMuromachi,90
2020-01-06,SanjoMuromachi,NijoMuromachi,115
2020-01-06,NijoMuromachi,NijoKarasuma,87
2020-01-06,NijoKarasuma,NijoMuromachi,97
2020-01-06,NijoKarasuma,SanjoKarasuma,101
2020-01-06,SanjoKarasuma,NijoKarasuma,113
2020-01-06,NijoKarasuma,NijoKurumaya,99
2020-01-06,NijoKurumaya,NijoKarasuma,110
2020-01-06,NijoKurumaya,SanjoKurumaya,97
2020-01-06,SanjoKurumaya,NijoKurumaya,115
2020-01-06,SanjoHorikawa,ShijoHorikawa,110
2020-01-06,ShijoHorikawa,SanjoHorikawa,110
2020-01-06,SanjoHorikawa,SanjoShinmachi,88
2020-01-06,SanjoShinmachi,SanjoHorikawa,90
2020-01-06,SanjoShinmachi,ShijoShinmachi,87
2020-01-06,ShijoShinmachi,SanjoShinmachi,112
2020-01-06,SanjoShinmachi,SanjoMuromachi,95
2020-01-06,SanjoMuromachi,SanjoShinmachi,103
2020-01-06,SanjoMuromachi,ShijoMuromachi,92
2020-01-06,ShijoMuromachi,SanjoMuromachi,115
2020-01-06,SanjoMuromachi,SanjoKarasuma,103
2020-01-06,SanjoKarasuma,SanjoMuromachi,105
2020-01-06,SanjoKarasuma,ShijoKarasuma,115
2020-01-06,ShijoKarasuma,SanjoKarasuma,96
2020-01-06,SanjoKarasuma,SanjoKurumaya,101
2020-01-06,SanjoKurumaya,SanjoKarasuma,96
2020-01-06,SanjoKurumaya,ShijoKurumaya,112
2020-01-06,ShijoKurumaya,SanjoKurumaya,104
2020-01-06,ShijoHorikawa,GojoHorikawa,87
2020-01-06,GojoHorikawa,ShijoHorikawa,85
2020-01-06,ShijoHorikawa,ShijoShinmachi,92
2020-01-06,ShijoShinmachi,ShijoHorikawa,115
2020-01-06,ShijoShinmachi,GojoShinmachi,119
2020-01-06,GojoShinmachi,ShijoShinmachi,99
2020-01-06,ShijoShinmachi,ShijoMuromachi,102
2020-01-06,ShijoMuromachi,ShijoShinmachi,105
2020-01-06,ShijoMuromachi,GojoMuromachi,96
2020-01-06,GojoMuromachi,ShijoMuromachi,114
2020-01-06,ShijoMuromachi,ShijoKarasuma,109
2020-01-06,ShijoKarasuma,ShijoMuromachi,124
2020-01-06,ShijoKarasuma,GojoKarasuma,129
2020-01-06,GojoKarasuma,ShijoKarasuma,122
2020-01-06,ShijoKarasuma,ShijoKurumaya,112
2020-01-06,ShijoKurumaya,ShijoKarasuma,110
2020-01-06,ShijoKurumaya,GojoKurumaya,104
2020-01-06,GojoKurumaya,ShijoKurumaya,118
2020-01-06,GojoHorikawa,GojoShinmachi,86
2020-01-06,GojoShinmachi,GojoHorikawa,107
2020-01-06,GojoShinmachi,GojoMuromachi,89
2020-01-06,GojoMuromachi,GojoShinmachi,106
2020-01-06,GojoMuromachi,GojoKarasuma,119
2020-01-06,GojoKarasuma,GojoMuromachi,116
2020-01-06,GojoKarasuma,GojoKurumaya,121
2020-01-06,GojoKurumaya,GojoKarasuma,123
2020-01-07,IchijoHorikawa,NijoHorikawa,92
2020-01-07,NijoHorikawa,IchijoHorikawa,92
2020-01-07,IchijoHorikawa,IchijoShinmachi,84
2020-01-07,IchijoShinmachi,IchijoHorikawa,96
2020-01-07,IchijoShinmachi,NijoShinmachi,105
2020-01-07,NijoShinmachi,IchijoShinmachi,105
2020-01-07,IchijoShinmachi,IchijoMuromachi,85
2020-01-07,IchijoMuromachi,IchijoShinmachi,102
2020-01-07,IchijoMuromachi,NijoMuromachi,108
2020-01-07,NijoMuromachi,IchijoMuromachi,91
2020-01-07,IchijoMuromachi,IchijoKarasuma,86
2020-01-07,IchijoKarasuma,IchijoMuromachi,83
2020-01-07,IchijoKarasuma,NijoKarasuma,93
2020-01-07,NijoKarasuma,IchijoKarasuma,108
