"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2022/12/23","振込2 カ)フユ-ジヨンズ","467225","MUFJ","収入","給与","","0","OU181GPDNSd_6Q6QhWqg8hGAQy25s1lof4bAjXKR9Ok"
"1","2022/12/12","電話 Dカ-ド","-28984","MUFJ","通信費","携帯電話","","0","68jtf0-xgkVtngx39ll0QbTa8_-UWEEvg_mgz6LQobg"
"1","2022/12/09","振込2 カ)フユ-ジヨンズ","774375","MUFJ","収入","給与","","0","_9OUYSZYE8gRGgls7c_U9ryo8wQXVNQtdducid-6Y2k"
"1","2022/12/05","口座振替3 UC","-55831","MUFJ","現金・カード","カード引き落とし","","0","WQ7wc_7LuqGIYto3T0luReJhhvIJ98DKYr6u4ZmMvRQ"
"1","2023/01/26","口座振替3 ミツイスミトモカ-ド","-46912","MUFJ","現金・カード","カード引き落とし","","0","0dLbPf0bduje2Iesas_GF3hK9vSJKy8cF8IOos9dmbw"
"1","2023/01/25","振込2 カ)フユ-ジヨンズ","352869","MUFJ","収入","給与","","0","vVhPswC8cxI93gkqfgmfP3UR8HeEuEkC0VEX7Y2IZSI"
"1","2023/01/16","為替手数料 フリコミ テスウリヨウ","-330","MUFJ","その他","雑費","","0","xpAiBgvLaiO8JL5ymiVP5jI78sqKuqJutt3POAxstyc"
"1","2023/01/16","振込8 サトウ コウジ","-1000000","MUFJ","未分類","未分類","","0","9TpzO9t9EkwLIPIsDMZtntqXnzRv2UAhALjaQH9OUeg"
"1","2023/01/10","振込2 カ)フユ-ジヨンズ","753707","MUFJ","収入","預金","","0","K8JTL-I67fVR8_RWn_12HrURwZXAp8-B5xcaWlaCM3M"
"1","2023/01/10","電話 Dカ-ド","-32297","MUFJ","通信費","携帯電話","","0","GzZlZhxDahkTiSfp7jc1FeyYdpBlt0AndszPT_XtfIE"
"1","2023/01/05","口座振替3 UC","-53130","MUFJ","現金・カード","カード引き落とし","","0","45N5nsYvZghB5WsKcYqFf3XD8sJe_NXdrCrtSfNC2XU"
"1","2023/02/27","口座振替3 ミツイスミトモカ-ド","-97236","MUFJ","現金・カード","カード引き落とし","","0","znQzhZc2CqNwSJXWz2g7CqmTO9nR2PdNk0bISIjL6iE"
"1","2023/02/26","手数料","-330","MUFJ","その他","雑費","","0","2TS3073Njy-llQ4nGxoo3s-paHogYcsUVnafCtSvgDs"
"1","2023/02/26","カードC1 セブンギンコウATM","-50000","MUFJ","現金・カード","ATM引き出し","","0","vvATHQLaF3WdVluJlUUdtLzq8m78VR4j6kHJt-N75dE"
"1","2023/02/24","振込2 カ)フユ-ジヨンズ","366962","MUFJ","収入","給与","","0","77HRauzKVq1tvhW6l-V3hKDPPwn8myT-jJ5l5tbOlTI"
"1","2023/02/20","利息","9","MUFJ","収入","その他入金","","0","W8c_YCXgPPJ_gb1pG11fw17TIZHb1bFK_zSGfctnl30"
"1","2023/02/10","電話 Dカ-ド","-42030","MUFJ","通信費","携帯電話","","0","p_Sf98mLFaK3vhBnIdQDC3cTGxY30ol883Vxwh_gjfQ"
"1","2023/02/07","手数料","-220","MUFJ","その他","雑費","","0","YM33p8DXYZ8gsoejSaikcwRXn7J9V5H1g25MxlBN4tw"
"1","2023/02/07","カードC1 セブンギンコウATM","-50000","MUFJ","現金・カード","ATM引き出し","","0","bVrGnFE5_E0usbpqra1xn8qOP2FA1PMLFqVdSN1g1dg"
"1","2023/02/06","口座振替3 UC","-369882","MUFJ","現金・カード","カード引き落とし","","0","Ab0c-3JUpDKrMc-z3MaMgALg-7PUwqT7aGJe_1fQdzI"
"1","2023/03/27","口座振替3 ミツイスミトモカ-ド","-265833","MUFJ","現金・カード","カード引き落とし","","0","-_lEakQfble2Lf0paKD2SCF9obQL0dC7orr1ZM-ZZtg"
"1","2023/03/24","カードC1 セブンギンコウATM","-50000","MUFJ","現金・カード","ATM引き出し","","0","y_W3ilEm05tF5NcLbpQKEJVu6wW-UZ5Luz7OcMr91JE"
"1","2023/03/24","振込2 カ)フユ-ジヨンズ","359226","MUFJ","収入","預金","","0","FjpihqTs2Qi-yDDzQAqMrZ66OTgk4wBEl7zv4jcOGVo"
"1","2023/03/10","電話 Dカ-ド","-33717","MUFJ","通信費","携帯電話","","0","-SBpfspCFmMlviOI23tSdeOdPncsclfenjgsgLG6CGM"
"1","2023/03/06","口座振替3 UC","-465300","MUFJ","現金・カード","カード引き落とし","","0","6_FzgNUR3NWJthBHx1qa8UQlbKg1PMVKBgO1nX5jefI"
"1","2023/04/26","口座振替3 ミツイスミトモカ-ド","-173754","MUFJ","現金・カード","カード引き落とし","","0","S0BzPIyXvDR_zgR1_LPPNvKkzm0Uhl9h_7Fe8cSH5Fc"
"1","2023/04/25","振込2 カ)フユ-ジヨンズ","1871341","MUFJ","収入","給与","","0","ErK455kTajYCap5alqMSoYec62a-s4tUFjcVaRf4cPY"
"1","2023/04/14","手数料","-110","MUFJ","その他","雑費","","0","-yh4TS30DsfUvkw88-aTjShcLl0dwBFqB58OOVEK9pM"
"1","2023/04/14","MICS リヨウギンコウ0130","-60000","MUFJ","現金・カード","ATM引き出し","","0","WNDM_5p6L9K0Gmniygjsr9S96ZUYojtTX77s7LZYiL8"
"1","2023/04/10","電話 Dカ-ド","-28984","MUFJ","通信費","携帯電話","","0","x6SNm5qDtQwewd2wq1aKE0hAqrnpL61piP9C8ApAnyM"
"1","2023/04/05","口座振替3 UC","-229553","MUFJ","現金・カード","カード引き落とし","","0","oA5B6Kh6be7iRB5c1_rZtT-QHS9XuFqcJZZPwa11cOk"
"1","2023/05/26","為替手数料 フリコミ テスウリヨウ","-330","MUFJ","その他","雑費","","0","O5axVVfx9dmKLjqrK3hTfp0svQbtYpd9bUbmNrMBMLQ"
"1","2023/05/26","振込8 サトウ コウジ","-1000000","MUFJ","未分類","未分類","","0","jLNctX2e_Gk8OeFeGvu0nq2JBFDztwGdfLX5tVhVwUw"
"1","2023/05/26","口座振替3 ミツイスミトモカ-ド","-89087","MUFJ","現金・カード","カード引き落とし","","0","ipBROGtg3eZpc8NREH1hYWsNboaMzaCfNZSC3JwTy5I"
"1","2023/05/10","電話 Dカ-ド","-36004","MUFJ","通信費","携帯電話","","0","y8x9oeYA6jtwmQc1w48roFbunZ3VWCRyh18cDimqFhA"
"1","2023/05/08","口座振替3 UC","-515384","MUFJ","現金・カード","カード引き落とし","","0","pxAabIhtB1r6YBT2WqxWvwy7y1KQpORKUOU2-_1Z6N4"
"1","2023/05/06","手数料","-308","MUFJ","その他","雑費","","0","pO5I2rmJr_sPpqL74OJFk2bCHqCrWUJrs_kMEFeIkbs"
"1","2023/05/06","カードC1","-50000","MUFJ","現金・カード","ATM引き出し","","0","0U--0BCZi8-JaJ-cTjiyg7K3eMXKNx6NaldBzAcGHvk"
"1","2023/05/03","手数料","-308","MUFJ","その他","雑費","","0","RIOXA_dNsYnED33pumuLp0xKpvVVzSqfp9ydepk64so"
"1","2023/05/03","カードC1","-30000","MUFJ","現金・カード","ATM引き出し","","0","2kQGWE-l17jCJc7teeIuJQbYw2Ccj_97K9OV6-z5vcQ"
"1","2023/05/03","手数料","-308","MUFJ","その他","雑費","","0","wJ_8Vx2YYUskSpHuC5SpnvSg36nrDktPGzoy56xq1W4"
"1","2023/05/03","カードC1","-30000","MUFJ","現金・カード","ATM引き出し","","0","1SBfk0PelX79We5G5mVM5cxlBsnndbkX0xanBy2GYvI"
"1","2023/05/03","手数料","-308","MUFJ","その他","雑費","","0","mm_74Ij7ivDGtc385lN-lOZ4rZ2TS2uPnzP62FZfcN0"
"1","2023/05/03","カードC1","-30000","MUFJ","現金・カード","ATM引き出し","","0","3ILt0JT8z9hJcS01k0B8wjruUikimcuddIZUWwcxT1M"
"1","2023/06/30","まぐまぐ!","-880","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","fessMSeGVq7m-pvCmwmiut3Tv7e01nWMvTMCWu4BIyY"
"1","2023/06/30","ドコモ決済サービス等/iD 7月分","-9369","dカード","通信費","携帯電話","","0","M78JiuLqeBwkond-yQUXX2CCvldQTBBhL4l_d7RDZbs"
"1","2023/06/30","ドコモご利用料金/iD 7月分","-19979","dカード","通信費","携帯電話","","0","NwjxRzK26YlkTKnEsoOhP2ct0VfjKOO6skDgrdwLn-s"
"1","2023/06/26","口座振替3 ミツイスミトモカ-ド","-67691","MUFJ","現金・カード","カード引き落とし","","0","yVS6rHivYgxN33HBPQBIv4tGCIS1qifAccE5ZBnAhas"
"1","2023/06/17","CHATGPT SUBSCRIPTION (OPENAI.COM )","-2898","dカード","教養・教育","その他教養・教育","","0","SAwYJf_2am1M0vMmf-DBoNa7ihcyT2pcQQKpVTBsAIk"
"1","2023/06/12","電話 Dカ-ド","-50210","MUFJ","通信費","携帯電話","","0","6r4luZv-zLgV9HB8MQs9B2DlUgVFH_xc2JJn2kvQ6Sg"
"1","2023/06/05","口座振替3 UC","-150598","MUFJ","現金・カード","カード引き落とし","","0","Gj2F2ukl-s5QVb6EL5Bogl0dOB1TGfkTqwav6_KFczE"
"1","2023/07/31","APPLE COM BILL","-1980","みずほマイレージクラブカード（UC）","通信費","その他通信費","","0","wWsKoK1GOEx6hbf-D3OFMlTGhEmeN2yGNVVFgjZVbzY"
"1","2023/07/31","まぐまぐ!","-880","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","OmckhSKeZkWgBLkM7MDY0B0FjWLHkkjsSdgzVzr77UA"
"1","2023/07/31","ドコモ決済サービス等/iD 8月分","-9047","dカード","通信費","携帯電話","","0","8i4f2QCajS9Q6qtuCRL101UvS32h-JEyUFeFioc54s4"
"1","2023/07/31","ドコモご利用料金/iD 8月分","-19976","dカード","通信費","携帯電話","","0","1eg8I83gxBTcSEh096y1HCLW8QN0-Ho_vyLgNeWh754"
"1","2023/07/31","モバイルPASMOチャージ","-3000","dカード","現金・カード","電子マネー","","0","YMC0LTook5Bf7ae6yZVTj_UBZeD4oq6o84mylyilGSs"
"1","2023/07/30","パスポート 宮前店","-12386","dカード","食費","食費","","0","QyU-66CY0Oyf_0ApKJAc4z1-a60wod3IY83Rft8rqSA"
"1","2023/07/27","APPLE COM BILL","-1600","みずほマイレージクラブカード（UC）","通信費","その他通信費","","0","cCAu0uxNeWRSH2iPWIVlQCmUCoWhOnTHvMX0prEvQ8E"
"1","2023/07/27","APPLE COM BILL","-700","みずほマイレージクラブカード（UC）","通信費","その他通信費","","0","UITUYx5RUs6MWxiTV5pCM31Y7b1vv5q7UP9U6bkUL-E"
"1","2023/07/27","マイクロソフト","-1716","みずほマイレージクラブカード（UC）","通信費","情報サービス","","0","l0cGaURZ-05nYTKiwjwO5cTzaNWvZ65eSZtWLd__azk"
"1","2023/07/27","振込1 ソ-ダストリ-ム(カ","8640","MUFJ","未分類","未分類","","0","WDaMyXrXa45DMNxeXTBvP9j51zeP-eMY-yUIDIDUNw8"
"1","2023/07/26","本屋B&B","-116756","dカード","教養・教育","書籍","","0","gpvAgbhCKdlC5NugAkx40USB8W7DLqU-WyV3tB0m2B8"
"1","2023/07/26","口座振替3 ミツイスミトモカ-ド","-69808","MUFJ","現金・カード","カード引き落とし","","0","TnAz2uN9mu0fOHTyOPStNl5IJpodwvxQfCAPUbDFSis"
"1","2023/07/25","ADOBE CREATIVE CLOUD","-3278","みずほマイレージクラブカード（UC）","その他","事業経費","","0","TSzcKSnZi6wO0a4M3d5j36OGJplvic6xrC_KbsPIsX8"
"1","2023/07/19","PAYPAL *PATREON MEMBE","-1458","みずほマイレージクラブカード（UC）","その他","雑費","","0","OSRi5qzgRqFkVeeGUh5V7BP5RY14br3Ku02eeZGSGbg"
"1","2023/07/18","JAセレサカワサキ セレサモス","-1383","dカード","食費","食料品","","0","UfHRk9NXL03SsKkJabCl1SI-wWqctck2Dn0yj-2Ra_0"
"1","2023/07/18","テックランド 稲城若葉台店","-4932","dカード","特別な支出","家具・家電","","0","9yyfxrMd-sJOsmBQ0IRwUaiqx-1Ytvy66A8eM9ncpPk"
"1","2023/07/17","NYTIMES*NYTIMES","-1130","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","42IpqFOJ5_vB0wYb_9tZxAaKi9axaUyXcg6WSGoiYdc"
"1","2023/07/15","ノートンストア.jp","-16960","みずほマイレージクラブカード（UC）","通信費","インターネット","","0","2lE0J6F_gXh087OiyCVoXx4keVfabRKkuIAa_Oj2fRs"
"1","2023/07/14","BOOKSCAN","-11006","みずほマイレージクラブカード（UC）","教養・教育","その他教養・教育","","0","Xp4hKrawQj5uCLfdN29wF3tNpQHQHazNQFmJGnHQPOg"
"1","2023/07/13","朝日新聞デジタル(朝日ID決済)","-1980","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","WGEONkYMbx7gwRiTt5Cv3z09GdmAczKo9rNJGrDl3lg"
"1","2023/07/10","電話 Dカ-ド","-40408","MUFJ","通信費","携帯電話","","0","q1pdlDX5XggpQnqch0DAzXsSdLyq1AH9dF2l9CkM1fE"
"1","2023/07/07","モバイルPASMOチャージ","-5000","dカード","現金・カード","電子マネー","","0","cITuYa_2BZY9JQ4PWDcuLP9vP-aqlSxFkHCE_LimNn0"
"1","2023/07/07","手数料","-220","MUFJ","その他","雑費","","0","hBqOqB_J2janpc_S6lxA76ptT-27ixRzLLhxo-hU0QE"
"1","2023/07/07","MICS リヨウギンコウ0138","-50000","MUFJ","現金・カード","ATM引き出し","","0","EoGrGv3opeu-tSj5B294egceOx69kCaCFN0n5P_PojU"
"1","2023/07/05","口座振替3 UC","-257617","MUFJ","現金・カード","カード引き落とし","","0","YNlPKujY9SDoDiH-sdmKLnsS-LsJajPYp0ISuK2Ll5E"
"1","2023/07/03","テックランド 向ヶ丘店","-13576","dカード","特別な支出","家具・家電","","0","hjGyevXuhZ7p-t14yn0s2K-46T0MunaSPf0RBLow5CE"
"1","2023/07/03","テックランド 向ヶ丘店","-8110","dカード","特別な支出","家具・家電","","0","WWVcQoiZhbHYrWI_xLI3rtPxjAooQv-OCbGtg2ZRqZg"
"1","2023/07/01","ビデオニュース・ドットコム","-550","みずほマイレージクラブカード（UC）","通信費","放送視聴料","","0","UWmKeKlgivvkkONM6fDoB55C_3A2fDCBa1uGMIRyyms"
"1","2023/07/01","ドスパラ","-990","みずほマイレージクラブカード（UC）","日用品","日用品","","0","yBze9B9yevDKlekOZUFWRE6pFTWSG8_p-7ThIIOU7p0"
"1","2023/07/01","ドスパラ","-980","みずほマイレージクラブカード（UC）","日用品","日用品","","0","dHivav60Si8CLRTEbYsSWB6Lods0MlFRIdLuXclAaWQ"
"1","2023/07/01","ドスパラ","-420","みずほマイレージクラブカード（UC）","日用品","日用品","","0","YSKHpdWB13xlAbEEy-sS-1v0RLVE7DMPh-36Uv87OMk"
"1","2023/08/31","APPLE COM BILL","-1980","みずほマイレージクラブカード（UC）","通信費","その他通信費","","0","DIjJe9KV_-qCbmSyM40KpBto1kG1QwFWmp0oSSi-3Fw"
"1","2023/08/31","まぐまぐ!","-880","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","9PLWUZ_dE_qQD_msaCZbHlcYY4QZi9nDYtnhFjUNbEo"
"1","2023/08/31","ドコモ決済サービス等/iD 9月分","-12119","dカード","通信費","携帯電話","","0","PIXGi-EyXFUVR3_DlKnkmqZt2b_HB3dhaDC9yv6t0Dg"
"1","2023/08/31","ドコモご利用料金/iD 9月分","-17843","dカード","通信費","携帯電話","","0","Br58pE-TGbyAU2LHcXVy0vAuQVQB5X66yG0yDf_xL5s"
"1","2023/08/30","AMAZON.CO.JP","-14417","三井住友カード (Vpass ID)","教養・教育","書籍","","0","AGeTDKFyEc1jWwxSe-XgO7gqCsL9soZ5sdhXiJSwQJQ"
"1","2023/08/30","モバイルPASMOチャージ","-2000","dカード","現金・カード","電子マネー","","0","SiGd8SiSzUgb85I8JXEulX8ThZUjWqYe3I65cVvYGBs"
"1","2023/08/29","Amazon Downloads","-629","三井住友カード (Vpass ID)","教養・教育","書籍","","0","7IXD47VAj-him0o0fw-x6a2f--UyPq05Zl3oErFXjIM"
"1","2023/08/28","AMAZON.CO.JP","-3300","三井住友カード (Vpass ID)","教養・教育","書籍","","0","Vi2Jnxqjj05QOof4bYgZigz-BMPwJODkON_Zel6G6Uw"
"1","2023/08/28","コクリツセイシン シンケイイリヨウケンキユウセン","-54370","みずほマイレージクラブカード（UC）","健康・医療","医療費","","0","PbhCu3vrUpYhsDDMIKK9MGwgtz8Q2DSSgFECv1yLIQE"
"1","2023/08/27","APPLE COM BILL","-1600","みずほマイレージクラブカード（UC）","通信費","その他通信費","","0","Zo4Nwv539r40Iiqva1Q2kld8yrqM7ZA1PdhBaq2ulJo"
"1","2023/08/27","APPLE COM BILL","-700","みずほマイレージクラブカード（UC）","通信費","その他通信費","","0","XOGcbh7xZNdIUbcyUTTFd2b0h48rPCMdDlbpIubGrfE"
"1","2023/08/27","マイクロソフト","-1716","みずほマイレージクラブカード（UC）","通信費","情報サービス","","0","h8e1QDjecJmXsR4rNURkK-Dw6j7y6Htus3I-OLjL8yg"
"1","2023/08/26","Amazon Downloads","-1870","三井住友カード (Vpass ID)","教養・教育","書籍","","0","8j8hSC04szB_xGiQGYu-5FyeLj-4tOg4aNnzKM4tSbY"
"1","2023/08/26","Amazon Downloads","-558","三井住友カード (Vpass ID)","教養・教育","書籍","","0","4wfpmg4YGWMVR8R54H-yiG0Zg5LqzBfrZ1aWYNGcwQg"
"1","2023/08/26","Amazon Downloads","-1188","三井住友カード (Vpass ID)","教養・教育","書籍","","0","jR2jYd9IEHia0QnF-wAeQcdnfPrjMAIbNZcRNmn9mpw"
"1","2023/08/25","ADOBE CREATIVE CLOUD","-3278","みずほマイレージクラブカード（UC）","その他","事業経費","","0","73EmqqwkiX1gR1sZKTi7xEao2ik9MHMLIU6pBtMCfZo"
"1","2023/08/25","BANCS イオンギンコウ","-20000","MUFJ","日用品","日用品","","0","nzo3F4oAsuTIbhTXhkptpmBwZT_6x0ceRgi9vb1GcUA"
"1","2023/08/21","ジヨウザンケイシヨウテン (ジヤラ","-17903","みずほマイレージクラブカード（UC）","交通費","その他交通費","","0","drkKZEw4DoOvlN8ILCwv4MxHjMh7w9td6yUeUSyOA0Q"
"1","2023/08/21","エ-エヌエ-ジヤランパツク","-52300","みずほマイレージクラブカード（UC）","交通費","飛行機","","0","2L4tFSKqqK6_0HbNU5v83Oj4d2x7pdk3W2AIvRPdXmA"
"1","2023/08/21","利息","7","MUFJ","収入","その他入金","","0","xzmDTkJ2nk2eV9QcbKdMsJcsrhdBRao5HYSMZ7Wy1QM"
"1","2023/08/19","Amazon Downloads","-1986","三井住友カード (Vpass ID)","教養・教育","書籍","","0","F-p6Wbp7H_7nd7S6na59-A51J8KhrRKqf_vor2Bq93s"
"1","2023/08/19","講談社FRIDAY","-110","みずほマイレージクラブカード（UC）","教養・教育","その他教養・教育","","0","oIexjlWwaYBWtn051q2Zgj8GDMzu6CAGWIe7D6jg-xE"
"1","2023/08/19","PAYPAL *PATREON MEMBE","-1520","みずほマイレージクラブカード（UC）","その他","雑費","","0","D9BipFdnMVfosqC7jrehS1bgpamXj6kl1jSlQNKxMeY"
"1","2023/08/18","Amazon Downloads","-901","三井住友カード (Vpass ID)","教養・教育","書籍","","0","tSv1RQFI8Pyvuj0hmRxTZRSLyccRBkawjekp60ZHp0Y"
"1","2023/08/14","BOOKSCAN","-11006","みずほマイレージクラブカード（UC）","教養・教育","その他教養・教育","","0","nipod405SxhRpjUp4vS_Pb0zy41oCK5a9Y2h7CjCjb0"
"1","2023/08/14","NYTIMES*NYTIMES","-1186","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","2UXKfr33v38JNeilX1j9nnOzeuqehRl2RdwgW1e4Gik"
"1","2023/08/13","Amazon Downloads","-1430","三井住友カード (Vpass ID)","教養・教育","書籍","","0","vOEt_ydZ9Zcp-cpAa4NyIciMfhOluFAuhVPgumwoZAo"
"1","2023/08/13","Amazon Downloads","-2148","三井住友カード (Vpass ID)","教養・教育","書籍","","0","3NtXjmMU_ULfDSMrsRrw0SfX9KPwAqqppycLP8RN4to"
"1","2023/08/13","Amazon Downloads","-1430","三井住友カード (Vpass ID)","教養・教育","書籍","","0","qUpcXgLnG6czwGVZlA7oQ9RtHJyng0s676niJC5Hdzk"
"1","2023/08/13","Amazon Downloads","-1430","三井住友カード (Vpass ID)","教養・教育","書籍","","0","ZOaG4ppCzRyCNPykt_vhtgTm5QVVHqisGvsbFRZsoyU"
"1","2023/08/13","エスイ-シヨツプドツトコム","-19560","みずほマイレージクラブカード（UC）","教養・教育","書籍","","0","ujN6EVxg7znjjVN_eV9Z--OuYtejsGb_pCwM324f-KI"
"1","2023/08/13","エスイ-シヨツプドツトコム","-10162","みずほマイレージクラブカード（UC）","教養・教育","書籍","","0","M6xaVE8n8o7o6x-W-M8OVeLCEvVTPZuvVnWVjZgFcGk"
"1","2023/08/13","朝日新聞デジタル(朝日ID決済)","-1980","みずほマイレージクラブカード（UC）","教養・教育","新聞・雑誌","","0","jfHn7k9QUYX4c8ZZ2PYbL3qz_ysIzUwb3W9Or8peWFQ"
"1","2023/08/12","honto","-389","みずほマイレージクラブカード（UC）","教養・教育","書籍","","0","-W156WieewFGr44VdTBr7LdCfCwT3xU0fpS5JFCJ2Ao"
"1","2023/08/10","MonotaRO.com","-11990","みずほマイレージクラブカード（UC）","日用品","その他日用品","","0","Ai9-qFX2mBLiesiHj-fdlwCOkxORzCpnDgaRWfU1m84"
"0","2023/08/10","電話 Dカ-ド","-58932","MUFJ","未分類","未分類","","1","deuA_rnTONDeOWUTJbFu8MvavNwhJUa--M4dI6UfNgs"
"1","2023/08/09","honto","-2805","みずほマイレージクラブカード（UC）","教養・教育","書籍","","0","Qm7hoJL1tPJn-TommqlqAzBt8E9FLTxOoTrnOxHbzzE"
"1","2023/08/09","モバイルPASMOチャージ","-3000","dカード","現金・カード","電子マネー","","0","CHkaGX6XL07nZWoEkKUgErrwTxGe3Y2NCsd0KqxOZWw"
"1","2023/08/07","AMAZON.CO.JP","-3300","三井住友カード (Vpass ID)","教養・教育","書籍","","0","I9IwNIZ4711RkvT-ZMJvobYOJbcGeIPyxNI9iz_6epo"
"1","2023/08/07","APPLE COM BILL","-10400","みずほマイレージクラブカード（UC）","特別な支出","家具・家電","","0","9uWzXNj9Oz2FWL7zVXkC_MuRf0BC5OdhqT2Dr3HrEBI"
"1","2023/08/07","BOOKSCAN","-11006","みずほマイレージクラブカード（UC）","教養・教育","その他教養・教育","","0","VVjL6Ze3irG0f8iUxwGDxujoRJiduz7H0hu5kL-ldSY"
"1","2023/08/07","口座振替3 UC","-867718","MUFJ","現金・カード","カード引き落とし","","0","0Yfspsv5qJx1uyy9_2J6ZAZDQeSEzEOmzvf1b8Hr6hg"
"1","2023/08/05","AMAZON.CO.JP","-792","三井住友カード (Vpass ID)","教養・教育","書籍","","0","lVBCoZQbijW_ja9d7a9ENIe6hF-TkbDV8oxLnWt3mQk"
"1","2023/08/05","AMAZON.CO.JP","-5323","三井住友カード (Vpass ID)","教養・教育","書籍","","0","ieysgj979eQYbzoE-u5yI_5qD5N0PCqrsZdOqDLxDMo"
"1","2023/08/05","AMAZON.CO.JP","-1205","三井住友カード (Vpass ID)","教養・教育","書籍","","0","93uHQiw2717XXBBMdTjCuAscUqnfwcclRWpIrHeVvug"
"1","2023/08/05","AMAZON.CO.JP","-903","三井住友カード (Vpass ID)","教養・教育","書籍","","0","PVkJDe_ZoL166W6EbjQAR9roAhiCO3u6vtWefg3XdkU"
"1","2023/08/05","AMAZON.CO.JP","-1452","三井住友カード (Vpass ID)","教養・教育","書籍","","0","o7-1u3AuS20eA9PO8YE6dF4uVWdttTjDfHTXG2dlNgk"
"1","2023/08/05","AMAZON.CO.JP","-2904","三井住友カード (Vpass ID)","教養・教育","書籍","","0","UYDEc0qt6k1okkL0Lurfie_jLY6Nrs3FYepCR5v1DV4"
"1","2023/08/04","Amazon Downloads","-922","三井住友カード (Vpass ID)","教養・教育","書籍","","0","F9UTiW88ypbLX9X0cLPFyGIdfswnuwsV_SOsi1ASxq4"
"1","2023/08/04","Amazon Downloads","-2065","三井住友カード (Vpass ID)","教養・教育","書籍","","0","N_KIm0seicyJEEsyTEWps7TPRfbXq_2tBPgdyacvJiE"
"1","2023/08/04","Amazon Downloads","-849","三井住友カード (Vpass ID)","教養・教育","書籍","","0","Bm3ZhNhDFiO__EAXDCORCy08SBniC9t3bYxikoHsq00"
"1","2023/08/04","Amazon Downloads","-756","三井住友カード (Vpass ID)","教養・教育","書籍","","0","Uoilp2Q1ZJOCpgoBY_bghSnZBam2xI9N48HYJoNgxW8"
"1","2023/08/04","AMAZON.CO.JP","-3350","三井住友カード (Vpass ID)","教養・教育","書籍","","0","UJutLE76kZ8LV6Uabqg5P4Z6AKmSv7AJpPV6kD-m5ks"
"1","2023/08/04","シヤングリラツルオカ (ジヤラン","-8300","みずほマイレージクラブカード（UC）","交通費","その他交通費","","0","k6-YQc7ZvoRvjt7dfW4_VVibyQlbnFJmK8jdCGWm4W4"
"1","2023/08/04","BOOKSCAN","-14520","みずほマイレージクラブカード（UC）","教養・教育","その他教養・教育","","0","XM8BPdrQcE9UAnuLAybWH4NZl1RQH4ZD-OhrQTAqczQ"
"1","2023/08/04","AmazonDownloads","-980","みずほマイレージクラブカード（UC）","教養・教育","書籍","","0","Wu5hKbh0q7_iCfwCsVhvOjG6PlliU5fWklu5ihFQ-w8"
