t_idx,node_idx,optimal_input_u,state_error_x
15,8,0.0000,8854.5300
16,0,0.0000,5495.6900
16,1,0.0000,30439.7000
16,2,0.0000,58637.7900
16,3,8227.7145,15439.5000
16,4,2022.4899,3795.2500
16,5,5291.7748,9930.1400
16,6,-0.0000,60884.2400
16,7,0.0000,119361.4000
16,8,0.0000,3390.1300
17,0,0.0000,7252.7600
17,1,0.0000,10471.4400
17,2,0.0000,41539.0800
17,3,2834.2855,16681.3200
17,4,1231.0088,7245.1600
17,5,1507.9194,8874.9300
17,6,0.0000,48162.6200
17,7,0.0000,96153.4000
17,8,0.0000,18625.5100
18,0,0.0000,12726.3400
18,1,0.0000,4523.3000
18,2,0.0000,37111.0900
18,3,1550.8678,18210.0100
18,4,370.7594,4353.3900
18,5,536.3845,6298.1300
18,6,0.0000,36106.4500
18,7,0.0000,78095.7900
18,8,0.0000,42186.3200
19,0,0.0000,7533.0200
19,1,0.0000,1888.8700
19,2,0.0000,48549.2000
19,3,-538.4621,17404.6100
19,4,-172.4890,5575.3300
19,5,-236.0088,7628.4700
19,6,0.0000,30629.3600
19,7,0.0000,64035.4300
19,8,0.0000,50107.3900
20,0,0.0000,1681.0000
20,1,0.0000,15870.9600
20,2,0.0000,15213.5600
20,3,-4146.7442,17228.2300
20,4,-1049.7251,4361.2300
20,5,-3416.6136,14194.8000
20,6,0.0000,21126.0400
20,7,0.0000,47271.6400
20,8,0.0000,21977.0600
21,0,0.0000,17258.5600
21,1,0.0000,5649.1300
21,2,0.0000,25965.9500
21,3,-1773.5503,15950.8400
21,4,-446.5098,4015.7900
21,5,-883.6485,7947.3000
21,6,-0.0000,23150.0800
21,7,0.0000,52652.8100
21,8,0.0000,5352.9400
22,0,0.0000,15899.4600
22,1,0.0000,2523.1400
22,2,0.0000,7786.5900
22,3,-548.1269,19603.3200
22,4,-156.5504,5598.9000
22,5,-222.6257,7962.0300
22,6,-0.0000,27941.5100
22,7,0.0000,59596.1000
22,8,0.0000,9653.2500
23,0,0.0000,17639.8800
23,1,0.0000,1535.2100
23,2,0.0000,10734.9900
23,3,-0.0000,0.0000
23,4,-0.0000,0.0000
23,5,665.6841,5451.6300
23,6,-0.0000,25774.0900
23,7,0.0000,57998.9000
23,8,0.0000,25213.2800
