t_idx,node_idx,fk_echo_impact
24,3,5.6904
24,4,9.1685
24,5,13.6380
24,6,5.0350
24,7,7.2073
24,8,37.4632
24,9,17.0359
24,10,1.9871
24,11,7.4844
24,12,0.8401
24,13,34.5374
24,14,129.9970
24,15,14.8618
24,16,5.3771
24,17,38.5398
24,18,39.5780
24,19,17.9910
24,20,0.6373
24,21,1.4634
24,22,6.2274
24,23,9.8851
24,24,7.9359
25,0,0.6048
25,1,1.3659
25,2,0.8022
25,3,5.8310
25,4,9.2036
25,5,14.4795
25,6,5.1463
25,7,7.2669
25,8,38.4922
25,9,17.1745
25,10,2.0006
25,11,7.4696
25,12,0.8314
25,13,34.7170
25,14,129.4841
25,15,14.5504
25,16,5.2840
25,17,37.4155
25,18,39.2460
25,19,17.7167
25,20,0.6190
25,21,1.4657
25,22,6.2058
25,23,9.9072
25,24,7.9538
26,0,0.5666
26,1,1.3248
26,2,0.7686
26,3,5.7068
26,4,9.2463
26,5,13.7645
26,6,4.9782
26,7,7.3479
26,8,37.4178
26,9,17.3268
26,10,2.0360
26,11,7.6804
26,12,0.8575
26,13,34.6929
26,14,129.4019
26,15,14.6854
26,16,5.3995
26,17,38.3413
26,18,39.5867
26,19,18.1095
26,20,0.6489
26,21,1.4447
26,22,6.1681
26,23,9.8403
26,24,7.8925
27,0,0.5763
27,1,1.3284
27,2,0.7780
27,3,5.7877
27,4,9.0617
27,5,13.7641
27,6,4.9770
27,7,7.3069
27,8,37.6542
27,9,17.1179
27,10,1.9406
27,11,7.2684
27,12,0.7985
27,13,34.1198
27,14,129.6735
27,15,14.8128
27,16,5.3324
27,17,38.0718
27,18,40.0698
27,19,18.5273
27,20,0.6191
27,21,1.4562
27,22,6.2692
27,23,9.8636
27,24,8.0582
28,0,0.5979
28,1,1.3877
28,2,0.8166
28,3,5.8986
28,4,9.2322
28,5,14.2129
28,6,5.1259
28,7,7.3956
28,8,38.1847
28,9,17.4720
28,10,2.0815
28,11,7.7071
28,12,0.8635
28,13,35.2254
28,14,129.2260
28,15,14.8014
28,16,5.4686
28,17,37.5521
28,18,38.7808
28,19,17.7272
28,20,0.6516
28,21,1.4710
28,22,6.1342
28,23,9.5331
28,24,7.6861
29,0,0.5703
29,1,1.3581
29,2,0.7907
29,3,5.7711
29,4,9.1198
29,5,14.0796
29,6,5.0552
29,7,7.2578
29,8,37.7948
29,9,17.3192
29,10,2.0714
29,11,7.5945
29,12,0.8567
29,13,34.6895
29,14,129.3198
29,15,14.8740
29,16,5.4485
29,17,38.1153
29,18,39.2797
29,19,17.9242
29,20,0.6526
29,21,1.4918
29,22,6.2308
29,23,9.7220
29,24,7.8458
30,0,0.5917
30,1,1.3641
30,2,0.8283
30,3,5.7814
30,4,8.8014
30,5,14.1359
30,6,5.2137
30,7,7.0908
30,8,37.0078
30,9,16.7613
30,10,2.0703
30,11,7.6379
30,12,0.8438
30,13,34.8014
30,14,129.5784
30,15,14.8557
30,16,5.3794
30,17,38.0217
30,18,39.8773
30,19,18.2215
30,20,0.6346
30,21,1.4909
30,22,6.3240
30,23,9.9315
30,24,7.9891
31,0,0.5704
31,1,1.3215
31,2,0.7814
31,3,5.7049
31,4,9.1071
31,5,13.9080
31,6,4.9859
31,7,7.1512
31,8,37.8102
31,9,17.0083
31,10,1.9502
31,11,7.3153
31,12,0.8367
31,13,33.5249
31,14,129.3620
31,15,14.8123
31,16,5.4700
31,17,37.9681
31,18,40.5075
31,19,18.3748
31,20,0.6454
31,21,1.4822
31,22,6.3871
31,23,10.1410
31,24,8.1071
32,0,0.5890
32,1,1.3405
32,2,0.8070
32,3,5.7940
32,4,9.1638
32,5,14.0394
32,6,5.0499
32,7,7.2509
32,8,38.0183
32,9,17.1203
32,10,2.0723
32,11,7.5596
32,12,0.8558
32,13,34.1751
32,14,129.3831
32,15,14.7098
32,16,5.4241
32,17,37.5263
32,18,39.9174
32,19,17.9743
32,20,0.6606
32,21,1.4920
32,22,6.3885
32,23,10.0051
32,24,7.9166
33,0,0.5977
33,1,1.3765
33,2,0.8086
33,3,5.8791
33,4,9.0095
33,5,14.4597
33,6,5.1448
33,7,7.2576
33,8,37.2561
33,9,16.7647
33,10,2.0105
33,11,7.5334
33,12,0.8460
33,13,35.3992
33,14,129.6571
33,15,14.8626
33,16,5.4199
33,17,37.9474
33,18,39.1702
33,19,17.9194
33,20,0.6422
33,21,1.4719
33,22,6.2403
33,23,9.7413
33,24,7.8180
34,0,0.5843
34,1,1.3542
34,2,0.7865
34,3,5.7529
34,4,9.0117
34,5,14.0930
34,6,5.1199
34,7,7.2049
34,8,38.0277
34,9,16.9937
34,10,1.9596
34,11,7.4109
34,12,0.8483
34,13,34.6815
34,14,129.6797
34,15,14.8988
34,16,5.4113
34,17,37.7089
34,18,39.5649
34,19,17.9565
34,20,0.6430
34,21,1.4889
34,22,6.3329
34,23,9.9285
34,24,7.7912
35,0,0.5873
35,1,1.3453
35,2,0.7611
35,3,5.5856
35,4,8.8649
35,5,13.5383
35,6,4.8888
35,7,6.9307
35,8,36.0047
35,9,16.6182
35,10,1.9315
35,11,7.3724
35,12,0.8402
35,13,34.6750
35,14,129.6229
35,15,15.2009
35,16,5.4685
35,17,39.0107
35,18,40.5561
35,19,18.9922
35,20,0.6397
35,21,1.5078
35,22,6.3772
35,23,9.7865
35,24,8.1271
