t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
3,10,16769.0000,1.5838,1726.6875
3,11,23531.0000,1.9998,742.1875
3,12,17834.0000,1.5841,12818.7500
3,13,24768.0000,1.9997,68044.6875
3,14,25656.0000,1.9995,28267.5000
3,15,25884.0000,1.9994,11229.0000
3,16,24547.0000,1.9997,2382.1875
3,17,18929.0000,1.5844,34738.5000
3,18,27022.0000,1.9995,29712.1875
3,19,19655.0000,1.5844,10079.6875
3,20,11837.0000,0.9990,12052.6875
3,21,18056.0000,1.5844,11707.2500
3,22,18902.0000,1.5842,26683.1875
3,23,19796.0000,1.5837,9006.1875
3,24,13109.0000,0.9999,6412.7500
4,0,10444.0000,1.0000,10101.6875
4,1,16332.0000,1.5832,5392.1875
4,2,16413.0000,1.5843,10747.1875
4,3,17361.0000,1.5840,25477.1875
4,4,18430.0000,1.5840,12655.6875
4,5,24180.0000,1.9997,6306.6875
4,6,23089.0000,1.9992,8378.6875
4,7,12034.0000,0.9992,1180.5000
4,8,25660.0000,1.9992,10207.2500
4,9,18470.0000,1.5831,6768.5000
4,10,17243.0000,1.5844,4218.1875
4,11,24246.0000,1.9996,992.1875
4,12,18144.0000,1.5848,14384.7500
4,13,25327.0000,1.9998,67286.1875
4,14,26660.0000,1.9998,24445.6875
4,15,26450.0000,1.9991,2070.0000
4,16,25257.0000,1.9999,1193.5000
4,17,19355.0000,1.5845,31090.5000
4,18,27757.0000,1.9995,30899.2500
4,19,20581.0000,1.5843,15444.6875
4,20,12038.0000,0.9988,9451.2500
4,21,18566.0000,1.5840,12862.6875
4,22,19568.0000,1.5835,25498.6875
4,23,20528.0000,1.5842,8650.7500
4,24,13867.0000,1.0000,9673.0000
5,0,10254.0000,0.9993,9351.1875
5,1,15990.0000,1.5844,1112.6875
5,2,16094.0000,1.5838,10522.2500
5,3,16694.0000,1.5845,26816.1875
5,4,17706.0000,1.5837,12014.7500
5,5,23153.0000,1.9993,6332.5000
5,6,22234.0000,1.9992,5914.2500
5,7,11661.0000,0.9992,1580.5000
5,8,24548.0000,1.9995,12398.1875
5,9,17818.0000,1.5834,9705.6875
5,10,16928.0000,1.5848,6473.2500
5,11,23357.0000,1.9992,1309.2500
5,12,17596.0000,1.5846,11866.0000
5,13,24442.0000,1.9986,64480.2500
5,14,25782.0000,1.9997,24316.6875
5,15,26038.0000,1.9993,1377.0000
5,16,24772.0000,1.9992,14402.5000
5,17,18824.0000,1.5838,34679.2500
5,18,26931.0000,1.9998,23648.1875
5,19,19729.0000,1.5838,25586.0000
5,20,11734.0000,1.0000,13920.6875
5,21,18275.0000,1.5845,14681.2500
5,22,19049.0000,1.5843,4533.2500
5,23,19827.0000,1.5836,8636.1875
5,24,13294.0000,0.9997,9457.6875
6,0,10460.0000,1.0000,4494.7500
6,1,16313.0000,1.5844,2015.6875
6,2,16440.0000,1.5831,12528.5000
6,3,17408.0000,1.5844,18988.2500
6,4,18118.0000,1.5847,12629.0000
6,5,24216.0000,1.9997,23372.2500
6,6,22930.0000,1.9991,5991.6875
6,7,11965.0000,0.9997,2142.6875
6,8,25378.0000,1.9990,12362.7500
6,9,18560.0000,1.5838,9296.1875
6,10,17443.0000,1.5846,3939.1875
6,11,24393.0000,1.9992,1818.6875
6,12,18344.0000,1.5848,13049.0000
6,13,25294.0000,1.9998,26510.6875
6,14,26353.0000,1.9994,23753.1875
6,15,26620.0000,1.9995,18572.7500
6,16,25497.0000,1.9999,11944.6875
6,17,19313.0000,1.5837,24788.6875
6,18,27930.0000,1.9993,22752.5000
6,19,20571.0000,1.5836,26764.7500
6,20,12013.0000,0.9988,5928.5000
6,21,18410.0000,1.5840,12239.1875
6,22,19471.0000,1.5842,883.2500
6,23,20568.0000,1.5833,15291.6875
6,24,13804.0000,1.0000,11413.5000
7,0,10516.0000,1.0000,1594.7500
7,1,16246.0000,1.5835,2725.6875
7,2,16533.0000,1.5846,28076.5000
7,3,17390.0000,1.5843,12419.1875
7,4,18533.0000,1.5843,10653.6875
7,5,24170.0000,1.9997,31083.1875
7,6,22924.0000,1.9990,6044.1875
7,7,12503.0000,0.9998,2142.6875
7,8,25506.0000,1.9994,3562.7500
7,9,18951.0000,1.5839,3118.6875
7,10,17502.0000,1.5836,3572.2500
7,11,24067.0000,1.9994,2368.6875
7,12,18540.0000,1.5845,12308.7500
7,13,25136.0000,1.9992,1715.6875
7,14,26460.0000,1.9996,22343.1875
7,15,26591.0000,1.9994,13806.6875
7,16,25481.0000,1.9998,9280.6875
7,17,19501.0000,1.5843,6507.6875
7,18,27732.0000,1.9996,15792.5000
7,19,20580.0000,1.5840,9465.6875
7,20,12079.0000,0.9981,10776.5000
7,21,18592.0000,1.5836,28514.1875
7,22,19702.0000,1.5837,7062.5000
7,23,20515.0000,1.5845,13413.5000
7,24,13806.0000,1.0000,3078.1875
8,0,10368.0000,1.0000,5126.0000
8,1,15995.0000,1.5848,1469.5000
8,2,16050.0000,1.5847,12917.6875
8,3,16741.0000,1.5842,11611.6875
8,4,17791.0000,1.5842,21691.5000
8,5,23359.0000,1.9994,27906.5000
8,6,22525.0000,1.9995,4304.6875
8,7,11784.0000,0.9993,5197.1875
8,8,24633.0000,1.9992,4187.6875
8,9,18063.0000,1.5834,3867.2500
8,10,16616.0000,1.5842,5418.1875
8,11,23109.0000,1.9996,1389.0000
8,12,17718.0000,1.5840,8978.7500
8,13,24259.0000,1.9997,1992.6875
8,14,25719.0000,1.9998,10882.5000
8,15,25796.0000,1.9997,13144.6875
8,16,24412.0000,1.9994,11546.2500
8,17,18948.0000,1.5838,4272.5000
8,18,26788.0000,1.9996,6295.6875
8,19,19656.0000,1.5845,12454.2500
8,20,11764.0000,0.9991,7896.5000
8,21,17871.0000,1.5840,25205.5000
8,22,19025.0000,1.5834,8066.1875
8,23,19888.0000,1.5845,15228.5000
8,24,13152.0000,1.0000,2588.7500
9,0,10491.0000,1.0000,4494.6875
9,1,16516.0000,1.5836,17814.2500
9,2,16586.0000,1.5840,8429.6875
9,3,17447.0000,1.5841,26913.2500
9,4,18400.0000,1.5842,21519.2500
9,5,24085.0000,1.9996,27906.5000
9,6,23206.0000,1.9997,3652.1875
9,7,12305.0000,0.9999,3972.1875
9,8,25449.0000,1.9992,1138.2500
9,9,18773.0000,1.5839,8250.6875
9,10,17382.0000,1.5845,1700.1875
9,11,24322.0000,1.9993,12796.1875
9,12,18392.0000,1.5842,3544.7500
9,13,25537.0000,1.9993,24697.2500
9,14,26867.0000,1.9999,2105.1875
9,15,26738.0000,1.9999,17393.6875
9,16,25585.0000,1.9999,9684.6875
9,17,19612.0000,1.5832,11641.2500
9,18,27961.0000,1.9996,913.6875
9,19,20577.0000,1.5836,12454.2500
9,20,11878.0000,0.9993,19236.5000
9,21,18465.0000,1.5830,25446.5000
9,22,19511.0000,1.5830,13154.1875
9,23,20319.0000,1.5843,34524.5000
9,24,13676.0000,1.0000,32912.7500
10,0,10237.0000,0.9995,5765.2500
10,1,15713.0000,1.5838,19890.2500
10,2,16083.0000,1.5845,10594.2500
10,3,16661.0000,1.5846,30201.6875
10,4,17622.0000,1.5846,20527.2500
10,5,23395.0000,1.9998,13436.1875
10,6,22249.0000,1.9988,6006.5000
10,7,11686.0000,0.9997,3296.5000
10,8,24604.0000,1.9998,14354.5000
10,9,17982.0000,1.5834,10154.1875
10,10,16926.0000,1.5847,1682.7500
10,11,23563.0000,1.9992,13769.1875
10,12,17862.0000,1.5845,1288.7500
10,13,24773.0000,1.9993,21593.1875
10,14,25828.0000,1.9995,2297.5000
10,15,25835.0000,1.9999,7103.2500
10,16,24595.0000,1.9998,18668.1875
10,17,18902.0000,1.5824,5027.1875
10,18,27095.0000,1.9997,777.2500
10,19,19797.0000,1.5837,12356.5000
10,20,11761.0000,0.9991,17661.5000
10,21,17948.0000,1.5831,21322.2500
10,22,18808.0000,1.5837,10635.5000
10,23,19867.0000,1.5841,29841.6875
10,24,13198.0000,1.0000,31862.7500
11,0,10468.0000,1.0000,5425.2500
11,1,16359.0000,1.5847,24564.1875
11,2,16445.0000,1.5840,3675.5000
11,3,17462.0000,1.5844,37728.6875
11,4,18381.0000,1.5836,19027.2500
11,5,24296.0000,1.9988,4990.6875
11,6,22843.0000,1.9998,7947.6875
11,7,11843.0000,0.9990,5750.2500
11,8,25655.0000,1.9996,11518.6875
11,9,18188.0000,1.5830,8862.5000
11,10,17461.0000,1.5841,881.1875
11,11,24265.0000,1.9997,10881.6875
11,12,18237.0000,1.5847,2398.6875
11,13,25473.0000,1.9993,14802.7500
11,14,26696.0000,1.9994,5427.2500
11,15,26601.0000,1.9996,5657.2500
11,16,25337.0000,1.9994,16250.1875
11,17,19493.0000,1.5840,5699.1875
11,18,27793.0000,1.9996,9553.1875
11,19,20443.0000,1.5843,12208.1875
11,20,12137.0000,0.9995,14962.2500
11,21,18686.0000,1.5835,6922.2500
11,22,19627.0000,1.5840,6588.6875
11,23,20575.0000,1.5843,23067.1875
11,24,13580.0000,0.9999,28892.7500
12,0,10666.0000,1.0000,2963.5000
12,1,16561.0000,1.5847,24144.1875
12,2,16496.0000,1.5841,4011.5000
12,3,17405.0000,1.5846,25063.6875
12,4,18398.0000,1.5849,6169.1875
12,5,24251.0000,1.9990,4990.6875
12,6,23125.0000,1.9995,7928.6875
12,7,12292.0000,0.9997,1030.5000
12,8,25502.0000,1.9995,8101.5000
12,9,18827.0000,1.5844,14079.5000
12,10,17267.0000,1.5848,880.2500
12,11,24238.0000,1.9996,8829.5000
12,12,18347.0000,1.5848,2554.5000
12,13,25310.0000,1.9995,14467.1875
12,14,26346.0000,1.9991,5780.6875
12,15,26607.0000,1.9995,14590.6875
12,16,25361.0000,1.9997,5024.7500
12,17,19475.0000,1.5839,11559.5000
12,18,27907.0000,1.9990,19866.0000
12,19,20530.0000,1.5827,9731.6875
12,20,12283.0000,0.9996,5360.1875
12,21,18725.0000,1.5840,6912.5000
12,22,19709.0000,1.5832,4253.1875
12,23,20705.0000,1.5838,20890.7500
12,24,13729.0000,0.9999,25491.1875
13,0,9403.0000,0.9997,4398.5000
13,1,14771.0000,1.5842,3018.7500
13,2,14738.0000,1.5835,4200.5000
13,3,15692.0000,1.5835,29285.2500
13,4,16472.0000,1.5848,8416.6875
13,5,21819.0000,1.9994,5277.1875
13,6,20742.0000,1.9998,3203.6875
13,7,10769.0000,0.9999,455.2500
13,8,23020.0000,1.9993,9087.1875
13,9,16840.0000,1.5836,5816.6875
13,10,15521.0000,1.5846,1328.6875
13,11,21628.0000,1.9998,9741.2500
13,12,16450.0000,1.5836,2571.5000
13,13,22949.0000,1.9989,2449.6875
13,14,24025.0000,1.9998,5351.6875
13,15,24193.0000,1.9997,17274.7500
13,16,22820.0000,1.9995,4940.1875
13,17,17587.0000,1.5840,8001.6875
13,18,25173.0000,1.9995,17409.0000
13,19,18289.0000,1.5842,2348.6875
13,20,10947.0000,0.9993,11528.0000
13,21,16722.0000,1.5841,3098.6875
13,22,17576.0000,1.5842,1657.2500
13,23,18516.0000,1.5839,10408.1875
13,24,12264.0000,1.0000,12889.6875
14,0,10628.0000,0.9998,6199.1875
14,1,16733.0000,1.5838,3056.7500
14,2,16645.0000,1.5835,8008.5000
14,3,17459.0000,1.5845,29440.5000
14,4,18400.0000,1.5845,7198.6875
14,5,24218.0000,1.9996,3660.2500
14,6,23213.0000,1.9998,7497.1875
14,7,12324.0000,0.9999,95.2500
14,8,25219.0000,1.9998,1762.2500
14,9,18618.0000,1.5849,6839.6875
14,10,17526.0000,1.5841,2575.1875
14,11,24076.0000,1.9993,7599.6875
14,12,18123.0000,1.5846,2101.1875
14,13,25336.0000,1.9996,1566.2500
14,14,26561.0000,1.9996,5688.5000
14,15,26865.0000,1.9993,15226.0000
14,16,25536.0000,1.9989,5160.5000
14,17,19567.0000,1.5832,5194.7500
14,18,28029.0000,1.9993,11886.7500
14,19,20581.0000,1.5835,2247.6875
14,20,11915.0000,0.9996,12851.0000
14,21,18746.0000,1.5828,6926.6875
14,22,19682.0000,1.5839,3595.2500
14,23,20501.0000,1.5842,11419.6875
14,24,13633.0000,1.0000,11548.5000
15,0,10322.0000,0.9999,4736.6875
15,1,15860.0000,1.5845,1148.1875
15,2,15900.0000,1.5843,6625.6875
15,3,16740.0000,1.5833,11165.5000
15,4,17705.0000,1.5846,2251.6875
15,5,23632.0000,1.9991,20485.5000
15,6,22128.0000,1.9993,6187.5000
15,7,11765.0000,0.9995,5169.2500
15,8,24513.0000,1.9993,1504.2500
15,9,17970.0000,1.5835,8105.6875
15,10,16927.0000,1.5843,2494.6875
15,11,23485.0000,1.9991,11093.1875
15,12,17841.0000,1.5848,171.1875
15,13,24872.0000,1.9995,12408.6875
15,14,25558.0000,1.9997,11353.2500
15,15,25890.0000,1.9998,16320.6875
15,16,24528.0000,1.9994,10391.1875
15,17,18749.0000,1.5840,6390.7500
15,18,26953.0000,1.9996,21155.0000
15,19,19699.0000,1.5837,2142.6875
15,20,11732.0000,0.9992,8028.1875
15,21,17988.0000,1.5842,5685.6875
15,22,18962.0000,1.5838,3553.6875
15,23,19845.0000,1.5843,7045.6875
15,24,13182.0000,0.9997,9821.5000
16,0,10505.0000,1.0000,5527.2500
16,1,16510.0000,1.5847,1263.5000
16,2,16402.0000,1.5839,3805.6875
16,3,17415.0000,1.5845,18307.2500
16,4,18363.0000,1.5845,3098.2500
16,5,24072.0000,1.9995,20759.6875
16,6,22929.0000,1.9993,10318.5000
16,7,11985.0000,0.9999,5827.1875
16,8,25538.0000,1.9995,3826.2500
16,9,18534.0000,1.5837,582.0000
16,10,17322.0000,1.5846,3575.2500
16,11,23944.0000,1.9991,12416.1875
16,12,18285.0000,1.5848,2619.1875
16,13,25296.0000,1.9989,13365.6875
16,14,26919.0000,1.9994,15191.6875
16,15,26803.0000,1.9993,5238.1875
16,16,25556.0000,1.9992,3026.7500
16,17,19554.0000,1.5835,17167.6875
16,18,27903.0000,1.9998,25760.7500
16,19,20268.0000,1.5840,1397.6875
16,20,12072.0000,0.9994,376.5000
16,21,18709.0000,1.5833,3237.6875
16,22,19704.0000,1.5835,4732.7500
16,23,20494.0000,1.5837,11528.5000
16,24,13524.0000,1.0000,10724.1875
17,0,10205.0000,1.0000,7275.5000
17,1,15896.0000,1.5846,1709.6875
17,2,15808.0000,1.5844,3351.6875
17,3,16876.0000,1.5844,12257.2500
17,4,17816.0000,1.5848,6872.2500
17,5,23337.0000,1.9996,7753.1875
17,6,22183.0000,1.9994,10537.6875
17,7,11749.0000,0.9993,6118.6875
17,8,24670.0000,1.9995,2302.5000
17,9,18044.0000,1.5833,7202.7500
17,10,16625.0000,1.5840,5151.5000
17,11,23268.0000,1.9996,18506.1875
17,12,17430.0000,1.5846,5031.6875
17,13,24490.0000,1.9994,8225.0000
17,14,25715.0000,1.9996,14044.6875
17,15,26007.0000,1.9997,7100.1875
17,16,24568.0000,1.9991,21644.7500
17,17,18826.0000,1.5835,9551.5000
17,18,26857.0000,1.9997,24164.7500
17,19,19825.0000,1.5839,8706.1875
17,20,11731.0000,0.9999,1001.2500
17,21,18127.0000,1.5843,5277.5000
17,22,18881.0000,1.5818,2738.1875
17,23,19647.0000,1.5842,17279.1875
17,24,13259.0000,1.0000,449.5000
18,0,10601.0000,0.9999,5270.1875
18,1,16523.0000,1.5839,276.1875
18,2,16453.0000,1.5846,1245.6875
18,3,17599.0000,1.5848,15048.5000
18,4,18317.0000,1.5844,6410.6875
18,5,24426.0000,1.9997,5174.6875
18,6,22915.0000,1.9991,6993.1875
18,7,12037.0000,0.9991,5563.0000
18,8,25432.0000,1.9995,470.6875
18,9,18576.0000,1.5842,6529.0000
18,10,17318.0000,1.5844,5020.2500
18,11,24016.0000,1.9996,19869.6875
18,12,18199.0000,1.5845,7244.1875
18,13,25461.0000,1.9994,17168.1875
18,14,26603.0000,1.9991,12560.6875
18,15,26596.0000,1.9994,18202.2500
18,16,25131.0000,1.9996,27534.6875
18,17,19434.0000,1.5835,9356.6875
18,18,27852.0000,1.9993,24810.6875
18,19,20402.0000,1.5837,4712.5000
18,20,12229.0000,0.9998,997.5000
18,21,18667.0000,1.5835,3529.6875
18,22,19510.0000,1.5835,2652.6875
18,23,20232.0000,1.5842,25318.2500
18,24,13491.0000,1.0000,7738.2500
19,0,10466.0000,1.0000,321.1875
19,1,16169.0000,1.5848,4730.5000
19,2,16246.0000,1.5845,1969.6875
19,3,17288.0000,1.5839,11590.2500
19,4,18240.0000,1.5840,15482.2500
19,5,24430.0000,1.9998,1344.1875
19,6,22697.0000,1.9990,7508.7500
19,7,12042.0000,0.9996,7817.6875
19,8,25603.0000,1.9995,5993.1875
19,9,18742.0000,1.5840,8489.0000
19,10,17514.0000,1.5843,7220.6875
19,11,24249.0000,1.9993,11901.6875
19,12,18453.0000,1.5846,7599.1875
19,13,25597.0000,1.9998,9129.5000
19,14,26653.0000,1.9995,1253.0000
19,15,26458.0000,1.9989,19198.2500
19,16,25295.0000,1.9994,37867.5000
19,17,19485.0000,1.5840,17315.6875
19,18,27914.0000,1.9994,12679.2500
19,19,20365.0000,1.5842,4392.5000
19,20,12198.0000,0.9997,1316.5000
19,21,18663.0000,1.5834,8236.7500
19,22,19601.0000,1.5837,4464.2500
19,23,20614.0000,1.5844,24881.1875
19,24,13582.0000,1.0000,6800.2500
20,0,10219.0000,0.9998,863.6875
20,1,16090.0000,1.5847,16357.5000
20,2,15884.0000,1.5835,3560.6875
20,3,16936.0000,1.5848,22678.6875
20,4,17775.0000,1.5844,28592.2500
20,5,23551.0000,1.9988,1775.2500
20,6,22020.0000,1.9996,9791.1875
20,7,11671.0000,0.9997,5710.1875
20,8,24721.0000,1.9991,24448.2500
20,9,18037.0000,1.5836,8034.1875
20,10,17078.0000,1.5846,7635.6875
20,11,23403.0000,1.9998,12433.2500
20,12,17629.0000,1.5849,10901.1875
20,13,24644.0000,1.9998,11640.5000
20,14,25771.0000,1.9990,2069.0000
20,15,25768.0000,1.9996,25491.6875
20,16,24552.0000,1.9996,46291.5000
20,17,19172.0000,1.5838,8081.1875
20,18,26771.0000,1.9997,5768.5000
20,19,19828.0000,1.5842,1321.2500
20,20,11583.0000,0.9996,2569.1875
20,21,17914.0000,1.5835,9258.6875
20,22,18969.0000,1.5844,3985.6875
20,23,19997.0000,1.5841,25419.5000
20,24,13311.0000,0.9999,6445.1875
21,0,10482.0000,0.9999,1713.2500
21,1,16303.0000,1.5836,11527.1875
21,2,16601.0000,1.5845,3628.5000
21,3,17432.0000,1.5843,22756.1875
21,4,18348.0000,1.5844,28009.5000
21,5,24009.0000,1.9996,1524.5000
21,6,22797.0000,1.9995,8707.1875
21,7,12009.0000,0.9997,7338.1875
21,8,25421.0000,1.9996,27738.6875
21,9,18600.0000,1.5837,6976.6875
21,10,17581.0000,1.5849,2669.1875
21,11,24331.0000,1.9998,4484.1875
21,12,18267.0000,1.5846,13371.0000
21,13,25497.0000,1.9995,15755.1875
21,14,26627.0000,1.9996,2552.7500
21,15,26576.0000,1.9995,13204.0000
21,16,25283.0000,1.9995,50364.1875
21,17,19478.0000,1.5840,6992.1875
21,18,27986.0000,1.9992,3860.6875
21,19,20645.0000,1.5843,636.5000
21,20,12281.0000,0.9998,4103.1875
21,21,18685.0000,1.5844,13092.6875
21,22,19492.0000,1.5837,2092.2500
21,23,20404.0000,1.5845,18645.6875
21,24,13657.0000,0.9999,5837.1875
22,0,10250.0000,1.0000,3150.6875
22,1,15748.0000,1.5842,18141.2500
22,2,16051.0000,1.5842,2434.2500
22,3,16720.0000,1.5836,16033.0000
22,4,17437.0000,1.5840,26622.5000
22,5,23440.0000,1.9997,11796.5000
22,6,22381.0000,1.9984,7887.1875
22,7,11613.0000,0.9997,4279.1875
22,8,24401.0000,1.9991,45098.0000
22,9,17924.0000,1.5832,7726.6875
22,10,16975.0000,1.5848,1360.2500
22,11,23801.0000,1.9995,1104.7500
22,12,17811.0000,1.5846,18540.7500
22,13,24659.0000,1.9994,7406.1875
22,14,25731.0000,1.9995,7507.0000
22,15,25775.0000,1.9992,15528.1875
22,16,24662.0000,1.9999,1757.5000
22,17,18775.0000,1.5837,6702.5000
22,18,26785.0000,1.9995,2968.2500
22,19,19673.0000,1.5846,4989.6875
22,20,11645.0000,0.9987,1342.1875
22,21,17863.0000,1.5831,4760.1875
22,22,18984.0000,1.5835,6340.2500
22,23,19771.0000,1.5841,28968.5000
22,24,13175.0000,1.0000,422.1875
23,0,6624.0000,1.0000,880.6875
23,1,10612.0000,1.5822,19033.6875
23,2,10478.0000,1.5840,2970.5000
23,3,11263.0000,1.5839,18865.1875
23,4,11750.0000,1.5845,14766.5000
23,5,15611.0000,1.9988,8036.1875
23,6,14820.0000,1.9995,969.5000
23,7,7779.0000,0.9974,4157.0000
23,8,16189.0000,1.9994,15584.7500
23,9,11840.0000,1.5837,3433.6875
23,10,11023.0000,1.5847,1155.1875
23,11,15576.0000,1.9991,1370.6875
23,12,11870.0000,1.5846,20401.1875
23,13,16464.0000,1.9996,4565.5000
23,14,16878.0000,1.9995,4265.6875
23,15,17382.0000,1.9995,4905.6875
23,16,16443.0000,1.9993,5595.2500
23,17,12457.0000,1.5838,1950.5000
23,18,18223.0000,1.9993,17168.1875
23,19,13306.0000,1.5838,4126.2500
23,20,7853.0000,0.9992,3197.0000
23,21,12070.0000,1.5838,5647.2500
23,22,12557.0000,1.5846,6404.2500
23,23,13116.0000,1.5841,26087.5000
23,24,8794.0000,1.0000,2932.1875
