src_idx,tgt_idx,optimal_lag,max_correlation
5,10,4,0.3370
5,11,3,0.2342
5,12,5,0.2658
5,13,4,0.1630
5,14,5,0.4375
5,15,0,0.2457
5,16,0,0.0381
5,17,1,0.2991
5,18,1,0.3121
5,19,3,0.4199
5,20,0,0.3112
5,21,1,0.4973
5,22,0,0.5622
5,23,3,0.4100
5,24,5,0.3202
6,0,4,0.3256
6,1,4,0.1005
6,2,6,0.1800
6,3,6,0.3405
6,4,2,0.2144
6,5,6,0.2355
6,6,0,1.0000
6,7,4,0.2602
6,8,0,0.2683
6,9,2,0.2595
6,10,4,0.2830
6,11,0,0.2369
6,12,0,0.4876
6,13,5,0.4831
6,14,0,0.3628
6,15,6,0.3148
6,16,6,0.4072
6,17,2,0.2655
6,18,5,0.0311
6,19,4,0.1334
6,20,1,0.5035
6,21,0,0.0952
6,22,6,0.1292
6,23,1,0.3701
6,24,6,0.3659
7,0,6,0.3112
7,1,1,0.1997
7,2,4,0.4455
7,3,0,0.2370
7,4,5,0.3476
7,5,5,0.4007
7,6,4,0.2588
7,7,0,1.0000
7,8,2,0.3003
7,9,2,0.2257
7,10,2,0.1523
7,11,5,0.2342
7,12,4,0.3725
7,13,0,0.1641
7,14,6,0.1256
7,15,3,0.6802
7,16,0,0.3663
7,17,6,0.4229
7,18,0,0.5294
7,19,6,0.4223
7,20,3,0.2526
7,21,6,0.2172
7,22,1,0.1974
7,23,5,0.2536
7,24,3,0.4036
8,0,5,0.3433
8,1,0,-0.0830
8,2,4,0.2241
8,3,6,0.2611
8,4,1,0.2939
8,5,4,0.1263
8,6,6,0.5471
8,7,4,0.2655
8,8,0,1.0000
8,9,6,0.2373
8,10,0,-0.0013
8,11,3,0.4139
8,12,0,0.5333
8,13,6,0.2978
8,14,6,0.4083
8,15,2,0.3274
8,16,2,0.0683
8,17,4,0.2880
8,18,4,0.3498
8,19,3,0.1819
8,20,5,0.2391
8,21,5,0.1347
8,22,0,0.1023
8,23,4,0.1183
8,24,6,0.3149
9,0,3,0.4455
9,1,6,0.5364
9,2,4,0.1658
9,3,4,0.3020
9,4,3,0.1689
9,5,6,0.3234
9,6,1,0.0526
9,7,5,0.3112
9,8,6,0.1403
9,9,0,1.0000
9,10,4,0.4402
9,11,3,0.0781
9,12,6,0.3944
9,13,4,0.4761
9,14,1,0.3045
9,15,0,0.2672
9,16,0,0.3301
9,17,2,0.3347
9,18,5,0.2895
9,19,4,0.2684
9,20,0,-0.0089
9,21,4,0.3521
9,22,6,0.3220
9,23,3,0.2306
9,24,4,0.4368
10,0,0,0.2448
10,1,4,0.3541
10,2,2,0.4232
10,3,2,0.2524
10,4,6,0.2406
10,5,6,0.4022
10,6,1,0.2106
10,7,5,0.1900
10,8,1,0.2341
10,9,3,0.2951
10,10,0,1.0000
10,11,1,0.0510
10,12,1,0.2752
10,13,0,0.2993
10,14,0,0.1075
10,15,1,0.1217
10,16,3,0.3119
10,17,5,0.4457
10,18,3,0.2846
10,19,4,0.3042
10,20,6,0.3067
10,21,0,0.3615
10,22,6,0.2734
10,23,3,0.1904
10,24,1,0.3017
11,0,1,0.2790
11,1,3,0.1450
11,2,5,0.1904
11,3,5,0.4087
11,4,0,0.3218
11,5,0,0.1081
11,6,3,0.4055
11,7,6,0.4517
11,8,1,0.3225
11,9,5,0.0225
11,10,6,0.0622
11,11,0,1.0000
11,12,3,0.2887
11,13,6,0.2073
11,14,5,0.4815
11,15,3,0.2264
11,16,6,0.1499
11,17,0,0.2058
11,18,4,0.1582
11,19,0,0.3012
11,20,3,0.1783
11,21,1,0.1824
11,22,0,0.1510
11,23,4,0.2714
11,24,5,0.4213
12,0,5,0.4010
12,1,4,0.1708
12,2,6,0.3435
12,3,6,0.3839
12,4,4,0.3314
12,5,4,0.1938
12,6,0,0.4876
12,7,3,0.3923
12,8,0,0.5333
12,9,5,0.4704
12,10,2,-0.0257
12,11,0,0.2586
12,12,0,1.0000
12,13,2,0.3662
12,14,3,0.3808
12,15,6,0.2481
12,16,3,0.2422
12,17,0,0.2176
12,18,5,0.3656
12,19,4,0.3225
12,20,1,0.3662
12,21,6,0.3384
12,22,1,0.2462
12,23,1,0.2637
12,24,6,0.4016
13,0,0,0.2104
13,1,6,0.4170
13,2,4,0.3804
13,3,4,0.4156
13,4,6,0.2920
13,5,6,0.6028
13,6,5,0.1040
13,7,5,0.1676
13,8,4,0.1554
13,9,0,0.4271
13,10,2,0.3910
13,11,6,0.2515
13,12,2,0.3230
13,13,0,1.0000
13,14,1,0.2692
13,15,1,0.1744
13,16,5,0.2942
13,17,3,0.3445
13,18,3,0.4619
13,19,6,0.4787
13,20,6,0.6483
13,21,4,0.3121
13,22,6,0.5935
13,23,5,0.3741
13,24,1,0.2724
14,0,2,0.0865
14,1,5,0.2875
14,2,6,0.3379
14,3,6,0.4795
14,4,1,0.1765
14,5,6,0.2120
14,6,0,0.3628
14,7,3,0.5157
14,8,0,0.2209
14,9,6,0.2718
14,10,3,0.3097
14,11,1,0.1678
14,12,5,0.1722
14,13,3,0.5299
14,14,0,1.0000
14,15,6,0.3889
14,16,3,0.5548
14,17,5,0.1507
14,18,6,0.1844
14,19,5,0.2381
14,20,0,0.1846
14,21,2,0.1077
14,22,5,0.0811
14,23,1,0.2035
14,24,6,0.5581
15,0,4,0.1645
15,1,3,0.3195
15,2,2,0.3087
15,3,5,0.1359
15,4,6,0.4101
15,5,2,0.4753
15,6,5,0.2659
15,7,1,0.5219
15,8,5,0.4854
15,9,6,0.5517
15,10,6,0.2938
15,11,1,0.1321
15,12,5,0.3132
15,13,0,0.1227
15,14,5,0.2762
15,15,0,1.0000
15,16,1,0.3319
15,17,3,0.4380
15,18,3,0.6129
15,19,4,0.2183
15,20,5,0.2178
15,21,4,0.4018
15,22,4,0.3326
15,23,5,0.2817
15,24,0,0.4176
16,0,3,0.1602
16,1,5,0.5241
16,2,6,0.2637
16,3,0,0.5335
16,4,5,0.1384
16,5,6,0.4564
16,6,5,-0.1996
16,7,2,0.4578
16,8,6,0.1269
16,9,4,0.3557
16,10,5,0.3868
16,11,5,-0.0285
16,12,6,0.2278
16,13,3,0.3441
16,14,0,0.0040
16,15,1,0.2219
16,16,0,1.0000
16,17,6,0.5418
16,18,6,0.3907
16,19,5,0.4686
16,20,0,0.2166
16,21,6,0.2240
16,22,5,0.5947
16,23,0,0.2154
16,24,4,0.0866
17,0,3,0.3407
17,1,0,0.2266
17,2,5,0.5559
17,3,6,0.1452
17,4,2,0.3041
17,5,3,0.3408
17,6,6,0.0871
17,7,0,0.2136
17,8,6,0.1291
17,9,4,0.2011
17,10,2,0.2097
17,11,6,0.2267
17,12,6,0.3230
17,13,2,0.4094
17,14,3,0.2832
17,15,3,0.2234
17,16,1,0.0157
17,17,0,1.0000
17,18,0,0.4515
17,19,3,0.3860
17,20,3,0.2133
17,21,5,0.6425
17,22,3,0.4564
17,23,6,0.6083
17,24,5,0.3322
18,0,5,0.1642
18,1,1,0.1632
18,2,0,0.3350
18,3,1,0.2277
18,4,3,0.3436
18,5,3,0.4758
18,6,2,0.2194
18,7,0,0.5294
18,8,4,0.3173
18,9,4,0.1704
18,10,4,0.1209
18,11,6,0.3557
18,12,6,0.3254
18,13,2,0.2183
18,14,3,0.2157
18,15,5,0.4063
18,16,0,-0.0214
18,17,0,0.4515
18,18,0,1.0000
18,19,6,0.4180
18,20,3,0.4839
18,21,1,0.3318
18,22,3,0.3725
18,23,6,0.3124
18,24,1,0.2691
19,0,0,0.4082
19,1,0,0.3498
19,2,2,0.3441
19,3,6,0.2414
19,4,0,0.4371
19,5,4,0.3068
19,6,6,0.4016
19,7,3,0.0834
19,8,5,0.4524
19,9,3,0.1660
19,10,0,0.1989
19,11,4,0.5202
19,12,3,0.4111
19,13,6,0.3872
19,14,5,0.4023
19,15,2,0.1490
19,16,6,-0.0154
19,17,4,0.3125
19,18,1,0.4724
19,19,0,1.0000
19,20,4,0.2465
19,21,2,0.3622
19,22,4,0.3489
19,23,4,0.5380
19,24,6,0.3610
20,0,3,0.4267
20,1,3,0.2110
20,2,5,0.5024
20,3,0,0.2600
20,4,3,0.4472
20,5,2,0.3383
20,6,4,0.2687
20,7,6,0.2934
20,8,6,0.1249
20,9,1,0.5182
20,10,6,0.5475
20,11,4,0.2109
20,12,4,0.2089
20,13,4,0.4188
20,14,0,0.1846
20,15,2,0.1838
20,16,0,0.2166
20,17,1,0.2349
20,18,4,0.2975
20,19,3,0.5773
20,20,0,1.0000
20,21,5,0.3407
20,22,0,0.2096
20,23,0,0.0515
20,24,6,0.3877
21,0,6,0.4012
21,1,2,0.3288
21,2,0,0.1346
21,3,4,0.5888
21,4,2,0.3697
21,5,6,0.2381
21,6,1,0.4407
21,7,5,0.2469
21,8,1,0.3969
21,9,3,0.4786
21,10,0,0.3615
21,11,5,0.3954
21,12,1,0.5010
21,13,0,0.1749
21,14,4,0.5067
21,15,4,0.2185
21,16,5,0.2199
21,17,3,0.1430
21,18,3,0.1028
21,19,0,0.1234
21,20,5,0.3539
21,21,0,1.0000
21,22,2,0.4043
21,23,2,0.4310
21,24,4,0.4956
22,0,1,0.3226
22,1,0,0.6788
22,2,5,0.4647
22,3,2,0.2110
22,4,3,0.3445
22,5,0,0.5622
22,6,6,0.1804
22,7,6,0.3117
22,8,2,0.4162
22,9,1,0.3961
22,10,1,0.5103
22,11,3,0.2806
22,12,3,0.3174
22,13,1,0.3862
22,14,2,0.3318
22,15,2,0.0750
22,16,4,0.0455
22,17,5,0.1987
22,18,4,0.4092
22,19,2,0.3377
22,20,6,0.2556
22,21,5,0.6144
22,22,0,1.0000
22,23,6,0.3250
22,24,2,0.3120
23,0,6,0.3329
23,1,6,0.2231
23,2,6,0.3161
23,3,3,0.3344
23,4,1,0.2884
23,5,5,0.3583
23,6,2,0.2740
23,7,6,0.4856
23,8,2,0.1687
23,9,2,0.2239
23,10,5,0.3569
23,11,6,-0.0008
23,12,0,0.1241
23,13,3,0.2621
23,14,1,0.4239
23,15,3,0.3725
23,16,4,0.4850
23,17,6,0.2276
23,18,6,0.4574
23,19,5,0.2434
23,20,1,0.2728
23,21,6,0.2003
23,22,5,0.1872
23,23,0,1.0000
23,24,2,0.3640
24,0,3,0.1928
24,1,5,0.0913
24,2,1,0.2142
24,3,0,0.5600
24,4,6,0.1359
24,5,6,0.2773
24,6,1,0.1624
24,7,1,0.4454
24,8,0,0.1048
24,9,6,0.4894
24,10,0,0.2048
24,11,5,0.2548
24,12,1,0.0556
24,13,4,0.1441
24,14,0,0.2357
24,15,4,0.5712
24,16,2,0.4424
24,17,3,0.3127
24,18,3,0.3202
24,19,3,0.0883
24,20,5,0.3281
24,21,0,0.2671
24,22,5,0.1603
24,23,2,0.3180
24,24,0,1.0000
