t_idx,node_idx,local_internal_energy_u,local_entropy_s,local_temperature_t
6,0,62554.7000,-0.0000,130303863.9852
6,1,82331.5100,-0.0000,106964186.1371
6,2,168229.5300,1.7325,81656890.1398
6,3,19409.6200,-0.0000,1320450.1355
6,4,3108.3300,-0.0000,1546695.4379
6,5,9100.3800,-0.0000,662161.9386
6,6,41534.2500,-0.0000,55988819.1315
6,7,73808.0900,-0.0000,195742638.0071
6,8,188661.8500,-0.0000,338107377.8302
7,0,92947.8600,-0.0000,202657533.4867
7,1,67866.8800,-0.0000,179203895.5712
7,2,178726.2000,1.3336,394283325.0489
7,3,17785.0500,-0.0000,1067608.3216
7,4,2415.9300,-0.0000,2310850.8742
7,5,8183.2600,-0.0000,386117.5765
7,6,31552.0300,-0.0000,107241630.0541
7,7,56962.7700,-0.0000,367600138.6820
7,8,150671.7200,-0.0000,149623114.0204
8,0,60187.1600,-0.0000,360494107.1131
8,1,64107.4500,-0.0000,216401892.2383
8,2,116856.1200,1.8094,413749659.4040
8,3,19010.5900,-0.0000,1234906.4072
8,4,4301.9800,-0.0000,2325813.5338
8,5,8531.9300,-0.0000,405365.1658
8,6,20713.0000,-0.0000,128647097.5777
8,7,36956.7100,-0.0000,440609011.4883
8,8,105175.6200,-0.0000,79494281.3666
9,0,67780.7500,-0.0000,350426620.7119
9,1,56470.6100,-0.0000,76096477.0990
9,2,123697.3000,1.6931,746999768.2493
9,3,15919.9900,-0.0000,1844260.9761
9,4,5719.9100,-0.0000,1575535.1317
9,5,10802.9000,-0.0000,1012763.0054
9,6,25004.7100,-0.0000,61572850.3469
9,7,46039.3900,-0.0000,188434216.0517
9,8,100979.0400,-0.0000,153315933.8387
10,0,81559.3500,-0.0000,347821007.6689
10,1,63254.7600,-0.0000,70398216.2997
10,2,122512.2700,1.5462,595209356.1255
10,3,17618.5200,-0.0000,1211425.0464
10,4,4734.5000,-0.0000,1438616.6994
10,5,11360.3400,-0.0000,1909116.8155
10,6,31327.6900,-0.0000,20717049.5975
10,7,56484.0100,-0.0000,68293280.4189
10,8,95650.6400,-0.0000,454733401.1169
11,0,64229.4900,-0.0000,290767577.7823
11,1,83504.3500,-0.0000,107537793.1006
11,2,101983.9600,1.8196,510100808.6621
11,3,17976.6200,-0.0000,1237607.9959
11,4,6472.3200,-0.0000,716571.6737
11,5,9363.5500,-0.0000,1263652.3608
11,6,44288.7100,-0.0000,79171580.7528
11,7,79019.5400,-0.0000,246107667.6393
11,8,122177.1600,-0.0000,650037300.5405
12,0,74360.7500,-0.0000,132108355.9754
12,1,87973.5200,-0.0000,101094683.9857
12,2,140956.0800,1.5815,237974626.8233
12,3,18003.4000,-0.0000,733275.8587
12,4,4689.3100,-0.0000,550029.6990
12,5,8264.3400,-0.0000,1475462.7236
12,6,54267.6600,-0.0000,128873917.5579
12,7,96852.0700,-0.0000,389633646.0309
12,8,166196.2100,-0.0000,283381882.9145
13,0,82787.1000,-0.0000,167517699.1711
13,1,87477.4600,-0.0000,94869708.7824
13,2,152641.9700,1.5067,244050511.0242
13,3,18800.3000,-0.0000,186699.2321
13,4,5346.4300,-0.0000,517192.4037
13,5,8018.6800,-0.0000,1738522.7898
13,6,54730.9200,-0.0000,90673452.5055
13,7,98180.0600,-0.0000,285179948.5286
13,8,168616.0600,-0.0000,43262967.8883
14,0,49322.7000,-0.0000,227831763.1459
14,1,100397.5900,-0.0000,89473009.3171
14,2,138650.1900,1.8588,660547958.7222
14,3,17196.2600,-0.0000,321724.7845
14,4,5332.8500,-0.0000,411954.9797
14,5,7760.9000,-0.0000,372854.7601
14,6,65922.5000,-0.0000,58621339.4188
14,7,121902.2600,-0.0000,232254417.2991
14,8,215414.8300,-0.0000,12048319.8277
15,0,86372.4300,-0.0000,229752890.7869
15,1,95231.9100,-0.0000,18110540.7028
15,2,208389.9500,1.3864,744428111.0799
15,3,19800.8000,-0.0000,929671.5333
15,4,5227.6500,-0.0000,72570.0329
15,5,4262.8000,-0.0000,2670994.4846
15,6,60846.2000,-0.0000,22984001.7406
15,7,110380.6700,-0.0000,103540205.4860
15,8,237492.6500,-0.0000,373270226.8491
16,0,48814.9100,-0.0000,340686869.7765
16,1,92193.8200,-0.0000,12430871.0407
16,2,144880.5900,1.7979,799325332.3029
16,3,16338.8300,-0.0000,1821051.8894
16,4,3764.7500,-0.0000,445380.3617
16,5,6683.4500,-0.0000,2200817.0494
16,6,58133.5500,-0.0000,16751314.8192
16,7,107091.8600,-0.0000,72120568.2473
16,8,210430.7800,-0.0000,351032987.7008
17,0,65422.8100,-0.0000,239603768.6536
17,1,86719.9300,-0.0000,87079438.5340
17,2,162074.1600,1.6441,37620187.2990
17,3,19467.3800,-0.0000,2160064.4469
17,4,4265.3200,-0.0000,432896.9197
17,5,4850.7300,-0.0000,1964422.6404
17,6,46695.5000,-0.0000,49658991.3192
17,7,85372.1100,-0.0000,174658670.4914
17,8,193464.4600,-0.0000,400712504.7554
18,0,79311.7400,-0.0000,336840987.9948
18,1,67981.0100,-0.0000,73580546.8763
18,2,184036.2900,1.4995,232911241.1742
18,3,17730.0400,-0.0000,1945380.7998
18,4,6746.9900,-0.0000,1292347.5754
18,5,6608.1600,-0.0000,1134938.3140
18,6,39017.7400,-0.0000,77454601.5538
18,7,70198.9300,-0.0000,269617361.8298
18,8,172801.5600,-0.0000,175187303.8683
19,0,70550.3800,-0.0000,259715944.4093
19,1,61122.7000,-0.0000,112129724.5752
19,2,150710.9500,1.6788,435354113.5745
19,3,15361.8500,-0.0000,2384989.4387
19,4,5750.6100,-0.0000,1402844.4475
19,5,10668.2200,-0.0000,4541172.5278
19,6,27730.5000,-0.0000,122913102.4685
19,7,51155.8500,-0.0000,420330610.8971
19,8,132927.9400,-0.0000,209292727.2561
20,0,72454.4500,-0.0000,178085446.8837
20,1,55696.9900,-0.0000,162554905.8934
20,2,125182.7000,1.6374,376041401.3541
20,3,16142.3900,-0.0000,2479217.7779
20,4,5361.3300,-0.0000,789398.4970
20,5,6590.3500,-0.0000,4566965.9991
20,6,16611.0300,-0.0000,129799975.7326
20,7,31977.4800,-0.0000,402705772.7739
20,8,95697.6200,-0.0000,15151317.8361
21,0,54645.3100,-0.0000,123099046.5442
21,1,56687.7900,-0.0000,133239663.8248
21,2,99537.1600,1.6757,55141306.5095
21,3,13430.2300,-0.0000,2394595.8010
21,4,4271.7600,-0.0000,785330.5824
21,5,5321.1800,-0.0000,4060710.9317
21,6,26437.3200,-0.0000,63100019.3735
21,7,48003.3000,-0.0000,184421217.5698
21,8,100122.4500,-0.0000,141913410.4813
22,0,90451.5100,-0.0000,90566052.1410
22,1,67016.8200,-0.0000,56935622.3305
22,2,131635.2900,1.4073,342352668.0615
22,3,17755.0500,-0.0000,2420522.3081
22,4,3847.9400,-0.0000,600989.0524
22,5,7849.1500,-0.0000,3922063.6508
22,6,30513.5300,-0.0000,27469447.0595
22,7,55784.4700,-0.0000,80207428.5353
22,8,104019.4000,-0.0000,287710324.4153
23,0,40194.8000,-0.0000,96102766.7954
23,1,47578.7000,-0.0000,90799220.3496
23,2,46664.8700,0.5920,284153572.3299
23,3,0.0000,-0.0000,49053136.5901
23,4,0.0000,-0.0000,4090973.1612
23,5,3038.3900,-0.0000,3159810.2533
23,6,25596.3500,-0.0000,25754552.1609
23,7,46407.8200,-0.0000,73928007.5169
23,8,71821.8500,-0.0000,377223373.3164
