t_idx,node_idx,state_X,velocity_v,acceleration_a,inertia_M,viscosity_C,external_force_F
6,2,9678.9700,5086.2200,3069.2600,17353.6971,0.0001,53263008.9994
6,3,11575.8900,3375.1100,2518.6000,5591.9771,0.0011,14083957.2317
6,4,88925.0600,16229.4000,933.2500,44945.7571,0.0003,41945632.8366
6,5,-161256.8100,-29035.0900,-1195.4900,81799.3229,0.0002,-97790277.6790
6,6,149922.0100,20573.7600,-4392.3700,79769.5700,0.0002,-350377461.7500
6,7,18973.6600,0.0000,0.0000,10842.0914,0.0002,0.0000
6,8,6683.3500,0.0000,0.0000,3819.0571,0.0004,0.0000
7,0,-76062.3900,-196.1700,9002.9300,48773.8925,0.0003,439107939.9524
7,1,-6833.0900,-4774.6800,2255.6200,10932.6712,0.0003,24659950.6583
7,2,3821.4400,-5857.5300,-10943.7500,15662.1650,0.0001,-171402818.8409
7,3,14461.5200,2885.6300,-489.4800,6700.6700,0.0010,-3279840.9677
7,4,104309.3400,15384.2800,-845.1200,52366.2050,0.0003,-44255722.3211
7,5,-188153.1300,-26896.3200,2138.7700,95093.5488,0.0002,203383224.2608
7,6,169376.8000,19454.7900,-1118.9700,90970.4738,0.0002,-101793226.5820
7,7,18973.6600,0.0000,0.0000,11858.5375,0.0002,0.0000
7,8,6683.3500,0.0000,0.0000,4177.0938,0.0005,0.0000
8,0,-88031.0400,-11968.6500,-11772.4800,53135.7978,0.0003,-625540119.9468
8,1,-10052.3500,-3219.2600,1555.4200,10834.8578,0.0003,16852753.5824
8,2,-11222.9600,-15044.4000,-9186.8700,15168.9200,0.0001,-139354897.6582
8,3,14741.8400,280.3200,-2605.3100,7594.1333,0.0010,-19785071.2426
8,4,119497.2500,15187.9100,-196.3700,59825.2100,0.0003,-11747871.5354
8,5,-216188.6700,-28035.5400,-1139.2200,108548.5622,0.0002,-123660698.3774
8,6,188562.4500,19185.6500,-269.1400,101814.0267,0.0002,-27402222.5551
8,7,37218.8700,18245.2100,18245.2100,14676.3522,0.0001,267773130.6861
8,8,12052.1100,5368.7600,5368.7600,5052.0956,0.0004,27123490.6616
9,0,-87148.9400,882.1000,12850.7500,56537.1120,0.0002,726544292.2225
9,1,-11364.9500,-1312.6000,1906.6600,10887.8670,0.0003,20759460.1080
9,2,-13748.8200,-2525.8600,12518.5400,15026.9100,0.0001,188114973.6333
9,3,17669.8400,2928.0000,2647.6800,8601.7040,0.0010,22774562.4317
9,4,131576.5200,12079.2700,-3108.6400,67000.3410,0.0003,-208279935.9258
9,5,-238622.6000,-22433.9300,5601.6100,121555.9660,0.0002,680909110.2360
9,6,198945.4700,10383.0200,-8802.6300,111527.1710,0.0002,-981732419.2168
9,7,37218.8700,0.0000,-18245.2100,16930.6040,0.0001,-308902425.4068
9,8,12052.1100,0.0000,-5368.7600,5752.0970,0.0004,-30881628.2897
10,0,-88409.1400,-1260.2000,-2142.3000,59434.5691,0.0002,-127326677.6180
10,1,-15751.4900,-4386.5400,-3073.9400,11330.0145,0.0003,-34827786.2416
10,2,-5893.6900,7855.1300,10380.9900,14196.6173,0.0001,147374942.7771
10,3,20863.3400,3193.5000,265.5000,9716.3982,0.0009,2579706.6659
10,4,146812.0400,15235.5200,3156.2500,74255.9500,0.0003,234370347.5179
10,5,-265932.8300,-27310.2300,-4876.3000,134681.1355,0.0002,-656745626.4047
10,6,205618.2900,6672.8200,-3710.2000,120080.9091,0.0002,-445524187.8256
10,7,37218.8700,0.0000,0.0000,18774.9918,0.0001,0.0000
10,8,12052.1100,0.0000,0.0000,6324.8255,0.0004,0.0000
11,0,-100589.5800,-12180.4400,-10920.2400,62864.1533,0.0002,-686491644.2949
11,1,-17259.3400,-1507.8500,2878.6900,11824.1250,0.0003,34037989.9204
11,2,6246.1100,12139.8000,4284.6700,13534.0750,0.0001,57989046.3415
11,3,22342.3300,1478.9900,-1714.5100,10768.5592,0.0010,-18462800.9593
11,4,160500.3300,13688.2900,-1547.2300,81442.9817,0.0004,-126011019.5251
11,5,-291020.1200,-25087.2900,2222.9400,147709.3842,0.0002,328349093.0861
11,6,217086.7900,11468.5000,4795.6800,128164.7325,0.0002,614637046.1978
11,7,37218.8700,0.0000,0.0000,20311.9817,0.0001,0.0000
11,8,12052.1100,0.0000,0.0000,6802.0992,0.0004,0.0000
12,0,-99035.2400,1554.3400,13734.7800,65646.5446,0.0002,901640848.3413
12,1,-14966.1300,2293.2100,3801.0600,12065.8177,0.0003,45862897.6952
12,2,-14834.2300,-21080.3400,-33220.1400,13634.0869,0.0001,-452926278.3025
12,3,25589.0300,3246.7000,1767.7100,11908.5954,0.0009,21050946.1868
12,4,170158.0800,9657.7500,-4030.5400,88267.2200,0.0004,-355764557.4632
12,5,-307939.0300,-16918.9100,8168.3800,160034.7415,0.0002,1307224578.6408
12,6,217748.3900,661.6000,-10806.9000,135055.7831,0.0001,-1459534342.0466
12,7,52000.9100,14782.0400,14782.0400,22749.5915,0.0001,336285374.1148
12,8,17855.7200,5803.6100,5803.6100,7652.3777,0.0004,44411418.0006
13,0,-90737.4600,8297.7800,6743.4400,71730.2900,0.0001,483708908.0368
13,1,-10527.5400,4438.5900,2145.3800,11582.5838,0.0003,24849045.1881
13,2,-19516.5300,-4682.3000,16398.0400,12519.9915,0.0001,205303321.6144
13,3,27860.5700,2271.5400,-975.1600,13930.3854,0.0009,-13584352.4781
13,4,180186.9400,10028.8600,371.1100,101678.5523,0.0005,37733932.2872
13,5,-325562.9200,-17623.8900,-704.9800,184178.9538,0.0003,-129842483.3397
13,6,215017.8100,-2730.5800,-3392.1800,150696.5254,0.0001,-511189739.7783
13,7,52000.9100,0.0000,-14782.0400,26749.6615,0.0001,-395414566.8480
13,8,17855.7200,0.0000,-5803.6100,9025.8946,0.0004,-52382772.2488
14,0,-105601.5800,-14864.1200,-23161.9000,78156.3962,0.0001,-1810250634.1947
14,1,-2587.5200,7940.0200,3501.4300,10501.5438,0.0002,36770422.6316
14,2,11469.5900,30986.1200,35668.4200,10859.2085,0.0001,387330810.4382
14,3,29810.5100,1949.9400,-321.6000,16029.8631,0.0010,-5155202.0515
14,4,187111.0400,6924.1000,-3104.7600,114808.5100,0.0004,-356452866.8939
14,5,-337846.8300,-12283.9100,5339.9800,207844.6608,0.0002,1109886329.0954
14,6,194365.6600,-20652.1500,-17921.5700,163325.2192,0.0001,-2927044350.7709
14,7,52000.9100,0.0000,0.0000,30749.7315,0.0001,0.0000
14,8,17855.7200,0.0000,0.0000,10399.4115,0.0004,0.0000
15,0,-116607.6400,-11006.0600,3858.0600,84390.2531,0.0001,325582658.1794
15,1,3029.9700,5617.4900,-2322.5300,9472.7600,0.0002,-22000768.0243
15,2,31810.6400,20341.0500,-10645.0700,10799.7746,0.0001,-114964355.4506
15,3,31843.6400,2033.1300,83.1900,18249.0823,0.0011,1518143.4008
15,4,192499.6100,5388.5700,-1535.5300,127295.8823,0.0003,-195466644.5488
15,5,-346976.5000,-9129.6700,3154.2400,230368.0962,0.0002,726636262.1451
15,6,181121.1500,-13244.5100,7407.6400,173090.5508,0.0001,1282192486.5826
15,7,52000.9100,0.0000,0.0000,34749.8015,0.0001,0.0000
15,8,17855.7200,0.0000,0.0000,11772.9285,0.0004,0.0000
16,0,-126913.0800,-10305.4400,700.6200,90586.3300,0.0001,63466593.0150
16,1,8670.4600,5640.4900,23.0000,9048.2246,0.0002,208110.3456
16,2,34441.8600,2631.2200,-17709.8300,13065.6446,0.0001,-231390344.7807
16,3,34090.9600,2247.3200,214.1900,20491.8862,0.0011,4389159.5851
16,4,197164.5600,4664.9500,-723.6200,139141.2262,0.0003,-100685372.8830
16,5,-356221.0200,-9244.5200,-114.8500,251717.2538,0.0001,-28909727.9038
16,6,161347.8100,-19773.3400,-6528.8300,179449.4615,0.0001,-1171595029.2340
16,7,70834.9200,18834.0100,18834.0100,38739.1292,0.0001,729613149.8917
16,8,23161.0300,5305.3100,5305.3100,13040.4423,0.0004,69183591.2696
17,0,-114532.0300,12381.0500,22686.4900,95092.4200,0.0001,2157313236.8919
17,1,11523.8900,2853.4300,-2787.0600,9199.7715,0.0002,-25640314.6557
17,2,36100.5800,1658.7200,-972.5000,15644.4746,0.0001,-15214251.4379
17,3,36398.8400,2307.8800,60.5600,22726.8531,0.0011,1376340.7822
17,4,203253.9400,6089.3800,1424.4300,150360.7977,0.0002,214178432.5259
17,5,-366813.7300,-10592.7100,-1348.1900,271904.3008,0.0001,-366578660.6609
17,6,146650.0600,-14697.7500,5075.5900,182700.8415,0.0001,927314563.3610
17,7,70834.9200,0.0000,-18834.0100,42728.4569,0.0001,-804748184.9738
17,8,23161.0300,0.0000,-5305.3100,14307.9562,0.0004,-75908142.8626
18,0,-102310.1500,12221.8800,-159.1700,97834.1915,0.0001,-15572266.9404
18,1,15715.8500,4191.9600,1338.5300,10026.2300,0.0002,13420410.5549
18,2,39157.4100,3056.8300,1398.1100,18303.2946,0.0001,25590019.4661
18,3,36695.0000,296.1600,-2011.7200,24918.7162,0.0010,-50129479.3578
18,4,209787.2100,6533.2700,443.8900,160906.3015,0.0002,71424699.7681
18,5,-377403.1600,-10589.4300,3.2800,290764.4115,0.0001,953705.8735
18,6,130939.3900,-15710.6700,-1012.9200,182823.2369,0.0001,-185185314.1929
18,7,70834.9200,0.0000,0.0000,46717.7846,0.0001,0.0000
18,8,23161.0300,0.0000,0.0000,15575.4700,0.0004,0.0000
19,0,-91999.4100,10310.7400,-1911.1400,99075.2062,0.0001,-189346588.4168
19,1,19891.1800,4175.3300,-16.6300,11397.9815,0.0002,-189547.4036
19,2,40373.9900,1216.5800,-1840.2500,20664.4500,0.0001,-38027754.0203
19,3,37405.2000,710.2000,414.0400,26905.5862,0.0010,11139989.6111
19,4,216451.2000,6663.9900,130.7200,170716.0046,0.0003,22315997.8286
19,5,-389415.8900,-12012.7300,-1423.3000,308315.1100,0.0001,-438824897.7379
19,6,119875.2800,-11064.1100,4646.5600,180511.9500,0.0001,838759605.6016
19,7,70834.9200,0.0000,0.0000,50707.1123,0.0001,0.0000
19,8,23161.0300,0.0000,0.0000,16842.9838,0.0004,0.0000
20,0,-103810.7300,-11811.3200,-22122.0600,101209.6938,0.0001,-2238966921.0261
20,1,26161.6100,6270.4300,2095.1000,12884.7908,0.0003,26994926.8087
20,2,60572.3500,20198.3600,18981.7800,25029.9046,0.0001,475112144.2977
20,3,38770.5600,1365.3600,655.1600,28775.5123,0.0010,18852566.0616
20,4,221992.0900,5540.8900,-1123.1000,179768.5238,0.0003,-201898027.6351
20,5,-399918.4200,-10502.5300,1510.2000,324604.7477,0.0001,490218088.4322
20,6,108814.0900,-11061.1900,2.9200,175853.2800,0.0001,513490.7028
20,7,70834.9200,0.0000,0.0000,54696.4400,0.0001,0.0000
20,8,23161.0300,0.0000,0.0000,18110.4977,0.0004,0.0000
21,0,-118584.1600,-14773.4300,-2962.1100,103559.9338,0.0001,-306755917.0867
21,1,36336.2000,10174.5900,3904.1600,14906.6254,0.0003,58197853.1882
21,2,52567.9300,-8004.4200,-28202.7800,28210.2869,0.0001,-795608516.4389
21,3,40878.9600,2108.4000,743.0400,30786.0600,0.0012,22875276.5119
21,4,226590.9300,4598.8400,-942.0500,188006.4992,0.0003,-177111521.2544
21,5,-408505.1400,-8586.7200,1915.8100,339398.3223,0.0002,650222698.4794
21,6,100436.7200,-8377.3700,2683.8200,169074.3777,0.0001,453765195.5490
21,7,88989.9200,18155.0000,18155.0000,58678.8285,0.0001,1065314133.1993
21,8,27866.1400,4705.1100,4705.1100,19326.9615,0.0004,90935482.1128
22,0,-132453.2900,-13869.1300,904.3000,107044.8838,0.0001,96800687.1581
22,1,44496.9100,8160.7100,-2013.8800,17455.2377,0.0003,-35152751.9230
22,2,65279.6800,12711.7500,20716.1700,32174.1992,0.0001,666526181.8506
22,3,43341.5000,2462.5400,354.1400,32760.8031,0.0012,11601913.8170
22,4,232299.3500,5708.4200,1109.5800,195754.4092,0.0003,217205179.1319
22,5,-418276.8900,-9771.7500,-1185.0300,353217.8831,0.0002,-418573789.6304
22,6,95034.1800,-5402.5400,2974.8300,161081.2015,0.0001,479189190.1991
22,7,88989.9200,0.0000,-18155.0000,62661.2169,0.0001,-1137614393.2385
22,8,27866.1400,0.0000,-4705.1100,20543.4254,0.0004,-96659076.2114
23,0,-99854.3800,32598.9100,46468.0400,107925.2869,0.0001,5015076552.0236
23,1,51541.8800,7044.9700,-1115.7400,20208.3446,0.0003,-22547255.9716
23,2,30110.6900,-35168.9900,-47880.7400,34037.0454,0.0001,-1629718922.4917
23,3,45563.6100,2222.1100,-240.4300,34660.8238,0.0013,-8333498.8860
23,4,237920.7700,5621.4200,-87.0000,202762.7731,0.0004,-17640359.0146
23,5,-429253.0100,-10976.1200,-1204.3700,365780.9738,0.0002,-440535633.9125
23,6,93691.8800,-1342.3000,4060.2400,152471.4777,0.0001,619070792.4306
23,7,88989.9200,0.0000,0.0000,66643.6054,0.0001,0.0000
23,8,27866.1400,0.0000,0.0000,21759.8892,0.0004,0.0000
24,0,-102147.6400,-2293.2600,-34892.1700,108045.1377,0.0001,-3769929312.1973
24,1,56410.4100,4868.5300,-2176.4400,23219.9654,0.0005,-50536859.1920
24,2,30335.0900,224.4000,35393.3900,35890.0438,0.0001,1270270318.9773
24,3,46948.7600,1385.1500,-836.9600,36553.6262,0.0013,-30593921.0923
24,4,245650.9400,7730.1700,2108.7500,209312.8200,0.0006,441388413.8985
24,5,-443334.1100,-14081.1000,-3104.9800,377497.4346,0.0004,-1172121989.6373
24,6,95857.9900,2166.1100,3508.4100,143146.1854,0.0001,502215508.5639
24,7,88989.9200,0.0000,0.0000,70625.9938,0.0001,0.0000
24,8,27866.1400,0.0000,0.0000,22976.3531,0.0004,0.0000
25,0,-91056.5000,11091.1400,13384.4000,107431.3885,0.0001,1437904676.4996
25,1,63080.2900,6669.8800,1801.3500,26921.0546,0.0005,48494245.2038
25,2,-8067.1100,-38402.2000,-38626.6000,35369.4962,0.0001,-1366203382.1435
25,3,47855.3500,906.5900,-478.5600,38266.4200,0.0015,-18312776.6184
25,4,253479.2700,7828.3300,98.1600,215722.1423,0.0007,21175290.9682
25,5,-457421.2300,-14087.1200,-6.0200,388996.0654,0.0004,-2341762.1081
25,6,98560.5700,2702.5800,536.4700,133977.8915,0.0001,71875119.8347
25,7,107056.6000,18066.6800,18066.6800,74861.0469,0.0001,1352490581.5603
25,8,33090.2600,5224.1200,5224.1200,24148.2408,0.0005,126153310.0047
26,0,-104005.1100,-12948.6100,-24039.7500,108451.9769,0.0001,-2607158413.1264
26,1,64687.4600,1607.1700,-5062.7100,31087.2023,0.0004,-157385489.2721
26,2,-1748.9300,6318.1800,44720.3800,34002.7577,0.0001,1520616245.3783
26,3,50658.1800,2802.8300,1896.2400,40020.0823,0.0014,75887684.7411
26,4,264820.7100,11341.4400,3513.1100,222232.4323,0.0006,780726986.9308
26,5,-478844.0800,-21422.8500,-7335.7300,400786.9238,0.0003,-2940064667.4724
26,6,110862.4100,12301.8400,9599.2600,125965.9377,0.0001,1209179788.3714
26,7,107056.6000,0.0000,-18066.6800,79096.1000,0.0001,-1429003927.9480
26,8,33090.2600,0.0000,-5224.1200,25320.1285,0.0005,-132275389.4985
27,0,-103730.0300,275.0800,13223.6900,108308.0115,0.0001,1432231569.1207
27,1,64782.1200,94.6600,-1512.5100,35871.4023,0.0004,-54255854.6679
27,2,-2654.3700,-905.4400,-7223.6200,33324.6638,0.0001,-240724708.3053
27,3,52097.1600,1438.9800,-1363.8500,41734.4400,0.0014,-56919514.0151
27,4,276262.2900,11441.5800,100.1400,229090.2208,0.0005,22941100.0245
27,5,-501410.6100,-22566.5300,-1143.6800,413368.7531,0.0002,-472761580.7232
27,6,121084.0800,10221.6700,-2080.1700,120328.8931,0.0001,-250304552.4609
27,7,107056.6000,0.0000,0.0000,83331.1531,0.0001,0.0000
27,8,33090.2600,0.0000,0.0000,26492.0162,0.0005,0.0000
28,0,-89796.3000,13933.7300,13658.6500,106245.6008,0.0001,1451171475.9390
28,1,63592.6800,-1189.4400,-1284.1000,40530.0723,0.0003,-52044666.2353
28,2,-18198.3900,-15544.0200,-14638.5800,32277.5677,0.0001,-472497757.8226
28,3,54303.6100,2206.4500,767.4700,43462.1300,0.0014,33355883.9154
28,4,289130.7500,12868.4600,1426.8800,236523.3854,0.0004,337490493.0319
28,5,-526723.0900,-25312.4800,-2745.9500,427195.4138,0.0002,-1173057251.3673
28,6,134121.3800,13037.3000,2815.6300,116713.5262,0.0001,328622106.8716
28,7,107056.6000,0.0000,0.0000,87566.2062,0.0001,0.0000
28,8,33090.2600,0.0000,0.0000,27663.9038,0.0005,0.0000
29,0,-91889.4400,-2093.1400,-16026.8700,103551.4746,0.0001,-1659606022.1224
29,1,62401.3400,-1191.3400,-1.9000,44663.2169,0.0003,-84860.4586
29,2,-49328.6300,-31130.2400,-15586.2200,33422.7038,0.0001,-520933616.9003
29,3,57200.2700,2896.6600,690.2100,45239.7692,0.0013,31224944.7959
29,4,305013.9300,15883.1800,3014.7200,244819.4908,0.0003,738062219.9853
29,5,-556193.9200,-29470.8300,-4158.3500,442577.9446,0.0002,-1840394000.4549
29,6,151845.7800,17724.4000,4687.1000,115982.6008,0.0001,543622049.6867
29,7,127779.3200,20722.7200,20722.7200,91946.5446,0.0001,1905382501.6163
29,8,39748.8500,6658.5900,6658.5900,28939.8900,0.0004,192698864.9727
30,0,-90932.1500,957.2900,3050.4300,101736.0992,0.0001,310338849.2482
30,1,60844.9200,-1556.4200,-365.0800,48457.1423,0.0003,-17690733.9285
30,2,-57435.4700,-8106.8400,23023.4000,35063.8492,0.0001,807289025.9175
30,3,60415.6500,3215.3800,318.7200,47087.2162,0.0012,15007641.2361
30,4,319482.1900,14468.2600,-1414.9200,253760.1254,0.0003,-359050272.6287
30,5,-582255.2700,-26061.3500,3409.4800,459150.3708,0.0001,1565464002.4142
30,6,168929.4600,17083.6800,-640.7200,117696.4008,0.0001,-75410436.3602
30,7,127779.3200,0.0000,-20722.7200,96326.8831,0.0001,-1996155026.4758
30,8,39748.8500,0.0000,-6658.5900,30215.8762,0.0004,-201195130.7992
31,0,-105097.8000,-14165.6500,-15122.9400,101950.5338,0.0001,-1541791807.3628
31,1,60075.5400,-769.3800,787.0400,51869.4262,0.0003,40823312.9648
31,2,-46690.3700,10745.1000,18851.9400,35643.3077,0.0001,671945498.6138
31,3,62805.6400,2389.9900,-825.3900,49095.7269,0.0013,-40523118.8663
31,4,334417.2200,14935.0300,466.7700,263347.0492,0.0003,122922506.0113
31,5,-609022.9800,-26767.7100,-706.3600,476967.2800,0.0001,-336910611.5818
31,6,182562.0800,13632.6200,-3451.0600,121667.3769,0.0001,-419881416.4765
31,7,127779.3200,0.0000,0.0000,100707.2215,0.0001,0.0000
31,8,39748.8500,0.0000,0.0000,31491.8623,0.0004,0.0000
32,0,-116074.8200,-10977.0200,3188.6300,103802.4885,0.0001,330987727.9727
32,1,54275.7900,-5799.7500,-5030.3700,54514.3962,0.0002,-274227584.2337
32,2,-35014.1900,11676.1800,931.0800,35231.0154,0.0001,32802894.4335
32,3,63517.6600,712.0200,-1677.9700,51104.3777,0.0013,-85751611.6891
32,4,351193.9900,16776.7700,1841.7400,273711.8792,0.0002,504106120.4280
32,5,-639510.3600,-30487.3800,-3719.6700,496205.3162,0.0001,-1845720032.2538
32,6,200661.2600,18099.1800,4466.5600,127881.6831,0.0001,571191212.1890
32,7,127779.3200,0.0000,0.0000,105087.5600,0.0001,0.0000
32,8,39748.8500,0.0000,0.0000,32767.8485,0.0004,0.0000
33,0,-129045.6100,-12970.7900,-1993.7700,105743.6331,0.0001,-210828484.2726
33,1,50417.6800,-3858.1100,1941.6400,56380.2477,0.0002,109470143.3257
33,2,-24141.4000,10872.7900,-803.3900,32428.6346,0.0001,-26052840.1493
33,3,65575.1900,2057.5300,1345.5100,53166.2723,0.0014,71535753.8777
33,4,368022.8900,16828.9000,52.1300,284945.0177,0.0002,14854187.6853
33,5,-668796.3600,-29286.0000,1201.3800,516888.2346,0.0001,620979183.5348
33,6,217016.9400,16355.6800,-1743.5000,136204.9792,0.0001,-237473379.4472
33,7,127779.3200,0.0000,0.0000,109467.8985,0.0001,0.0000
33,8,39748.8500,0.0000,0.0000,34043.8346,0.0004,0.0000
34,0,-127737.0500,1308.5600,14279.3500,106447.7015,0.0001,1520003987.0630
34,1,47720.7300,-2696.9500,1161.1600,57255.9808,0.0002,66483354.0006
34,2,-37333.2600,-13191.8600,-24064.6500,31256.7369,0.0001,-752182434.9376
34,3,66603.0000,1027.8100,-1029.7200,55145.0446,0.0013,-56783954.0207
34,4,382077.6700,14054.7800,-2774.1200,296905.5362,0.0003,-823651582.3495
34,5,-694653.7700,-25857.4100,3428.5900,538899.6677,0.0001,1847666007.9767
34,6,218551.5200,1534.5800,-14821.1000,145290.7331,0.0001,-2153368483.8089
34,7,146656.1100,18876.7900,18876.7900,113903.7592,0.0001,2150137345.5356
34,8,44692.5500,4943.7000,4943.7000,35338.1738,0.0004,174701332.1113
35,0,-115895.3500,11841.7000,10533.1400,105174.0138,0.0001,1107812613.1204
35,1,48416.2800,695.5500,3392.5000,57557.4708,0.0003,195263719.7708
35,2,-53434.3900,-16101.1300,-2909.2700,30345.5608,0.0001,-88283430.5274
35,3,70049.1500,3446.1500,2418.3400,57199.4792,0.0012,138327792.5887
35,4,396987.2400,14909.5700,854.7900,309573.8354,0.0003,264620622.9900
35,5,-723029.4600,-28375.6900,-2518.2800,562342.1731,0.0002,-1416135052.1594
35,6,232135.3700,13583.8500,12049.2700,155836.9785,0.0002,1877721831.5232
35,7,146656.1100,0.0000,-18876.7900,118339.6200,0.0001,-2233872155.4198
35,8,44692.5500,0.0000,-4943.7000,36632.5131,0.0004,-181100154.8984
36,0,-130358.3700,-14463.0200,-26304.7200,107520.4746,0.0001,-2828295980.4913
36,1,48843.9300,427.6500,-267.9000,57349.9362,0.0003,-15364047.7617
36,2,-29110.8400,24323.5500,40424.6800,30268.6492,0.0001,1223600460.5873
36,3,72283.3300,2234.1800,-1211.9700,59254.8423,0.0012,-71815088.6482
36,4,411022.6100,14035.3700,-874.2000,322889.3615,0.0003,-282269874.9736
36,5,-748456.2200,-25426.7600,2948.9300,586896.2662,0.0002,1730716001.1741
36,6,231004.4000,-1130.9700,-14714.8200,166399.4800,0.0002,-2448538396.4655
36,7,146656.1100,0.0000,0.0000,122775.4808,0.0001,0.0000
36,8,44692.5500,0.0000,0.0000,37926.8523,0.0004,0.0000
37,0,-116319.5300,14038.8400,28501.8600,108610.6200,0.0001,3095604687.0548
37,1,50280.8300,1436.9000,1009.2500,56878.4300,0.0003,57404555.9747
37,2,-32384.3000,-3273.4600,-27597.0100,30426.2808,0.0001,-839674374.8404
37,3,73692.2200,1408.8900,-825.2900,61312.0315,0.0012,-50600204.8766
37,4,421248.7600,10226.1500,-3809.2200,336396.8862,0.0004,-1281409742.6818
37,5,-766950.8800,-18494.6600,6932.1000,611789.8638,0.0002,4240988511.0725
37,6,225661.7400,-5342.6600,-4211.6900,176384.3838,0.0001,-742876346.3088
37,7,146656.1100,0.0000,0.0000,127211.3415,0.0001,0.0000
