t_idx,time_label,node_idx,node_label,account_category,curvature,density
3,2020-04,8,08_ACC_Travel_Exp,Expense,7005.06,8741.78
3,2020-04,9,09_ACC_Equity_Capital,Equity,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,46844.69,102960.73
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,65318.21,147261.16
4,2020-05,2,02_ACC_COGS,Expense,23548.05,25503.94
4,2020-05,3,03_ACC_Cash,Asset,37397.52,185247.88
4,2020-05,4,04_ACC_Inventory,Asset,48823.46,73653.24
4,2020-05,5,05_ACC_Payroll_Exp,Expense,4730.98,18155.0
4,2020-05,6,06_ACC_Rent_Exp,Expense,101.9,4705.11
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,44849.19,45351.38
4,2020-05,8,08_ACC_Travel_Exp,Expense,192.1,5666.56
4,2020-05,9,09_ACC_Equity_Capital,Equity,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,12007.65,134792.52
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,64960.22,107123.45
5,2020-06,2,02_ACC_COGS,Expense,7714.74,30274.7
5,2020-06,3,03_ACC_Cash,Asset,61870.43,164231.65
5,2020-06,4,04_ACC_Inventory,Asset,9204.97,83907.13
5,2020-06,5,05_ACC_Payroll_Exp,Expense,590.69,18066.68
5,2020-06,6,06_ACC_Rent_Exp,Expense,1119.21,5224.12
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,14657.39,54879.67
5,2020-06,8,08_ACC_Travel_Exp,Expense,4945.64,7536.98
5,2020-06,9,09_ACC_Equity_Capital,Equity,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,62137.97,113790.32
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,133.46,161372.28
6,2020-07,2,02_ACC_COGS,Expense,23649.69,58695.15
6,2020-07,3,03_ACC_Cash,Asset,99126.45,138342.05
6,2020-07,4,04_ACC_Inventory,Asset,18997.7,122462.7
6,2020-07,5,05_ACC_Payroll_Exp,Expense,2744.36,20722.72
6,2020-07,6,06_ACC_Rent_Exp,Expense,915.46,6658.59
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,47260.0,111667.96
6,2020-07,8,08_ACC_Travel_Exp,Expense,1826.25,11233.65
6,2020-07,9,09_ACC_Equity_Capital,Equity,0.0,0.0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,32081.45,76006.81
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,64015.34,191178.39
7,2020-08,2,02_ACC_COGS,Expense,18163.62,68951.98
7,2020-08,3,03_ACC_Cash,Asset,27544.98,124480.09
7,2020-08,4,04_ACC_Inventory,Asset,6267.76,118423.27
7,2020-08,5,05_ACC_Payroll_Exp,Expense,4501.97,18876.79
7,2020-08,6,06_ACC_Rent_Exp,Expense,3149.36,4943.7
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,44229.03,124227.22
7,2020-08,8,08_ACC_Travel_Exp,Expense,7757.41,7172.91
7,2020-08,9,09_ACC_Equity_Capital,Equity,0.0,0.0
8,2020-09,0,00_ACC_Accounts_Payable,Liability,63070.6,153918.98
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,63773.15,201400.05
8,2020-09,2,02_ACC_COGS,Expense,27006.53,52202.28
8,2020-09,3,03_ACC_Cash,Asset,77944.4,232751.23
8,2020-09,4,04_ACC_Inventory,Asset,53319.07,113689.85
8,2020-09,5,05_ACC_Payroll_Exp,Expense,4139.66,21170.52
8,2020-09,6,06_ACC_Rent_Exp,Expense,127.43,3356.24
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,41678.8,95107.68
8,2020-09,8,08_ACC_Travel_Exp,Expense,6388.52,9500.69
8,2020-09,9,09_ACC_Equity_Capital,Equity,0.0,0.0
9,2020-10,0,00_ACC_Accounts_Payable,Liability,97692.47,83480.3
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,21079.28,171031.85
9,2020-10,2,02_ACC_COGS,Expense,4310.01,31142.57
9,2020-10,3,03_ACC_Cash,Asset,95269.38,184083.85
9,2020-10,4,04_ACC_Inventory,Asset,21019.18,79317.23
9,2020-10,5,05_ACC_Payroll_Exp,Expense,4950.47,18513.78
9,2020-10,6,06_ACC_Rent_Exp,Expense,4660.0,6428.78
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,9755.29,56232.85
9,2020-10,8,08_ACC_Travel_Exp,Expense,2791.82,9036.65
9,2020-10,9,09_ACC_Equity_Capital,Equity,0.0,0.0
10,2020-11,0,00_ACC_Accounts_Payable,Liability,44725.38,82679.5
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,61729.23,137106.52
10,2020-11,2,02_ACC_COGS,Expense,15589.85,25672.71
10,2020-11,3,03_ACC_Cash,Asset,87453.3,157583.41
10,2020-11,4,04_ACC_Inventory,Asset,3133.6,72990.71
10,2020-11,5,05_ACC_Payroll_Exp,Expense,1835.46,17692.5
10,2020-11,6,06_ACC_Rent_Exp,Expense,3522.44,5978.88
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,29086.05,46444.07
10,2020-11,8,08_ACC_Travel_Exp,Expense,684.53,7888.08
10,2020-11,9,09_ACC_Equity_Capital,Equity,0.0,0.0
11,2020-12,0,00_ACC_Accounts_Payable,Liability,21560.75,112460.31
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,36836.8,109219.75
11,2020-12,2,02_ACC_COGS,Expense,11703.6,31906.45
11,2020-12,3,03_ACC_Cash,Asset,36882.84,137167.57
11,2020-12,4,04_ACC_Inventory,Asset,7193.17,82878.22
11,2020-12,5,05_ACC_Payroll_Exp,Expense,67.21,16938.43
11,2020-12,6,06_ACC_Rent_Exp,Expense,3975.69,1553.29
11,2020-12,7,07_ACC_Sales_Revenue,Revenue,21437.68,58092.97
11,2020-12,8,08_ACC_Travel_Exp,Expense,678.98,6060.53
11,2020-12,9,09_ACC_Equity_Capital,Equity,0.0,0.0
