t_idx,time_label,node_idx,node_label,account_category,optimal_input_u,state_error_x
3,2020-04,4,04_ACC_Inventory,Asset,0.0,34214.49
3,2020-04,5,05_ACC_Payroll_Exp,Expense,-11607.8025,18834.01
3,2020-04,6,06_ACC_Rent_Exp,Expense,-3269.7758,5305.31
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,0.0,60480.48
3,2020-04,8,08_ACC_Travel_Exp,Expense,-3680.4492,5971.64
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
3,2020-04,10,10_ACC_Equity_Capital,Equity,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,0.0,38897.97
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,0.0,54760.78
4,2020-05,2,02_ACC_COGS,Expense,-0.0,26312.43
4,2020-05,3,03_ACC_Cash,Asset,0.0,16857.5
4,2020-05,4,04_ACC_Inventory,Asset,0.0,21836.87
4,2020-05,5,05_ACC_Payroll_Exp,Expense,-6368.6411,18155.0
4,2020-05,6,06_ACC_Rent_Exp,Expense,-1650.5181,4705.11
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,0.0,55351.38
4,2020-05,8,08_ACC_Travel_Exp,Expense,-2477.3961,7062.28
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
4,2020-05,10,10_ACC_Equity_Capital,Equity,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,0.0,32320.93
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,0.0,4273.28
5,2020-06,2,02_ACC_COGS,Expense,0.0,30465.73
5,2020-06,3,03_ACC_Cash,Asset,0.0,9141.38
5,2020-06,4,04_ACC_Inventory,Asset,0.0,23166.7
5,2020-06,5,05_ACC_Payroll_Exp,Expense,-6860.8743,18066.68
5,2020-06,6,06_ACC_Rent_Exp,Expense,-1983.8748,5224.12
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,0.0,64879.67
5,2020-06,8,08_ACC_Travel_Exp,Expense,-2054.186,5409.27
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
5,2020-06,10,10_ACC_Equity_Capital,Equity,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,0.0,7995.1
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,0.0,68564.1
6,2020-07,2,02_ACC_COGS,Expense,0.0,61442.9
6,2020-07,3,03_ACC_Cash,Asset,0.0,45155.98
6,2020-07,4,04_ACC_Inventory,Asset,0.0,2324.65
6,2020-07,5,05_ACC_Payroll_Exp,Expense,-800.5034,20722.72
6,2020-07,6,06_ACC_Rent_Exp,Expense,-257.2164,6658.59
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,0.0,121667.96
6,2020-07,8,08_ACC_Travel_Exp,Expense,-197.2441,5106.08
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
6,2020-07,10,10_ACC_Equity_Capital,Equity,0.0,0.0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,0.0,5480.8
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,0.0,60479.61
7,2020-08,2,02_ACC_COGS,Expense,-0.0,70089.52
7,2020-08,3,03_ACC_Cash,Asset,0.0,23338.98
7,2020-08,4,04_ACC_Inventory,Asset,0.0,20618.23
7,2020-08,5,05_ACC_Payroll_Exp,Expense,6636.1877,18876.79
7,2020-08,6,06_ACC_Rent_Exp,Expense,1737.9714,4943.7
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,0.0,134227.22
7,2020-08,8,08_ACC_Travel_Exp,Expense,2794.6617,7949.48
7,2020-08,9,09_UNKNOWN_LEAK,Unknown,0.0,364.53
7,2020-08,10,10_ACC_Equity_Capital,Equity,0.0,0.0
8,2020-09,0,00_ACC_Accounts_Payable,Liability,0.0,1434.84
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,0.0,8675.06
8,2020-09,2,02_ACC_COGS,Expense,0.0,53521.78
8,2020-09,3,03_ACC_Cash,Asset,0.0,12562.57
8,2020-09,4,04_ACC_Inventory,Asset,0.0,7965.79
8,2020-09,5,05_ACC_Payroll_Exp,Expense,-2857.4107,21170.52
8,2020-09,6,06_ACC_Rent_Exp,Expense,-452.9958,3356.24
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,0.0,105107.68
8,2020-09,8,08_ACC_Travel_Exp,Expense,-861.1082,6379.94
8,2020-09,9,09_UNKNOWN_LEAK,Unknown,0.0,260.74
8,2020-09,10,10_ACC_Equity_Capital,Equity,0.0,0.0
9,2020-10,0,00_ACC_Accounts_Payable,Liability,0.0,9258.74
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,0.0,73018.27
9,2020-10,2,02_ACC_COGS,Expense,-0.0,30192.26
9,2020-10,3,03_ACC_Cash,Asset,0.0,36595.9
9,2020-10,4,04_ACC_Inventory,Asset,0.0,17982.4
9,2020-10,5,05_ACC_Payroll_Exp,Expense,-5256.1482,18513.78
9,2020-10,6,06_ACC_Rent_Exp,Expense,-1825.1605,6428.78
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,0.0,66232.85
9,2020-10,8,08_ACC_Travel_Exp,Expense,-2918.3297,10279.26
9,2020-10,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
9,2020-10,10,10_ACC_Equity_Capital,Equity,0.0,0.0
10,2020-11,0,00_ACC_Accounts_Payable,Liability,0.0,21964.55
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,0.0,40098.18
10,2020-11,2,02_ACC_COGS,Expense,0.0,26027.45
10,2020-11,3,03_ACC_Cash,Asset,0.0,10980.74
10,2020-11,4,04_ACC_Inventory,Asset,0.0,21290.55
10,2020-11,5,05_ACC_Payroll_Exp,Expense,-6768.8601,17692.5
10,2020-11,6,06_ACC_Rent_Exp,Expense,-2287.4213,5978.88
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,0.0,56444.07
10,2020-11,8,08_ACC_Travel_Exp,Expense,-1724.6409,4507.88
10,2020-11,9,09_UNKNOWN_LEAK,Unknown,0.0,61.18
10,2020-11,10,10_ACC_Equity_Capital,Equity,0.0,0.0
11,2020-12,0,00_ACC_Accounts_Payable,Liability,0.0,4930.76
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,0.0,10469.34
11,2020-12,2,02_ACC_COGS,Expense,0.0,32730.05
11,2020-12,3,03_ACC_Cash,Asset,0.0,19995.7
11,2020-12,4,04_ACC_Inventory,Asset,0.0,18241.72
11,2020-12,5,05_ACC_Payroll_Exp,Expense,-7201.2133,16938.43
11,2020-12,6,06_ACC_Rent_Exp,Expense,-660.3666,1553.29
11,2020-12,7,07_ACC_Sales_Revenue,Revenue,0.0,68092.97
11,2020-12,8,08_ACC_Travel_Exp,Expense,-1312.2388,3086.6
11,2020-12,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
11,2020-12,10,10_ACC_Equity_Capital,Equity,0.0,0.0
