t_idx,node_idx,optimal_input_u,state_error_x
14,1,0.0000,32.8300
14,2,0.0000,1025.3900
14,3,402.1331,57.4700
14,4,0.0000,67.6300
15,0,0.0000,11.7600
15,1,0.0000,6.6600
15,2,0.0000,965.8600
15,3,398.5961,25.3700
15,4,0.0000,77.9300
16,0,0.0000,4.1800
16,1,0.0000,12.9300
16,2,0.0000,1016.9600
16,3,396.4772,33.6400
16,4,0.0000,0.4300
17,0,0.0000,42.9100
17,1,0.0000,5.3500
17,2,0.0000,1041.2200
17,3,406.4374,19.4100
17,4,0.0000,59.3700
18,0,0.0000,38.6300
18,1,0.0000,44.0600
18,2,0.0000,1009.9100
18,3,402.5095,23.0600
18,4,0.0000,7.7200
19,0,0.0000,2.5700
19,1,0.0000,6.6800
19,2,0.0000,1017.5300
19,3,402.5537,32.4800
19,4,0.0000,19.0600
20,0,0.0000,63.8300
20,1,0.0000,34.4700
20,2,0.0000,985.8700
20,3,398.2916,66.4500
20,4,0.0000,17.7200
21,0,0.0000,67.6700
21,1,0.0000,27.9700
21,2,0.0000,952.3900
21,3,389.1260,14.2200
21,4,0.0000,6.3100
22,0,0.0000,29.2600
22,1,0.0000,18.0900
22,2,0.0000,1017.6900
22,3,400.7232,26.9100
22,4,0.0000,56.5700
23,0,0.0000,11.6800
23,1,0.0000,17.2200
23,2,0.0000,987.1100
23,3,395.8656,7.4000
23,4,0.0000,0.0500
24,0,0.0000,7.9800
24,1,0.0000,4.0900
24,2,0.0000,981.6000
24,3,395.6632,19.3800
24,4,0.0000,2.9100
25,0,0.0000,25.6100
25,1,0.0000,35.9800
25,2,0.0000,988.2300
25,3,386.5925,8.2000
25,4,0.0000,13.9400
26,0,0.0000,24.1000
26,1,0.0000,1.9100
26,2,0.0000,967.2400
26,3,405.7966,45.4200
26,4,0.0000,55.9900
27,0,0.0000,75.4900
27,1,0.0000,13.7200
27,2,0.0000,913.1900
27,3,395.9373,25.4000
27,4,0.0000,27.8000
28,0,0.0000,1.6800
28,1,0.0000,11.5800
28,2,0.0000,959.5900
28,3,400.3900,20.6300
28,4,0.0000,47.7800
29,0,0.0000,54.8300
29,1,0.0000,23.6100
29,2,0.0000,1012.2000
29,3,398.7648,10.9400
29,4,0.0000,29.9600
30,0,0.0000,35.9400
30,1,0.0000,13.0500
30,2,0.0000,1002.5400
30,3,287.6741,0.0000
30,4,0.0000,20.3500
31,0,0.0000,46.5500
31,1,0.0000,11.4500
31,2,0.0000,1000.4300
31,3,289.9403,0.0000
31,4,0.0000,34.6700
32,0,0.0000,11.6200
32,1,0.0000,27.8100
32,2,0.0000,983.8600
32,3,290.4144,0.0000
32,4,0.0000,55.5700
33,0,0.0000,57.8700
33,1,0.0000,41.8700
33,2,0.0000,958.9900
33,3,292.9438,0.0000
33,4,0.0000,25.0100
34,0,0.0000,43.8100
34,1,0.0000,0.9300
34,2,0.0000,931.6800
34,3,296.1108,0.0000
34,4,0.0000,23.5800
35,0,0.0000,30.0100
35,1,0.0000,25.1500
35,2,0.0000,1003.9700
35,3,293.7729,0.0000
35,4,0.0000,0.8900
36,0,0.0000,10.2000
36,1,0.0000,35.6300
36,2,0.0000,1030.8200
36,3,282.9292,0.0000
36,4,0.0000,15.0100
37,0,0.0000,54.3900
37,1,0.0000,1.4900
37,2,0.0000,973.3500
37,3,271.4605,0.0000
37,4,0.0000,82.5300
38,0,0.0000,51.0100
38,1,0.0000,24.5400
38,2,0.0000,1013.9800
38,3,264.1638,0.0000
38,4,0.0000,12.4900
39,0,0.0000,4.0700
39,1,0.0000,15.6600
39,2,0.0000,952.0600
39,3,262.1874,0.0000
39,4,0.0000,36.3500
40,0,0.0000,95.3000
40,1,0.0000,45.7300
40,2,0.0000,976.9700
40,3,263.0709,0.0000
40,4,0.0000,26.5400
41,0,0.0000,27.7800
41,1,0.0000,7.7400
41,2,0.0000,997.2800
41,3,264.1687,0.0000
41,4,0.0000,38.2400
42,0,0.0000,9.0800
42,1,0.0000,6.8000
42,2,0.0000,1021.0400
42,3,264.7674,0.0000
42,4,0.0000,18.7600
43,0,0.0000,42.1000
43,1,0.0000,16.1100
43,2,0.0000,1042.7700
43,3,266.8356,0.0000
43,4,0.0000,16.7800
44,0,0.0000,13.5100
44,1,0.0000,65.4800
44,2,0.0000,1062.0900
44,3,270.8122,0.0000
44,4,0.0000,16.9000
45,0,0.0000,16.1900
45,1,0.0000,4.3000
45,2,0.0000,1040.8000
45,3,273.1072,0.0000
45,4,0.0000,20.3100
46,0,0.0000,24.6800
46,1,0.0000,23.0900
46,2,0.0000,1034.8500
46,3,269.4875,0.0000
46,4,0.0000,12.9200
47,0,0.0000,31.4800
47,1,0.0000,23.9300
47,2,0.0000,1006.7500
47,3,264.9513,0.0000
47,4,0.0000,62.1600
48,0,0.0000,32.4200
48,1,0.0000,28.7600
48,2,0.0000,1020.8500
48,3,262.3183,0.0000
48,4,0.0000,24.5100
49,0,0.0000,7.8100
49,1,0.0000,19.4000
49,2,0.0000,970.1700
49,3,264.7128,0.0000
49,4,0.0000,18.2400
50,0,0.0000,7.9800
50,1,0.0000,25.4300
50,2,0.0000,1013.5200
50,3,270.4789,0.0000
50,4,0.0000,3.9300
51,0,0.0000,15.8700
51,1,0.0000,31.1700
51,2,0.0000,964.5000
51,3,277.2233,0.0000
51,4,0.0000,11.5400
52,0,0.0000,12.2400
52,1,0.0000,35.2800
52,2,0.0000,1059.0900
52,3,281.3797,0.0000
52,4,0.0000,11.5700
53,0,0.0000,27.3800
53,1,0.0000,30.0300
53,2,0.0000,1010.9300
53,3,286.5917,0.0000
53,4,0.0000,8.2800
54,0,0.0000,15.2000
54,1,0.0000,6.4600
54,2,0.0000,1014.7500
54,3,293.6004,0.0000
54,4,0.0000,6.9100
55,0,0.0000,17.8300
55,1,0.0000,25.5400
55,2,0.0000,982.4300
55,3,300.2177,0.0000
55,4,0.0000,9.8600
56,0,0.0000,50.9000
56,1,0.0000,51.7700
56,2,0.0000,981.6400
56,3,298.9152,0.0000
56,4,0.0000,17.4900
57,0,0.0000,51.6900
57,1,0.0000,58.8300
57,2,0.0000,1017.0700
57,3,289.7073,0.0000
57,4,0.0000,9.9300
58,0,0.0000,11.4800
58,1,0.0000,26.3500
58,2,0.0000,1017.3800
58,3,280.2350,0.0000
58,4,0.0000,32.2500
59,0,0.0000,17.7000
59,1,0.0000,20.3100
59,2,0.0000,953.6600
59,3,277.1230,0.0000
59,4,0.0000,8.3300
