t_idx,time_label,node_idx,node_label,account_category,curvature,density
3,2020-04,5,05_ACC_Payroll_Exp,Expense,7515.14,18834.01
3,2020-04,6,06_ACC_Rent_Exp,Expense,933.15,5305.31
3,2020-04,7,07_ACC_Sales_Revenue,Revenue,34190.85,50480.48
3,2020-04,8,08_ACC_Travel_Exp,Expense,1404.96,10112.02
3,2020-04,9,09_UNKNOWN_LEAK,Unknown,513.44,0.0
3,2020-04,10,10_ACC_Equity_Capital,Equity,0.0,0.0
4,2020-05,0,00_ACC_Accounts_Payable,Liability,69964.65,115845.19
4,2020-05,1,01_ACC_Accounts_Receivable,Asset,87509.18,140330.09
4,2020-05,2,02_ACC_COGS,Expense,23074.11,25013.8
4,2020-05,3,03_ACC_Cash,Asset,79828.2,194387.0
4,2020-05,4,04_ACC_Inventory,Asset,48349.52,73163.1
4,2020-05,5,05_ACC_Payroll_Exp,Expense,4730.98,18155.0
4,2020-05,6,06_ACC_Rent_Exp,Expense,101.9,4705.11
4,2020-05,7,07_ACC_Sales_Revenue,Revenue,44849.19,45351.38
4,2020-05,8,08_ACC_Travel_Exp,Expense,3028.16,8852.29
4,2020-05,9,09_UNKNOWN_LEAK,Unknown,340.01,0.0
4,2020-05,10,10_ACC_Equity_Capital,Equity,0.0,0.0
5,2020-06,0,00_ACC_Accounts_Payable,Liability,61375.29,110954.42
5,2020-06,1,01_ACC_Accounts_Receivable,Asset,34886.11,116982.65
5,2020-06,2,02_ACC_COGS,Expense,8118.08,29433.32
5,2020-06,3,03_ACC_Cash,Asset,22618.59,150206.7
5,2020-06,4,04_ACC_Inventory,Asset,8801.63,83065.75
5,2020-06,5,05_ACC_Payroll_Exp,Expense,590.69,18066.68
5,2020-06,6,06_ACC_Rent_Exp,Expense,1119.21,5224.12
5,2020-06,7,07_ACC_Sales_Revenue,Revenue,14657.39,54879.67
5,2020-06,8,08_ACC_Travel_Exp,Expense,101.63,7490.93
5,2020-06,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
5,2020-06,10,10_ACC_Equity_Capital,Equity,0.0,0.0
6,2020-07,0,00_ACC_Accounts_Payable,Liability,2481.61,112886.02
6,2020-07,1,01_ACC_Accounts_Receivable,Asset,30658.49,157496.72
6,2020-07,2,02_ACC_COGS,Expense,28013.29,61866.13
6,2020-07,3,03_ACC_Cash,Asset,10310.46,128918.96
6,2020-07,4,04_ACC_Inventory,Asset,23361.3,125633.68
6,2020-07,5,05_ACC_Payroll_Exp,Expense,2744.36,20722.72
6,2020-07,6,06_ACC_Rent_Exp,Expense,915.46,6658.59
6,2020-07,7,07_ACC_Sales_Revenue,Revenue,47260.0,111667.96
6,2020-07,8,08_ACC_Travel_Exp,Expense,460.85,6590.42
6,2020-07,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
6,2020-07,10,10_ACC_Equity_Capital,Equity,0.0,0.0
7,2020-08,0,00_ACC_Accounts_Payable,Liability,11238.47,77193.33
7,2020-08,1,01_ACC_Accounts_Receivable,Asset,82865.71,192418.44
7,2020-08,2,02_ACC_COGS,Expense,24817.56,69481.38
7,2020-08,3,03_ACC_Cash,Asset,54590.25,130314.33
7,2020-08,4,04_ACC_Inventory,Asset,386.18,118952.67
7,2020-08,5,05_ACC_Payroll_Exp,Expense,4501.97,18876.79
7,2020-08,6,06_ACC_Rent_Exp,Expense,3149.36,4943.7
7,2020-08,7,07_ACC_Sales_Revenue,Revenue,44229.03,124227.22
7,2020-08,8,08_ACC_Travel_Exp,Expense,4890.67,10580.58
7,2020-08,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
7,2020-08,10,10_ACC_Equity_Capital,Equity,0.0,0.0
8,2020-09,0,00_ACC_Accounts_Payable,Liability,45345.39,139471.11
8,2020-09,1,01_ACC_Accounts_Receivable,Asset,56499.93,200482.49
8,2020-09,2,02_ACC_COGS,Expense,25480.3,51616.33
8,2020-09,3,03_ACC_Cash,Asset,56016.57,217368.53
8,2020-09,4,04_ACC_Inventory,Asset,51792.84,113103.9
8,2020-09,5,05_ACC_Payroll_Exp,Expense,4139.66,21170.52
8,2020-09,6,06_ACC_Rent_Exp,Expense,127.43,3356.24
8,2020-09,7,07_ACC_Sales_Revenue,Revenue,41678.8,95107.68
8,2020-09,8,08_ACC_Travel_Exp,Expense,5087.32,9483.42
8,2020-09,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
8,2020-09,10,10_ACC_Equity_Capital,Equity,0.0,0.0
9,2020-10,0,00_ACC_Accounts_Payable,Liability,53147.19,97943.32
9,2020-10,1,01_ACC_Accounts_Receivable,Asset,20455.04,168580.92
9,2020-10,2,02_ACC_COGS,Expense,1971.18,31780.1
9,2020-10,3,03_ACC_Cash,Asset,49036.0,194966.07
9,2020-10,4,04_ACC_Inventory,Asset,23358.01,79954.76
9,2020-10,5,05_ACC_Payroll_Exp,Expense,4950.47,18513.78
9,2020-10,6,06_ACC_Rent_Exp,Expense,4660.0,6428.78
9,2020-10,7,07_ACC_Sales_Revenue,Revenue,9755.29,56232.85
9,2020-10,8,08_ACC_Travel_Exp,Expense,479.48,7906.78
9,2020-10,9,09_UNKNOWN_LEAK,Unknown,0.0,0.0
9,2020-10,10,10_ACC_Equity_Capital,Equity,0.0,0.0
10,2020-11,0,00_ACC_Accounts_Payable,Liability,29954.64,111282.67
10,2020-11,1,01_ACC_Accounts_Receivable,Asset,46181.91,148669.54
10,2020-11,2,02_ACC_COGS,Expense,13634.67,25578.54
10,2020-11,3,03_ACC_Cash,Asset,60342.67,196901.98
10,2020-11,4,04_ACC_Inventory,Asset,1178.42,72896.54
10,2020-11,5,05_ACC_Payroll_Exp,Expense,1835.46,17692.5
10,2020-11,6,06_ACC_Rent_Exp,Expense,3522.44,5978.88
10,2020-11,7,07_ACC_Sales_Revenue,Revenue,29086.05,46444.07
10,2020-11,8,08_ACC_Travel_Exp,Expense,1616.61,7946.75
10,2020-11,9,09_UNKNOWN_LEAK,Unknown,906.29,906.29
10,2020-11,10,10_ACC_Equity_Capital,Equity,0.0,0.0
11,2020-12,0,00_ACC_Accounts_Payable,Liability,36759.24,96883.64
11,2020-12,1,01_ACC_Accounts_Receivable,Asset,71405.48,100228.04
11,2020-12,2,02_ACC_COGS,Expense,13389.9,32766.88
11,2020-12,3,03_ACC_Cash,Asset,11985.58,114513.03
11,2020-12,4,04_ACC_Inventory,Asset,8879.47,83738.65
11,2020-12,5,05_ACC_Payroll_Exp,Expense,67.21,16938.43
11,2020-12,6,06_ACC_Rent_Exp,Expense,3975.69,1553.29
11,2020-12,7,07_ACC_Sales_Revenue,Revenue,21437.68,58092.97
11,2020-12,8,08_ACC_Travel_Exp,Expense,12.35,7974.37
11,2020-12,9,09_UNKNOWN_LEAK,Unknown,1812.58,0.0
11,2020-12,10,10_ACC_Equity_Capital,Equity,0.0,0.0
