t_idx,time_label,node_idx,node_label,state_X,velocity_v,acceleration_a,jerk_j,snap_s,inertia_M,viscosity_C,external_force_F
3,2024-01-01 10:00:30,2,02_Prefrontal_Cortex,100049.66,73.66,52.9,53.46,141.42,99978.705,9997.8705,6025316.6355
3,2024-01-01 10:00:30,3,03_Temporal_Lobe,99913.96,-37.44,-43.49,-114.17,-259.46,99955.1725,9995.5172,-4721282.6179
3,2024-01-01 10:00:30,4,04_Visual_Cortex,100052.3,-23.56,-0.09,82.23,182.92,100066.9925,10006.6992,-244763.8637
4,2024-01-01 10:00:40,0,00_Motor_Cortex,100096.13,-18.11,-56.71,-88.5,-118.59,100083.712,10008.3712,-5856998.91
4,2024-01-01 10:00:40,1,01_Parietal_Lobe,99874.53,4.69,55.95,97.06,148.67,99909.724,9990.9724,5636806.7184
4,2024-01-01 10:00:40,2,02_Prefrontal_Cortex,100097.62,47.96,-25.7,-78.6,-132.06,100002.488,10000.2488,-2090452.0092
4,2024-01-01 10:00:40,3,03_Temporal_Lobe,99877.98,-35.98,1.46,44.95,159.12,99939.734,9993.9734,-213671.1513
4,2024-01-01 10:00:40,4,04_Visual_Cortex,100053.74,1.44,25.0,25.09,-57.14,100064.342,10006.4342,2516017.8152
5,2024-01-01 10:00:50,0,00_Motor_Cortex,100048.37,-47.76,-29.65,27.06,115.56,100077.8217,10007.7822,-3445279.0887
5,2024-01-01 10:00:50,1,01_Parietal_Lobe,99890.84,16.31,11.62,-44.33,-141.39,99906.5767,9990.6577,1323862.0474
5,2024-01-01 10:00:50,2,02_Prefrontal_Cortex,100090.48,-7.14,-55.1,-29.4,49.2,100017.1533,10001.7153,-5582357.3961
5,2024-01-01 10:00:50,3,03_Temporal_Lobe,99895.82,17.84,53.82,52.36,7.41,99932.415,9993.2415,5556642.0037
5,2024-01-01 10:00:50,4,04_Visual_Cortex,100074.49,20.75,19.31,-5.69,-30.78,100066.0333,10006.6033,2139912.1228
6,2024-01-01 10:01:00,0,00_Motor_Cortex,99990.43,-57.94,-10.18,19.47,-7.59,100065.3371,10006.5337,-1598443.6955
6,2024-01-01 10:01:00,1,01_Parietal_Lobe,99843.75,-47.09,-63.4,-75.02,-30.69,99897.6014,9989.7601,-6803925.7357
6,2024-01-01 10:01:00,2,02_Prefrontal_Cortex,100131.07,40.59,47.73,102.83,132.23,100033.4271,10003.3427,5180631.1583
6,2024-01-01 10:01:00,3,03_Temporal_Lobe,99932.66,36.84,19.0,-34.82,-87.18,99932.45,9993.245,2266867.6958
6,2024-01-01 10:01:00,4,04_Visual_Cortex,100102.09,27.6,6.85,-12.46,-6.77,100071.1843,10007.1184,961684.081
7,2024-01-01 10:01:10,0,00_Motor_Cortex,99969.33,-21.1,36.84,47.02,27.55,100053.3363,10005.3336,3474852.368
7,2024-01-01 10:01:10,1,01_Parietal_Lobe,99813.86,-29.89,17.2,80.6,155.62,99887.1338,9988.7134,1419496.0577
7,2024-01-01 10:01:10,2,02_Prefrontal_Cortex,100137.95,6.88,-33.71,-81.44,-184.27,100046.4925,10004.6493,-3303735.2753
7,2024-01-01 10:01:10,3,03_Temporal_Lobe,99994.85,62.19,25.35,6.35,41.17,99940.25,9994.025,3155013.7522
7,2024-01-01 10:01:10,4,04_Visual_Cortex,100084.01,-18.08,-45.68,-52.53,-40.07,100072.7875,10007.2787,-4752256.5328
8,2024-01-01 10:01:20,0,00_Motor_Cortex,99960.71,-8.62,12.48,-24.36,-71.38,100043.0444,10004.3044,1162300.0904
8,2024-01-01 10:01:20,1,01_Parietal_Lobe,99881.7,67.84,97.73,80.53,-0.07,99886.53,9988.653,10439540.7964
8,2024-01-01 10:01:20,2,02_Prefrontal_Cortex,100145.84,7.89,1.01,34.72,116.16,100057.5311,10005.7531,180003.4985
8,2024-01-01 10:01:20,3,03_Temporal_Lobe,99982.5,-12.35,-74.54,-99.89,-106.24,99944.9444,9994.4944,-7573328.1653
8,2024-01-01 10:01:20,4,04_Visual_Cortex,100029.25,-54.76,-36.68,9.0,61.53,100067.95,10006.795,-4218464.5002
9,2024-01-01 10:01:30,0,00_Motor_Cortex,99963.11,2.4,11.02,-1.46,22.9,100035.051,10003.5051,1126394.6743
9,2024-01-01 10:01:30,1,01_Parietal_Lobe,99882.42,0.72,-67.12,-164.85,-245.38,99886.119,9988.6119,-6697164.5067
9,2024-01-01 10:01:30,2,02_Prefrontal_Cortex,100142.76,-3.08,-10.97,-11.98,-46.7,100066.054,10006.6054,-1128544.957
9,2024-01-01 10:01:30,3,03_Temporal_Lobe,100009.4,26.9,39.25,113.79,213.68,99951.39,9995.139,4191961.2966
9,2024-01-01 10:01:30,4,04_Visual_Cortex,100002.31,-26.94,27.82,64.5,55.5,100061.386,10006.1386,2514142.3846
10,2024-01-01 10:01:40,0,00_Motor_Cortex,99926.17,-36.94,-39.34,-50.36,-48.9,100025.1527,10002.5153,-4304482.4225
10,2024-01-01 10:01:40,1,01_Parietal_Lobe,99883.81,1.39,0.67,67.79,232.64,99885.9091,9988.5909,80807.7005
10,2024-01-01 10:01:40,2,02_Prefrontal_Cortex,100200.71,57.95,61.03,72.0,83.98,100078.2955,10007.8295,6687732.0937
10,2024-01-01 10:01:40,3,03_Temporal_Lobe,100001.54,-7.86,-34.76,-74.01,-187.8,99955.9491,9995.5949,-3553034.1664
10,2024-01-01 10:01:40,4,04_Visual_Cortex,99987.77,-14.54,12.4,-15.42,-79.92,100054.6936,10005.4694,1095198.6765
11,2024-01-01 10:01:50,0,00_Motor_Cortex,99891.74,-34.43,2.51,41.85,92.21,100014.035,10001.4035,-93313.0947
11,2024-01-01 10:01:50,1,01_Parietal_Lobe,99943.51,59.7,58.31,57.64,-10.15,99890.7092,9989.0709,6420974.7852
11,2024-01-01 10:01:50,2,02_Prefrontal_Cortex,100257.78,57.07,-0.88,-61.91,-133.91,100093.2525,10009.3253,483150.1298
11,2024-01-01 10:01:50,3,03_Temporal_Lobe,99998.0,-3.54,4.32,39.08,113.09,99959.4533,9995.9453,396439.1919
11,2024-01-01 10:01:50,4,04_Visual_Cortex,99908.97,-78.8,-64.26,-76.66,-61.24,100042.55,10004.255,-7217069.557
12,2024-01-01 10:02:00,0,00_Motor_Cortex,99956.65,64.91,99.34,96.83,54.98,100009.6208,10000.9621,10584118.1756
12,2024-01-01 10:02:00,1,01_Parietal_Lobe,99871.81,-71.7,-131.4,-189.71,-247.35,99889.2554,9988.9255,-13841654.1186
12,2024-01-01 10:02:00,2,02_Prefrontal_Cortex,100240.99,-16.79,-73.86,-72.98,-11.07,100104.6169,10010.4617,-7561802.6578
12,2024-01-01 10:02:00,3,03_Temporal_Lobe,100008.65,10.65,14.19,9.87,-29.21,99963.2377,9996.3238,1524939.191
12,2024-01-01 10:02:00,4,04_Visual_Cortex,99921.9,12.93,91.73,155.99,232.65,100033.2692,10003.3269,9305394.8037
13,2024-01-01 10:02:10,0,00_Motor_Cortex,99975.52,18.87,-46.04,-145.38,-242.21,100007.185,10000.7185,-4415617.2393
13,2024-01-01 10:02:10,1,01_Parietal_Lobe,99857.96,-13.85,57.85,189.25,378.96,99887.02,9988.702,5640120.5843
13,2024-01-01 10:02:10,2,02_Prefrontal_Cortex,100276.17,35.18,51.97,125.83,198.81,100116.8707,10011.6871,5555284.9222
13,2024-01-01 10:02:10,3,03_Temporal_Lobe,100052.88,44.23,33.58,19.39,9.52,99969.6407,9996.9641,3799146.2561
13,2024-01-01 10:02:10,4,04_Visual_Cortex,99837.47,-84.43,-97.36,-189.09,-345.08,100019.2836,10001.9284,-10582340.2597
14,2024-01-01 10:02:20,0,00_Motor_Cortex,99875.85,-99.67,-118.54,-72.5,72.88,99998.4293,9999.8429,-12850498.1583
14,2024-01-01 10:02:20,1,01_Parietal_Lobe,99885.02,27.06,40.91,-16.94,-206.19,99886.8867,9988.6887,4356666.4489
14,2024-01-01 10:02:20,2,02_Prefrontal_Cortex,100260.41,-15.76,-50.94,-102.91,-228.74,100126.44,10012.644,-5258240.123
14,2024-01-01 10:02:20,3,03_Temporal_Lobe,100077.92,25.04,-19.19,-52.77,-72.16,99976.8593,9997.6859,-1668213.8748
14,2024-01-01 10:02:20,4,04_Visual_Cortex,99900.8,63.33,147.76,245.12,434.21,100011.3847,10001.1385,15411054.2974
15,2024-01-01 10:02:30,0,00_Motor_Cortex,99909.14,33.29,132.96,251.5,324.0,99992.8487,9999.2849,13627925.3633
15,2024-01-01 10:02:30,1,01_Parietal_Lobe,99881.46,-3.56,-30.62,-71.53,-54.59,99886.5475,9988.6548,-3094085.6954
15,2024-01-01 10:02:30,2,02_Prefrontal_Cortex,100267.02,6.61,22.37,73.31,176.22,100135.2262,10013.5226,2306214.3958
15,2024-01-01 10:02:30,3,03_Temporal_Lobe,100050.99,-26.93,-51.97,-32.78,19.99,99981.4925,9998.1492,-5465288.3245
15,2024-01-01 10:02:30,4,04_Visual_Cortex,99891.39,-9.41,-72.74,-220.5,-465.62,100003.885,10000.3885,-7368386.2507
16,2024-01-01 10:02:40,0,00_Motor_Cortex,99868.49,-40.65,-73.94,-206.9,-458.4,99985.5335,9998.5534,-7799371.543
16,2024-01-01 10:02:40,1,01_Parietal_Lobe,99899.06,17.6,21.16,51.78,123.31,99887.2835,9988.7284,2289416.5385
16,2024-01-01 10:02:40,2,02_Prefrontal_Cortex,100223.56,-43.46,-50.07,-72.44,-145.75,100140.4224,10014.0422,-5449241.2228
16,2024-01-01 10:02:40,3,03_Temporal_Lobe,100106.4,55.41,82.34,134.31,167.09,99988.84,9998.884,8787119.248
16,2024-01-01 10:02:40,4,04_Visual_Cortex,99902.49,11.1,20.51,93.25,313.75,99997.9206,9999.7921,2161955.0431
17,2024-01-01 10:02:50,0,00_Motor_Cortex,99839.59,-28.9,11.75,85.69,292.59,99977.4256,9997.7426,885799.9904
17,2024-01-01 10:02:50,1,01_Parietal_Lobe,99868.2,-30.86,-48.46,-69.62,-121.4,99886.2233,9988.6223,-5148735.2679
17,2024-01-01 10:02:50,2,02_Prefrontal_Cortex,100256.27,32.71,76.17,126.24,198.68,100146.8583,10014.6858,7955766.5729
17,2024-01-01 10:02:50,3,03_Temporal_Lobe,100105.11,-1.29,-56.7,-139.04,-273.35,99995.2994,9999.5299,-5682632.8721
17,2024-01-01 10:02:50,4,04_Visual_Cortex,99930.83,28.34,17.24,-3.27,-96.52,99994.1933,9999.4193,2007283.437
18,2024-01-01 10:03:00,0,00_Motor_Cortex,99907.24,67.65,96.55,84.8,-0.89,99973.7316,9997.3732,10328786.0781
18,2024-01-01 10:03:00,1,01_Parietal_Lobe,99878.29,10.09,40.95,89.41,159.03,99885.8058,9988.5806,4191108.5251
18,2024-01-01 10:03:00,2,02_Prefrontal_Cortex,100165.88,-90.39,-123.1,-199.27,-325.51,100147.8595,10014.7859,-13233438.003
18,2024-01-01 10:03:00,3,03_Temporal_Lobe,100085.43,-19.68,-18.39,38.31,177.35,100000.0432,10000.0043,-2035800.8786
18,2024-01-01 10:03:00,4,04_Visual_Cortex,99963.16,32.33,3.99,-13.25,-9.98,99992.56,9999.256,722246.2609
19,2024-01-01 10:03:10,0,00_Motor_Cortex,99912.03,4.79,-62.86,-159.41,-244.21,99970.6465,9997.0647,-6236268.8993
19,2024-01-01 10:03:10,1,01_Parietal_Lobe,99873.7,-4.59,-14.68,-55.63,-145.04,99885.2005,9988.5201,-1512162.0504
19,2024-01-01 10:03:10,2,02_Prefrontal_Cortex,100205.3,39.42,129.81,252.91,452.18,100150.7315,10015.0732,13395360.6396
19,2024-01-01 10:03:10,3,03_Temporal_Lobe,100104.81,19.38,39.06,57.45,19.14,100005.2815,10000.5281,4100016.5309
19,2024-01-01 10:03:10,4,04_Visual_Cortex,99904.16,-59.0,-91.33,-95.32,-82.07,99988.14,9998.814,-9721846.8522
20,2024-01-01 10:03:20,0,00_Motor_Cortex,99889.3,-22.73,-27.52,35.34,194.75,99966.7729,9996.6773,-2978310.0637
20,2024-01-01 10:03:20,1,01_Parietal_Lobe,99890.06,16.36,20.95,35.63,91.26,99885.4319,9988.5432,2256012.365
20,2024-01-01 10:03:20,2,02_Prefrontal_Cortex,100244.69,39.39,-0.03,-129.84,-382.75,100155.2057,10015.5206,391506.6991
20,2024-01-01 10:03:20,3,03_Temporal_Lobe,100054.69,-50.12,-69.5,-108.56,-166.01,100007.6343,10000.7634,-7451768.8459
20,2024-01-01 10:03:20,4,04_Visual_Cortex,99921.26,17.1,76.1,167.43,262.75,99984.9552,9998.4955,7779829.3671
21,2024-01-01 10:03:30,0,00_Motor_Cortex,99859.76,-29.54,-6.81,20.71,-14.63,99961.9086,9996.1909,-976028.0759
21,2024-01-01 10:03:30,1,01_Parietal_Lobe,99899.42,9.36,-7.0,-27.95,-63.58,99886.0677,9988.6068,-605709.1147
21,2024-01-01 10:03:30,2,02_Prefrontal_Cortex,100264.5,19.81,-19.58,-19.55,110.29,100160.1736,10016.0174,-1762718.8958
21,2024-01-01 10:03:30,3,03_Temporal_Lobe,100047.26,-7.43,42.69,112.19,220.75,100009.4355,10000.9435,4195095.789
21,2024-01-01 10:03:30,4,04_Visual_Cortex,99929.06,7.8,-9.3,-85.4,-252.83,99982.4145,9998.2415,-851850.1719
22,2024-01-01 10:03:40,0,00_Motor_Cortex,99900.59,40.83,70.37,77.18,56.47,99959.2426,9995.9243,7442265.4899
22,2024-01-01 10:03:40,1,01_Parietal_Lobe,99881.88,-17.54,-26.9,-19.9,8.05,99885.8857,9988.5886,-2862130.1675
22,2024-01-01 10:03:40,2,02_Prefrontal_Cortex,100204.2,-60.3,-80.11,-60.53,-40.98,100162.0878,10016.2088,-8627962.2453
22,2024-01-01 10:03:40,3,03_Temporal_Lobe,100101.87,54.61,62.04,19.35,-92.84,100013.4543,10001.3454,6751008.1819
22,2024-01-01 10:03:40,4,04_Visual_Cortex,99911.46,-17.6,-25.4,-16.1,69.3,99979.3296,9997.933,-2715438.591
23,2024-01-01 10:03:50,0,00_Motor_Cortex,99934.02,33.43,-7.4,-77.77,-154.95,99958.1917,9995.8192,-405530.3836
23,2024-01-01 10:03:50,1,01_Parietal_Lobe,99882.67,0.79,18.33,45.23,65.13,99885.7517,9988.5752,1838796.8024
23,2024-01-01 10:03:50,2,02_Prefrontal_Cortex,100224.81,20.61,80.91,161.02,221.55,100164.7013,10016.4701,8310765.4274
23,2024-01-01 10:03:50,3,03_Temporal_Lobe,100069.08,-32.79,-87.4,-149.44,-168.79,100015.7721,10001.5772,-9069330.1967
23,2024-01-01 10:03:50,4,04_Visual_Cortex,99889.42,-22.04,-4.44,20.96,37.06,99975.5833,9997.5583,-664237.7757
24,2024-01-01 10:04:00,0,00_Motor_Cortex,99857.77,-76.25,-109.68,-102.28,-24.51,99954.1748,9995.4175,-11725124.4749
24,2024-01-01 10:04:00,1,01_Parietal_Lobe,99874.34,-8.33,-9.12,-27.45,-72.68,99885.2952,9988.5295,-994158.3431
24,2024-01-01 10:04:00,2,02_Prefrontal_Cortex,100272.14,47.33,26.72,-54.19,-215.21,100168.9988,10016.8999,3150615.5193
24,2024-01-01 10:04:00,3,03_Temporal_Lobe,100091.56,22.48,55.27,142.67,292.11,100018.8036,10001.8804,5752881.5455
24,2024-01-01 10:04:00,4,04_Visual_Cortex,99904.19,14.77,36.81,41.25,20.29,99972.7276,9997.2728,3827655.8216
25,2024-01-01 10:04:10,0,00_Motor_Cortex,99875.59,17.82,94.07,203.75,306.03,99951.1523,9995.1152,9580517.851
25,2024-01-01 10:04:10,1,01_Parietal_Lobe,99900.11,25.77,34.1,43.22,70.67,99885.865,9988.5865,3663513.8706
25,2024-01-01 10:04:10,2,02_Prefrontal_Cortex,100337.11,64.97,17.64,-9.08,45.11,100175.4646,10017.5465,2417935.1894
25,2024-01-01 10:04:10,3,03_Temporal_Lobe,100066.95,-24.61,-47.09,-102.36,-245.03,100020.6554,10002.0655,-4956123.495
25,2024-01-01 10:04:10,4,04_Visual_Cortex,99820.24,-83.95,-98.72,-135.53,-176.78,99966.8627,9996.6863,-10707950.4973
26,2024-01-01 10:04:20,0,00_Motor_Cortex,99876.92,1.33,-16.49,-110.56,-314.31,99948.403,9994.8403,-1634856.0273
26,2024-01-01 10:04:20,1,01_Parietal_Lobe,99890.11,-10.0,-35.77,-69.87,-113.09,99886.0222,9988.6022,-3672809.0371
26,2024-01-01 10:04:20,2,02_Prefrontal_Cortex,100417.03,79.92,14.95,-2.69,6.39,100184.4115,10018.4411,2298430.7682
26,2024-01-01 10:04:20,3,03_Temporal_Lobe,100068.74,1.79,26.4,73.49,175.85,100022.4363,10002.2436,2658496.3343
26,2024-01-01 10:04:20,4,04_Visual_Cortex,99747.2,-73.04,10.91,109.63,245.16,99958.727,9995.8727,360451.1697
27,2024-01-01 10:04:30,0,00_Motor_Cortex,99940.87,63.95,62.62,79.11,189.67,99948.1339,9994.8134,6897920.4631
27,2024-01-01 10:04:30,1,01_Parietal_Lobe,99839.35,-50.76,-40.76,-4.99,64.88,99884.3554,9988.4355,-4578299.3121
27,2024-01-01 10:04:30,2,02_Prefrontal_Cortex,100336.16,-80.87,-160.79,-175.74,-173.05,100189.8311,10018.9831,-16919758.1018
27,2024-01-01 10:04:30,3,03_Temporal_Lobe,100121.76,53.02,51.23,24.83,-48.66,100025.9836,10002.5984,5654668.9033
27,2024-01-01 10:04:30,4,04_Visual_Cortex,99761.86,14.66,87.7,76.79,-32.84,99951.6961,9995.1696,8912292.9319
28,2024-01-01 10:04:40,0,00_Motor_Cortex,99995.63,54.76,-9.19,-71.81,-150.92,99949.7717,9994.9772,-371213.4522
28,2024-01-01 10:04:40,1,01_Parietal_Lobe,99846.91,7.56,58.32,99.08,104.07,99883.0641,9988.3064,5900691.897
28,2024-01-01 10:04:40,2,02_Prefrontal_Cortex,100298.12,-38.04,42.83,203.62,379.36,100193.5652,10019.3565,3910154.0744
28,2024-01-01 10:04:40,3,03_Temporal_Lobe,100096.44,-25.32,-78.34,-129.57,-154.4,100028.4131,10002.8413,-8089497.8245
28,2024-01-01 10:04:40,4,04_Visual_Cortex,99762.9,1.04,-13.62,-101.32,-178.11,99945.1859,9994.5186,-1350859.1321
29,2024-01-01 10:04:50,0,00_Motor_Cortex,99952.45,-43.18,-97.94,-88.75,-16.94,99949.861,9994.9861,-10220672.8861
29,2024-01-01 10:04:50,1,01_Parietal_Lobe,99861.64,14.73,7.17,-51.15,-150.23,99882.35,9988.235,863283.151
29,2024-01-01 10:04:50,2,02_Prefrontal_Cortex,100307.31,9.19,47.23,4.4,-199.22,100197.3567,10019.7357,4824402.5261
29,2024-01-01 10:04:50,3,03_Temporal_Lobe,100119.8,23.36,48.68,127.02,256.59,100031.4593,10003.1459,5103204.9293
29,2024-01-01 10:04:50,4,04_Visual_Cortex,99758.8,-4.1,-5.14,8.48,109.8,99938.973,9993.8973,-554661.3001
30,2024-01-01 10:05:00,0,00_Motor_Cortex,99941.18,-11.27,31.91,129.85,218.6,99949.581,9994.9581,3076747.9509
30,2024-01-01 10:05:00,1,01_Parietal_Lobe,99831.89,-29.75,-44.48,-51.65,-0.5,99880.7223,9988.0722,-4739839.6748
30,2024-01-01 10:05:00,2,02_Prefrontal_Cortex,100311.31,4.0,-5.19,-52.42,-56.82,100201.0326,10020.1033,-479962.9461
30,2024-01-01 10:05:00,3,03_Temporal_Lobe,100119.8,0.0,-23.36,-72.04,-199.06,100034.309,10003.4309,-2336801.459
30,2024-01-01 10:05:00,4,04_Visual_Cortex,99795.82,37.02,41.12,46.26,37.78,99934.3552,9993.4355,4479257.667
31,2024-01-01 10:05:10,0,00_Motor_Cortex,99991.92,50.74,62.01,30.1,-99.75,99950.9041,9995.0904,6705106.4481
31,2024-01-01 10:05:10,1,01_Parietal_Lobe,99812.74,-19.15,10.6,55.08,106.73,99878.5978,9987.8598,867445.622
31,2024-01-01 10:05:10,2,02_Prefrontal_Cortex,100278.64,-32.67,-36.67,-31.48,20.94,100203.4578,10020.3458,-4001825.4947
31,2024-01-01 10:05:10,3,03_Temporal_Lobe,100119.8,0.0,0.0,23.36,95.4,100036.9806,10003.6981,0.0
31,2024-01-01 10:05:10,4,04_Visual_Cortex,99796.9,1.08,-35.94,-77.06,-123.32,99930.0597,9993.006,-3580693.8987
32,2024-01-01 10:05:20,0,00_Motor_Cortex,99966.9,-25.02,-75.76,-137.77,-167.87,99951.3888,9995.1389,-7822395.5893
32,2024-01-01 10:05:20,1,01_Parietal_Lobe,99889.35,76.61,95.76,85.16,30.08,99878.9236,9987.8924,10329578.1614
32,2024-01-01 10:05:20,2,02_Prefrontal_Cortex,100247.45,-31.19,1.48,38.15,69.63,100204.7909,10020.4791,-164235.6523
32,2024-01-01 10:05:20,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,-23.36,100039.4903,10003.949,0.0
32,2024-01-01 10:05:20,4,04_Visual_Cortex,99776.5,-20.4,-21.48,14.46,91.52,99925.4064,9992.5406,-2350245.5577
33,2024-01-01 10:05:30,0,00_Motor_Cortex,99909.06,-57.84,-32.82,42.94,180.71,99950.1438,9995.0144,-3858475.3522
33,2024-01-01 10:05:30,1,01_Parietal_Lobe,99887.74,-1.61,-78.22,-173.98,-259.14,99879.1829,9987.9183,-7828630.2381
33,2024-01-01 10:05:30,2,02_Prefrontal_Cortex,100248.0,0.55,31.74,30.26,-7.89,100206.0618,10020.6062,3186051.7338
33,2024-01-01 10:05:30,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100041.8524,10004.1852,0.0
33,2024-01-01 10:05:30,4,04_Visual_Cortex,99835.4,58.9,79.3,100.78,86.32,99922.7591,9992.2759,8512419.8492
34,2024-01-01 10:05:40,0,00_Motor_Cortex,99917.73,8.67,66.51,99.33,56.39,99949.2177,9994.9218,6734278.4419
34,2024-01-01 10:05:40,1,01_Parietal_Lobe,99897.9,10.16,11.77,89.99,263.97,99879.7177,9987.9718,1277062.0707
34,2024-01-01 10:05:40,2,02_Prefrontal_Cortex,100257.23,9.23,8.68,-23.06,-53.32,100207.5237,10020.7524,962292.8502
34,2024-01-01 10:05:40,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100044.0794,10004.4079,0.0
34,2024-01-01 10:05:40,4,04_Visual_Cortex,99807.34,-28.06,-86.96,-166.26,-267.04,99919.4614,9991.9461,-8969370.3746
35,2024-01-01 10:05:50,0,00_Motor_Cortex,99925.82,8.09,-0.58,-67.09,-166.42,99948.5678,9994.8568,22888.222
35,2024-01-01 10:05:50,1,01_Parietal_Lobe,99889.49,-8.41,-18.57,-30.34,-120.33,99879.9892,9987.9989,-1938770.4697
35,2024-01-01 10:05:50,2,02_Prefrontal_Cortex,100248.07,-9.16,-18.39,-27.07,-4.01,100208.65,10020.865,-1934628.1969
35,2024-01-01 10:05:50,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100046.1828,10004.6183,0.0
35,2024-01-01 10:05:50,4,04_Visual_Cortex,99816.82,9.48,37.54,124.5,290.76,99916.6103,9991.661,3845590.4964
36,2024-01-01 10:06:00,0,00_Motor_Cortex,99938.6,12.78,4.69,5.27,72.36,99948.2984,9994.8298,596491.4447
36,2024-01-01 10:06:00,1,01_Parietal_Lobe,99817.41,-72.08,-63.67,-45.1,-14.76,99878.2978,9987.8298,-7079173.9942
36,2024-01-01 10:06:00,2,02_Prefrontal_Cortex,100237.74,-10.33,-1.17,17.22,44.29,100209.4362,10020.9436,-220761.388
36,2024-01-01 10:06:00,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100048.1724,10004.8172,0.0
36,2024-01-01 10:06:00,4,04_Visual_Cortex,99886.45,69.63,60.15,22.61,-101.89,99915.7951,9991.5795,6705648.7589
37,2024-01-01 10:06:10,0,00_Motor_Cortex,99991.49,52.89,40.11,35.42,30.15,99949.435,9994.9435,4537604.3996
37,2024-01-01 10:06:10,1,01_Parietal_Lobe,99806.11,-11.3,60.78,124.45,169.55,99876.3982,9987.6398,5957627.1501
37,2024-01-01 10:06:10,2,02_Prefrontal_Cortex,100198.54,-39.2,-28.87,-27.7,-44.92,100209.1495,10020.9149,-3285858.0112
37,2024-01-01 10:06:10,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100050.0574,10005.0057,0.0
37,2024-01-01 10:06:10,4,04_Visual_Cortex,99884.06,-2.39,-72.02,-132.17,-154.78,99914.96,9991.496,-7219755.0946
38,2024-01-01 10:06:20,0,00_Motor_Cortex,99998.52,7.03,-45.86,-85.97,-121.39,99950.6936,9995.0694,-4513473.4704
38,2024-01-01 10:06:20,1,01_Parietal_Lobe,99800.36,-5.75,5.55,-55.23,-179.68,99874.4485,9987.4448,496875.3811
38,2024-01-01 10:06:20,2,02_Prefrontal_Cortex,100223.68,25.14,64.34,93.21,120.91,100209.5221,10020.9522,6699407.3872
38,2024-01-01 10:06:20,3,03_Temporal_Lobe,100119.8,0.0,0.0,0.0,0.0,100051.8456,10005.1846,0.0
38,2024-01-01 10:06:20,4,04_Visual_Cortex,99857.64,-26.42,-24.03,47.99,180.16,99913.4903,9991.349,-2664892.6121
39,2024-01-01 10:06:30,0,00_Motor_Cortex,100019.18,20.66,13.63,59.49,145.46,99952.4058,9995.2406,1568852.9607
