t_idx,node_idx,fk_echo_impact
20,5,5.3975
20,6,22.9546
20,7,100.0000
20,8,85.0000
21,0,22.3189
21,1,18.9710
21,2,72.2500
21,3,24.0139
21,4,6.1763
21,5,8.9035
21,6,16.1254
21,7,100.0000
21,8,85.0000
22,0,36.6059
22,1,31.1150
22,2,72.2500
22,3,15.8578
22,4,3.5184
22,5,5.4304
22,6,26.4478
22,7,100.0000
22,8,85.0000
23,0,38.0472
23,1,32.3401
23,2,72.2500
23,3,14.0509
23,4,3.8563
23,5,5.4581
23,6,27.4891
23,7,100.0000
23,8,85.0000
24,0,25.4591
24,1,21.6402
24,2,72.2500
24,3,19.6663
24,4,6.9907
24,5,9.2964
24,6,18.3942
24,7,100.0000
24,8,85.0000
25,0,32.9124
25,1,27.9756
25,2,72.2500
25,3,16.0919
25,4,5.1801
25,5,7.2280
25,6,23.7792
25,7,100.0000
25,8,85.0000
26,0,30.8464
26,1,26.2195
26,2,72.2500
26,3,17.6664
26,4,6.5699
26,5,6.3297
26,6,22.2866
26,7,100.0000
26,8,85.0000
27,0,23.9350
27,1,20.3448
27,2,72.2500
27,3,19.7401
27,4,5.4974
27,5,12.2400
27,6,17.2930
27,7,100.0000
27,8,85.0000
28,0,32.5057
28,1,27.6298
28,2,72.2500
28,3,16.1982
28,4,4.5361
28,5,8.1725
28,6,23.4854
28,7,100.0000
28,8,85.0000
29,0,34.1833
29,1,29.0558
29,2,72.2500
29,3,12.2906
29,4,5.4016
29,5,9.5370
29,6,24.6974
29,7,100.0000
29,8,85.0000
30,0,36.2916
30,1,30.8478
30,2,72.2500
30,3,15.2876
30,4,4.8896
30,5,4.9437
30,6,26.2207
30,7,100.0000
30,8,85.0000
31,0,29.4543
31,1,25.0362
31,2,72.2500
31,3,16.7639
31,4,5.3438
31,5,9.8504
31,6,21.2807
31,7,100.0000
31,8,85.0000
32,0,35.2978
32,1,30.0031
32,2,72.2500
32,3,16.9207
32,4,4.8454
32,5,4.3486
32,6,25.5027
32,7,100.0000
32,8,85.0000
33,0,29.4602
33,1,25.0411
33,2,72.2500
33,3,17.8703
33,4,4.1187
33,5,9.9634
33,6,21.2850
33,7,100.0000
33,8,85.0000
34,0,36.7839
34,1,31.2663
34,2,72.2500
34,3,15.8722
34,4,1.0169
34,5,7.7395
34,6,26.5764
34,7,100.0000
34,8,85.0000
35,0,42.1124
35,1,35.7955
35,2,72.2500
35,3,0.0000
35,4,0.0000
35,5,19.3001
35,6,30.4262
35,7,100.0000
35,8,85.0000
